Euring;Sortering;Artnavn;Latin;English;Status;Type
LE013;8680;Svalehale;"Papilio machaon";Swallowtail;X;andre_dyr
LE014;8690;Skovhvidvinge;"Leptidea sinapsis";"Wood White";X;andre_dyr
LE015;8700;"Sortåret Hvidvinge";"Aporia crataegi";"Black-veined White";X;andre_dyr
LE016;8710;"Stor Kålsommerfugl";"Pieris brassicae";"Large White";X;andre_dyr
LE017;8720;"Lille Kålsommerfugl";"Pieris rapae";"Small White";X;andre_dyr
LE018;8730;"Grønåret Kålsommerfugl";"Pieris napi";"Green-veined White";X;andre_dyr
LE019;8740;"Grønbroget Kålsommerfugl";"Pontia edusa";"Bath White";X;andre_dyr
LE020;8750;Aurora;"Anthocharis cardamines";"Orange Tip";X;andre_dyr
LE021;8760;Mosehøsommerfugl;"Colias palaeno";"Moorland Clouded Yellow";X;andre_dyr
LE022;8770;"Gul Høsommerfugl";"Colias hyale";"Pale Clouded Yellow";X;andre_dyr
LE023;8780;"Sydlig Høsommerfugl";"Colias alfacariensis";"Bergers Clouded Yellow";X;andre_dyr
LE024;8790;"Orange Høsommerfugl";"Colias croceus";"Clouded Yellow";X;andre_dyr
LE025;8800;Citronsommerfugl;"Gonepteryx rhamni";Brimstone;X;andre_dyr
LE026;8810;Monark;"Danaus plexippus";Monarch;X;andre_dyr
LE027;8820;Iris;"Apatura iris";"Purple Emperor";X;andre_dyr
LE028;8830;Poppelsommerfugl;"Limenitis populi";"Poplar Admiral";X;andre_dyr
LE029;8840;"Hvid Admiral";"Limenitis camilla";"White Admiral";X;andre_dyr
LE030;8850;Kirsebærtakvinge;"Nymphalis polychloros";"Large Tortoiseshell";X;andre_dyr
LE031;8860;"Østlig Takvinge";"Nymphalis xanthomelas";"Yellow-legged Tortoiseshell";X;andre_dyr
LE032;8870;"Det Hvide L";"Nymphalis vaualbum";"False Comma";X;andre_dyr
LE033;8880;Sørgekåbe;"Nymphalis antiopa";"Camberwell Beauty";X;andre_dyr
LE034;8890;Dagpåfugleøje;"Inachis io";"Peacock Butterfly";X;andre_dyr
LE035;8900;Admiral;"Vanessa atalanta";"Red Admiral";X;andre_dyr
LE036;8910;Tidselsommerfugl;"Vanessa cardui";"Painted Lady";X;andre_dyr
LE037;8920;"Nældens Takvinge";"Aglais urticae";"Small Tortoiseshell";X;andre_dyr
LE038;8930;"Det Hvide C";"Polygonia c-album";"Comma Butterfly";X;andre_dyr
LE039;8940;Nældesommerfugl;"Araschnia levana";"Map Butterfly";X;andre_dyr
LE040;8950;Kejserkåbe;"Argynnis paphia";"Silver-washed Fritillary";X;andre_dyr
LE041;8960;"Østlig Perlemorsommerfugl";"Argynnis laodice";"Pallas Fritillary";X;andre_dyr
LE042;8970;Markperlemorsommerfugl;"Argynnis aglaja";"Dark Green Fritillary";X;andre_dyr
LE043;8980;Skovperlemorsommerfugl;"Argynnis adippe";"High Brown Fritillary";X;andre_dyr
LE044;8990;Klitperlemorsommerfugl;"Argynnis niobe";"Niobe Fritillary";X;andre_dyr
LE045;9000;"Storplettet Perlemorsommerfugl";"Issoria lathonia";"Queen of Spain Fritillary";X;andre_dyr
LE046;9010;Engperlemorsommerfugl;"Brenthis ino";"Lesser Marbled Fritillary";X;andre_dyr
LE047;9020;Moseperlemorsommerfugl;"Boloria aquilonaris";"Cranberry Fritillary";X;andre_dyr
LE048;9030;"Brunlig Perlemorsommerfugl";"Boloria selene";"Small Pearl-bordered Fritillary";X;andre_dyr
LE049;9040;"Rødlig Perlemorsommerfugl";"Boloria euphrosyne";"Pearl-bordered Fritillary";X;andre_dyr
LE050;9050;"Okkergul Pletvinge";"Melitaea cinxia";"Glanville Fritillary";X;andre_dyr
LE051;9060;"Mørk Pletvinge";"Melitaea diamina";"False Heath Fritillary";X;andre_dyr
LE052;9070;"Brun Pletvinge";"Mellicta athalia";"Heath Fritillary";X;andre_dyr
LE053;9080;Askepletvinge;"Euphydryas maturna";"Scarce Fritillary";X;andre_dyr
LE054;9090;Hedepletvinge;"Euphydryas aurinia";"Marsh Fritillary";X;andre_dyr
LE055;9100;Sandrandøje;"Hipparchia semele";Grayling;X;andre_dyr
LE056;9110;Skov-bjergrandøje;"Erebia ligea";"Arran Brown";X;andre_dyr
LE057;9120;Græsrandøje;"Maniola jurtina";"Meadow Brown";X;andre_dyr
LE058;9130;Engrandøje;"Aphantopus hyperantus";Ringlet;X;andre_dyr
LE059;9140;Buskrandøje;"Pyronia tithonus";Gatekeeper;X;andre_dyr
LE060;9150;Moserandøje;"Coenonympha tullia";"Large Heath";X;andre_dyr
LE061;9160;"Okkergul Randøje";"Coenonympha pamphilus";"Small Heath";X;andre_dyr
LE062;9170;Perlemorrandøje;"Coenonympha arcania";"Pearly Heath";X;andre_dyr
LE063;9180;Herorandøje;"Coenonympha hero";"Scarce Heath";X;andre_dyr
LE064;9190;Skovrandøje;"Pararge aegeria";"Speckled Wood";X;andre_dyr
LE065;9200;Vejrandøje;"Lasiommata megera";"Wall Brown";X;andre_dyr
LE066;9210;Skov-vejrandøje;"Lasiommata maera";"Large Wall Brown";X;andre_dyr
LE067;9220;Bjerg-vejrandøje;"Lasiommata petropolitana";"Northern Wall Brown";X;andre_dyr
LE264;9230;Skakbrætrandøje;"Melanargia galathea";"Marbled White";X;andre_dyr
LE068;9240;Terningsommerfugl;"Hamearis lucina";"Duke  of Burgundy";X;andre_dyr
LE069;9250;Guldhale;"Thecla betulae";"Brown Hairstreak";X;andre_dyr
LE070;9260;Blåhale;"Neozephyrus quercus";"Purple Hairstreak";X;andre_dyr
LE071;9270;"Det Hvide W";"Satyrium w-album";"White-letter Hairstreak";X;andre_dyr
LE072;9280;Egesommerfugl;"Satyrium ilicis";"Ilex Hairstreak";X;andre_dyr
LE073;9290;Slåensommerfugl;"Satyrium pruni";"Black Hairstreak";X;andre_dyr
LE074;9300;"Grøn Busksommerfugl";"Callophrys rubi";"Green Hairstreak";X;andre_dyr
LE075;9310;"Lille Ildfugl";"Lycaena phlaeas";"Small Copper";X;andre_dyr
LE076;9320;"Stor Ildfugl";"Lycaena dispar";"Large Copper";X;andre_dyr
LE077;9330;Dukatsommerfugl;"Lycaena virgaureae";"Scarce Copper";X;andre_dyr
LE078;9340;"Sort Ildfugl";"Lycaena tityrus";"Sooty Copper";X;andre_dyr
LE079;9350;"Violet Ildfugl";"Lycaena alciphron";"Purple-shot Copper";X;andre_dyr
LE080;9360;"Violetrandet Ildfugl";"Lycaena hippothoe";"Purple-edged Copper";X;andre_dyr
LE081;9370;Dværgblåfugl;"Cupido minimus";"Little Blue";X;andre_dyr
LE082;9380;Skovblåfugl;"Celastrina argiolus";"Holly Blue";X;andre_dyr
LE083;9390;Kløverblåfugl;"Glaucopsyche alexis";"Green-underside Blue";X;andre_dyr
LE084;9400;Ensianblåfugl;"Maculinea alcon";"Alcon Blue";X;andre_dyr
LE085;9410;"Sortplettet Blåfugl";"Maculinea arion";"Large Blue";X;andre_dyr
LE086;9420;Engblåfugl;"Polyommatus semiargus";"Mazarine Blue";X;andre_dyr
LE087;9430;"Almindelig Blåfugl";"Polyommatus icarus";"Common Blue";X;andre_dyr
LE088;9440;Isblåfugl;"Polyommatus amandus";"Amandas Blue";X;andre_dyr
LE089;9450;"Rødplettet Blåfugl";"Aricia agestis";"Brown Argus";X;andre_dyr
LE090;9460;"Sortbrun Blåfugl";"Aricia artaxerxes";"Mountain Argus";X;andre_dyr
LE091;9470;Bølleblåfugl;"Plebeius optilete";"Cranberry Blue";X;andre_dyr
LE092;9480;Argusblåfugl;"Plebeius argus";"Silver-studded Blue";X;andre_dyr
LE093;9490;"Foranderlig Blåfugl";"Plebeius idas";"Idas Blue";X;andre_dyr
LE094;9500;Ilia;"Apatura ilia";"Lesser Purple Emperor";X;andre_dyr
LE199;9510;"Sommerfugl sp.";Lepidoptera;"Butterflies sp.";X;andre_dyr
LE200;9520;"Seksplettet Køllesværmer";"Zygaena filipendulae";"Six-spot Blue";X;andre_dyr
LE266;9530;Engkøllesværmer;"Zygaena trifolii";"Five-spot Burnet";X;andre_dyr
LE267;9540;"Femplettet Køllesværmer";"Zygaena lonicerae";"Narrow-bordered Five-spot Burnet";X;andre_dyr
LE268;9550;"Kobberbrun Køllesværmer";"Rhagades pruni";"Blackthorn Aurora Moth";X;andre_dyr
LE269;9560;"Lille Køllesværmer";"Zygaena viciae";"New Forest Burnet";X;andre_dyr
LE265;9570;Timiankøllesværmer;"Zygaena purpuralis";"Transparent Burnet";X;andre_dyr
LE270;9580;Pimpinellekøllesværmer;"Zygaena minos";"Minos Burnet";X;andre_dyr
LE201;9590;Metalvinge;"Adscita statices";"The Forester";X;andre_dyr
LE202;9600;Egespinder;"Lasiocampa quercus";"Oak Eggar";X;andre_dyr
LE203;9610;Græsspinder;"Euthrix potatoria";"The Drinker";X;andre_dyr
LE204;9620;Brombærspinder;"Macrothylacia rubi";"Fox Moth";X;andre_dyr
LE205;9630;Fyrrespinder;"Dendrolimus pini";"Pine-tree lapet";X;andre_dyr
LE206;9640;Ringspinder;"Malacosoma neustria";"The Lackey";X;andre_dyr
LE207;9650;Poppelspinder;"Poecilocampa populi";"December Moth";X;andre_dyr
LE208;9660;"Lille Natpåfugleøje";"Saturnia pavonia";"Emperor Moth";X;andre_dyr
LE209;9670;Sømplet;"Aglia tau";"Tau Emperor";X;andre_dyr
LE210;9680;Lindesværmer;"Mimas tiliae";"Lime Hawk-moth";X;andre_dyr
LE211;9690;Poppelsværmer;"Laothoe populi";"Poplar Hawk-moth";X;andre_dyr
LE212;9700;Fyrresværmer;"Hyloicus pinastri";"Pine Hawk-moth";X;andre_dyr
LE213;9710;Aftenpåfugleøje;"Smerinthus ocellata";"Eyed Hawk-moth";X;andre_dyr
LE214;9720;Ligustersværmer;"Sphinx ligustri";"Prived Hawk-moth";X;andre_dyr
LE215;9730;Snerlesværmer;"Agrius convolvuli";"Convolvulus Hawk-moth";X;andre_dyr
LE216;9740;Dødningehoved;"Acherontia atropos";"Deaths-head Hawk-moth";X;andre_dyr
LE217;9750;Oleandersværmer;"Daphnis nerii";"Oleander Hawk-moth";X;andre_dyr
LE218;9760;Vortemælksværmer;"Hyles euphorbiae";"Spurge Hawk-moth";X;andre_dyr
LE219;9770;Snerresværmer;"Hyles gallii";"Bedstraw Hawk-moth";X;andre_dyr
LE220;9780;Dueurtsværmer;"Deilephila elpenor";"Elephant Hawk-moth";X;andre_dyr
LE221;9790;"Lille Vinsværmer";"Deilephila porcellus";"Small Elephant Hawk-moth";X;andre_dyr
LE222;9800;Humlebisværmer;"Hemaris fuciformis";"Broad-bordered Bee Hawk-moth";X;andre_dyr
LE223;9810;Duehale;"Macroglossum stellatarum";"Hummingbird Hawk-moth";X;andre_dyr
LE224;9820;Hermelinskåbe;"Cerura vinula";"Puss Moth";X;andre_dyr
LE225;9830;Bøgespinder;"Stauropus fagi";"Lobster Moth";X;andre_dyr
LE226;9840;Måneplet;"Phalera bucephala";Buff-tip;X;andre_dyr
LE227;9850;"Lille Måneplet";"Clostera curtula";Chocolate-tip;X;andre_dyr
LE228;9860;Porcelænsspinder;"Pheosia tremula";"Swallow Prominent";X;andre_dyr
LE229;9870;Zigzagspinder;"Eligmodonta ziczac";"Pebble Prominent";X;andre_dyr
LE230;9880;Kamelspinder;"Ptilodon capucina";"Coxcomb Prominent";X;andre_dyr
LE231;9890;Bøgenonne;"Calliteara pudibunda";"Pale Tussock";X;andre_dyr
LE232;9900;"Lille Penselspinder";"Orgyia antiqua";"The Vapourer";X;andre_dyr
LE233;9910;Gulhale;"Euproctis similis";Yellow-tail;X;andre_dyr
LE234;9920;Nonne;"Lymantria monacha";"Black Arches";X;andre_dyr
LE235;9930;"Brun Bjørnespinder";"Arctia caja";"Garden Tiger";X;andre_dyr
LE236;9940;Skovbjørn;"Parasemia plantaginis";"Wood Tiger";X;andre_dyr
LE237;9950;Jomfrubjørn;"Callimorpha dominula";"Scarlet Tiger";X;andre_dyr
LE238;9960;Kanelbjørn;"Phragmatobia fuliginosa";"Ruby Tiger";X;andre_dyr
LE239;9970;"Hvid Tigerspinder";"Spilosoma lubricipeda";"White Ermine";X;andre_dyr
LE240;9980;"Gul Tigerspinder";"Spilosoma lutea";"Buff Ermine";X;andre_dyr
LE241;9990;"Grå Tigerspinder";"Diaphora mendica";"Muslin Moth";X;andre_dyr
LE242;10000;Smutugle;"Noctua pronuba";"Large Yellow Underwing";X;andre_dyr
LE243;10010;"Gul Båndugle";"Noctua fimbriata";"Broad-bordered Yellow Underwing";X;andre_dyr
LE244;10020;"Violetgrå Båndugle";"Noctua janthina";"Lesser Broad-bordered Yellow Underwing";X;andre_dyr
LE245;10030;Lyngugle;"Anarta myrtilli";"Beautiful Yellow Underwing";X;andre_dyr
LE246;10040;"Rødt Ordensbånd";"Catocala nupta";"Red Underwing";X;andre_dyr
LE271;10050;"Blåt Ordensbånd";"Catocala fraxini";"Blue Underwing";X;andre_dyr
LE247;10060;Gammaugle;"Autographa gamma";"Silver Y";X;andre_dyr
LE248;10070;Skræpperodæder;"Triodia sylvina";"Orange Swift";X;andre_dyr
LE249;10080;Konvalrodæder;"Pharmacis lupulina";"Common Swift";X;andre_dyr
LE250;10090;Blodplet;"Tyria jacobaeae";"Cinnabar Moth";X;andre_dyr
LE251;10100;"Okkergul Bladmåler";"Camptogramma bilineata";"Yellow Shell";X;andre_dyr
LE272;10110;Birkebladmåler;"Rheumaptera hastata";"Argent and sable";X;andre_dyr
LE252;10120;Hvidvingemåler;"Siona lineata";"Black-veined Moth";X;andre_dyr
LE253;10130;"Sort Måler";"Odezia atrata";"Chimney Sweeper";X;andre_dyr
LE254;10140;Syremåler;"Timandra comae";Blood-vein;X;andre_dyr
LE255;10150;Vinkelengmåler;"Idaea aversata";"Riband Wave";X;andre_dyr
LE256;10160;"Almindelig Spidsvingemåler";"Scotopteryx chenopodiata";"Shaded Broad-bar";X;andre_dyr
LE257;10170;Frugttræ-Barkmåler;"Peribatodes rhomboidaria";"Willow Beauty";X;andre_dyr
LE258;10180;Natsvalehale;"Ourapteryx sambucaria";"Swallow-tailed Moth";X;andre_dyr
LE259;10190;Rodugle;"Apamea monoglypha";"Dark Arches";X;andre_dyr
LE260;10200;Agatugle;"Phlogophora meticulosa";"Angle Shades";X;andre_dyr
LE261;10210;Næbugle;"Hypena proboscidalis";"The Snout";X;andre_dyr
LE262;10220;Husmoderugle;"Scoliopteryx libatrix";"The Herald";X;andre_dyr
LE309;10230;"Sommerfugl/Natsværmer sp.";Lepidoptera;"Butterflies and Moths sp.";X;andre_dyr
MA001;10240;Pindsvin;"Erinaceus europaeus";Hedgehog;X;andre_dyr
MA002;10250;Muldvarp;"Talpa europaea";"European Mole";X;andre_dyr
MA003;10260;"Almindelig Spidsmus";"Sorex araneus";"Eurasian Common Shrew";X;andre_dyr
MA004;10270;Dværgspidsmus;"Sorex minutus";"Eurasian Pygmy Shrew";X;andre_dyr
MA005;10280;Vandspidsmus;"Neomys fodiens";"Eurasian Water Shrew";X;andre_dyr
MA085;10290;"Hvidtandet Spidsmus";"Crocidura suaveolens";"Lesser White-toothed Shrew";X;andre_dyr
MA006;10300;Brunflagermus;"Nyctalus noctula";Noctule;X;andre_dyr
MA007;10310;Sydflagermus;"Eptesicus serotinus";Serotine;X;andre_dyr
MA008;10320;Nordflagermus;"Eptesicus nilssonii";"Northern Bat";X;andre_dyr
MA009;10330;Skimmelflagermus;"Vespertilio murinus";"Parti-coloured Bat";X;andre_dyr
MA010;10340;"Langøret Flagermus";"Plecotus auritus";"Brown Long-eared Bat";X;andre_dyr
MA011;10350;"Bredøret Flagermus";"Barbastella barbastellus";"Western Barbastella";X;andre_dyr
MA012;10360;"Pipistrelflagermus/Dværgflagermus sp.";"Pipistrellus pipistrellus/P. pygmaeus sp.";"Common Pipistrelle/Soprano Pipistrelle sp.";X;andre_dyr
MA013;10370;Troldflagermus;"Pipistrellus nathusii";"Nathusius Pipistrelle";X;andre_dyr
MA014;10380;Frynseflagermus;"Myotis nattereri";"Natterers Bat";X;andre_dyr
MA015;10390;"Bechsteins Flagermus";"Myotis bechsteinii";"Bechsteins Bat";X;andre_dyr
MA016;10400;"Brandts Flagermus";"Myotis brandtii";"Brandts Bat";X;andre_dyr
MA017;10410;Skægflagermus;"Myotis mystacinus";"Whiskered Bat";X;andre_dyr
MA018;10420;Vandflagermus;"Myotis daubentonii";"Daubentons Bat";X;andre_dyr
MA019;10430;Damflagermus;"Myotis dasycneme";"Pond Bat";X;andre_dyr
MA020;10440;Hare;"Lepus europaeus";"Brown Hare";X;andre_dyr
MA021;10450;Vildkanin;"Oryctolagus cuniculus";Rabbit;X;andre_dyr
MA086;10460;Sumpbæver;"Myocastor coypus";Coypu;X;andre_dyr
MA022;10470;Egern;"Sciurus vulgaris";"Red Squirrel";X;andre_dyr
MA023;10480;Hasselmus;"Muscardinus avellanarius";"Hazel Dormouse";X;andre_dyr
MA024;10490;Birkemus;"Sicista betulina";"Northern Birch Mouse";X;andre_dyr
MA025;10500;"Brun Rotte";"Rattus norvegicus";"Brown Rat";X;andre_dyr
MA026;10510;Husrotte;"Rattus rattus";"Black Rat";X;andre_dyr
MA027;10520;Husmus;"Mus musculus/domesticus";"House Mouse";X;andre_dyr
MA028;10530;Halsbåndmus;"Apodemus flavicollis";"Yellow-necked Mouse";X;andre_dyr
MA029;10540;Skovmus;"Apodemus sylvaticus";"Wood Mouse";X;andre_dyr
MA030;10550;Brandmus;"Apodemus agrarius";"Striped Field Mouse";X;andre_dyr
MA031;10560;Dværgmus;"Micromys minutus";"Harvest Mouse";X;andre_dyr
MA032;10570;Mosegris;"Arvicola terrestris";"European Water Vole";X;andre_dyr
MA033;10580;Nordmarkmus;"Microtus agrestis";"Field Vole";X;andre_dyr
MA034;10590;Sydmarkmus;"Microtus arvalis";"Common Vole";X;andre_dyr
MA035;10600;"Markmus sp.";"Microtus agrestis/arvalis";"Field Vole/Common Vole";X;andre_dyr
MA036;10610;Rødmus;"Clethrionomys glareolus";"Bank Vole";X;andre_dyr
MA037;10620;Bisamrotte;"Ondatra zibethicus";"Musk Rat";X;andre_dyr
MA038;10630;Ræv;"Vulpes vulpes";"Red Fox";X;andre_dyr
MA039;10640;Grævling;"Meles meles";"Eurasian Badger";X;andre_dyr
MA040;10650;Husmår;"Martes foina";"Beech Marten";X;andre_dyr
MA041;10660;Skovmår;"Martes martes";"Pine Marten";X;andre_dyr
MA042;10670;Ilder;"Mustela putorius";Polecat;X;andre_dyr
MA043;10680;Mink;"Mustela vison";"American Mink";X;andre_dyr
MA044;10690;Lækat;"Mustela erminea";Stoat;X;andre_dyr
MA045;10700;Brud;"Mustela nivalis";Weasel;X;andre_dyr
MA046;10710;Odder;"Lutra lutra";"European Otter";X;andre_dyr
MA047;10720;Kat;"Felis catus";"Domestic Cat";X;andre_dyr
MA048;10730;Vaskebjørn;"Procyon lotor";Racoon;X;andre_dyr
MA049;10740;Mårhund;"Nyctereutes procyonoides";Racoon-dog;X;andre_dyr
MA050;10750;"Spættet Sæl";"Phoca vitulina";"Common Seal";X;andre_dyr
MA051;10760;Gråsæl;"Halichoerus grypus";"Grey Seal";X;andre_dyr
MA052;10770;Ringsæl;"Phoca hispida";"Ringed Seal";X;andre_dyr
MA053;10780;Klapmyds;"Cystophora cristata";"Hooded Seal";X;andre_dyr
MA054;10790;Grønlandssæl;"Phoca groenlandica";Saddleback;X;andre_dyr
MA055;10800;Hvalros;"Odobenus rosmarus";Walrus;X;andre_dyr
MA056;10810;Marsvin;"Phocoena phocoena";"Common Porpoise";X;andre_dyr
MA057;10820;Hvidnæse;"Lagenorhynchus albirostris";"White-beaked Porpoise";X;andre_dyr
MA058;10830;Hvidskæving;"Lagenorhynchus acutus";"White-sided Porpoise";X;andre_dyr
MA059;10840;Grindehval;"Globicephala melas";"Pilot Whale";X;andre_dyr
MA060;10850;Spækhugger;"Orcinus orca";"Killer Whale";X;andre_dyr
MA061;10860;Halvspækhugger;"Pseudorca crassidens";"False Killer Whale";X;andre_dyr
MA062;10870;"Rissos Delfin (Halvgrindehval)";"Grampus griseus";"Rissos Dolphin";X;andre_dyr
MA063;10880;Øresvin;"Tursiops truncatus";"Bottle-nosed Dolphin";X;andre_dyr
MA064;10890;"Almindelig Delfin";"Delphinus delphis";"Common Dolphin";X;andre_dyr
MA065;10900;Hvidhval;"Delphinapterus leucas";"White Whale";X;andre_dyr
MA066;10910;Døgling;"Hyperoodon ampullatus";"Northern Bottlenose Whale";X;andre_dyr
MA067;10920;"Almindelig Næbhval";"Mesoplodon bidens";"Sowerbys Beaked Whale";X;andre_dyr
MA068;10930;Kaskelot;"Physeter macrocephalus";Spermwhale;X;andre_dyr
MA069;10940;Vågehval;"Balaenoptera acutorostrata";"Piked Whale";X;andre_dyr
MA070;10950;Blåhval;"Balaenoptera musculus";"Blue Whale";X;andre_dyr
MA071;10960;Finhval;"Balaenoptera physalus";"Fin Whale";X;andre_dyr
MA072;10970;Sejhval;"Balaenoptera borealis";"Sei Whale";X;andre_dyr
MA073;10980;Pukkelhval;"Megaptera novaeangliae";"Humpback Whale";X;andre_dyr
MA074;10990;Vildsvin;"Sus scrofa";"Wild Boar";X;andre_dyr
MA075;11000;Krondyr;"Cervus elaphus";"Red Deer";X;andre_dyr
MA076;11010;Dådyr;"Dama dama";"Fallow Deer";X;andre_dyr
MA077;11020;Sika;"Cervus nippon";"Sika Deer";X;andre_dyr
MA078;11030;Rådyr;"Capreolus capreolus";"Roe Deer";X;andre_dyr
MA084;11040;Muflon;"Ovis ammon";Argali;X;andre_dyr
MA079;11050;Bæver;"Castor fiber";Beaver;X;andre_dyr
MA080;11060;Elg;"Alces alces";Moose;X;andre_dyr
MA081;11070;Los;"Felis lynx";Lynx;X;andre_dyr
MA082;11080;Ulv;"Canis lupus";Wolf;X;andre_dyr
MA083;11090;Guldsjakal;"Canis aureus";"Golden Jackal";X;andre_dyr
MA109;11100;"Insektædere sp.";Insectivora;"Insectivores sp.";X;andre_dyr
MA119;11110;"Spidsmus sp.";Soricidae;"Shrews sp.";X;andre_dyr
MA129;11120;"Flagermus sp.";Chiroptera;"Bats sp.";X;andre_dyr
MA139;11130;"Gnaver sp.";Rodentia;"Rodents sp.";X;andre_dyr
MA149;11140;"Ægte Mus sp.";Muridae;"Typical Mice and Rats";X;andre_dyr
MA159;11150;"Studsmus sp.";Microtidae;"Voles sp.";X;andre_dyr
MA168;11160;Skovmår/Husmår;"Martes martes/M. foina";"Pine/Beech Marten";X;andre_dyr
MA169;11170;"Mårdyr sp.";Mustelidae;"Weasel, Mink, Badger, Marten, Otter sp.";X;andre_dyr
MA179;11180;"Sæl sp.";Pinnipedia;"Seal sp.";X;andre_dyr
MA189;11190;"Hval sp.";Cetacea;"Whale sp.";X;andre_dyr
MA199;11200;"Hjort sp.";Cervidae;"Deer sp.";X;andre_dyr
MA212;11210;Pipistrelflagermus;"Pipistrellus pipistrellus";"Common Pipistrelle";X;andre_dyr
MA312;11220;Dværgflagermus;"Pipistrellus pygmaeus";"Soprano Pipistrelle";X;andre_dyr
RE001;11230;Markfirben;"Lacerta agilis";"Sand Lizard";X;andre_dyr
RE002;11240;"Almindelig Firben";"Lacerta vivipara";"Common Lizard";X;andre_dyr
RE003;11250;Stålorm;"Anguis fragilis";"Slow Worm";X;andre_dyr
RE004;11260;Snog;"Natrix natrix";"Grass Snake";X;andre_dyr
RE005;11270;Glatsnog;"Coronella austriaca";"Smooth Snake";X;andre_dyr
RE006;11280;Æskulapsnog;"Elaphe longissima";"Aesculapian Snake";X;andre_dyr
RE007;11290;Hugorm;"Vipera berus";Adder;X;andre_dyr
RE008;11300;"Europæisk Sumpskildpadde";"Emys orbicularis";"European Pond Turtle";X;andre_dyr
RE009;11310;Læderskildpadde;"Dermochelys coriacea";"Leatherback Sea Turtle";X;andre_dyr
RE010;11320;Bastardskildpadde;"Lepidochelys kempii";"Kemps Ridley Sea Turtle";X;andre_dyr
RE011;11330;"Uægte Karette";"Caretta caretta";"Loggerhead Sea Turtle";X;andre_dyr
RE012;11340;"Nordamerikansk Terrapin";"Trachemys scripta";"Pond Slider";X;andre_dyr
RE109;11350;"Firben sp.";Lacertidae;"Lizard sp.";X;andre_dyr
RE119;11360;"Slange sp.";Serpentes;"Snake sp.";X;andre_dyr
RE129;11370;"Skildpadde sp.";Testudines;"Turtle sp.";X;andre_dyr
