Euring;Sortering;Artnavn;Latin;English;Status;Type
14861;6660;"Træløber, Nordlig (ssp. familiaris)";"Certhia familiaris familiaris";"Eurasian Treecreeper (ssp. familiaris)";A;underart
14870;6670;"Korttået Træløber";"Certhia brachydactyla";"Short-toed Treecreeper";A;art
14869;6680;"Træløber/Korttået Træløber";"Certhia familiaris/C. brachydactyla";"Eurasian Treecreeper/Short-toed Treecreeper";H;ubestemt
10660;6690;Gærdesmutte;"Troglodytes troglodytes";"Eurasian Wren";A;art
10669;6700;"Gærdesmutte, Nordatlantisk (fridariensis/hirtensis/borealis)";"Troglodytes troglodytes ssp. fridariensis/hirtensis/borealis";"Eurasian Wren (ssp. fridariensis/hirtensis/borealis)";AU;underart
15830;6710;"Ensfarvet Stær";"Sturnus unicolor";"Spotless Starling";AU;art
15820;6720;Stær;"Sturnus vulgaris";"Common Starling";A;art
15840;6730;Rosenstær;"Pastor roseus";"Rosy Starling";AS;art
33810;6740;"Rødvinget Sortstær";"Onychognathus morio";"Red-winged Starling";E;art
10500;6750;Vandstær;"Cinclus cinclus";"White-throated Dipper";A;art
11700;6760;Gulddrossel;"Zoothera aurea";"White's Thrush";AU;art
11770;6770;Olivenskovdrossel;"Catharus ustulatus";"Swainson's Thrush";AU;art
11760;6780;Eremitdrossel;"Catharus guttatus";"Hermit Thrush";AU;art
12020;6790;Misteldrossel;"Turdus viscivorus";"Mistle Thrush";A;art
12000;6800;Sangdrossel;"Turdus philomelos";"Song Thrush";A;art
12010;6810;Vindrossel;"Turdus iliacus";Redwing;A;art
12012;6820;"Vindrossel, Islandsk (ssp. coburni)";"Turdus iliacus coburni";"Redwing (ssp. coburni)";AS;underart
12009;6830;Sangdrossel/Vindrossel;"Turdus philomelos/T. iliacus";"Song Thrush/Redwing";H;ubestemt
11870;6840;Solsort;"Turdus merula";"Common Blackbird";A;art
11980;6850;Sjagger;"Turdus pilaris";Fieldfare;A;art
11989;6860;"Sjagger x Solsort (hybrid)";"Turdus pilaris x T. merula";"Fieldfare x Common Blackbird";H;hybrid
11860;6870;Ringdrossel;"Turdus torquatus";"Ring Ouzel";A;art
11972;6880;"Sortstrubet Drossel";"Turdus atrogularis";"Black-throated Thrush";AU;art
11962;6890;Brundrossel;"Turdus eunomus";"Dusky Thrush";AU;art
11950;6900;"Gråstrubet Drossel";"Turdus obscurus";"Eyebrowed Thrush";AU;art
12030;6910;Vandredrossel;"Turdus migratorius";"American Robin";AU;art
12069;6920;"Drossel sp.";Turdinae;"Thrush sp.";H;ubestemt
13340;6930;"Brun Fluesnapper";"Muscicapa dauurica";"Asian Brown Flycatcher";AU;art
13350;6940;"Grå Fluesnapper";"Muscicapa striata";"Spotted Flycatcher";A;art
10990;6950;Rødhals;"Erithacus rubecula";"European Robin";A;art
11030;6960;Nattergal;"Luscinia luscinia";"Thrush Nightingale";A;art
11040;6970;"Sydlig Nattergal";"Luscinia megarhynchos";"Common Nightingale";AS;art
11039;6980;"Nattergal/Sydlig Nattergal";"Luscinia luscinia/L. megarhynchos";"Thrush Nightingale/Common Nightingale";H;ubestemt
11060;6990;Blåhals;"Luscinia svecica";Bluethroat;A;art
11061;7000;"Blåhals, Nordlig (ssp. svecica)";"Luscinia svecica svecica";"Bluethroat (ssp. svecica)";AS;underart
11062;7010;"Blåhals, Sydlig (ssp. cyanecula)";"Luscinia svecica cyanecula";"Bluethroat (ssp. cyanecula)";A;underart
11050;7020;Rubinnattergal;"Calliope calliope";"Siberian Rubythroat";AU;art
11020;7030;Manchurernattergal;"Larvivora sibilans";"Rufous-tailed Robin";AU;art
13430;7040;"Lille Fluesnapper";"Ficedula parva";"Red-breasted Flycatcher";AS;art
13432;7050;Tajgafluesnapper;"Ficedula albicilla";"Taiga Flycatcher";AU;art
13480;7060;"Hvidhalset Fluesnapper";"Ficedula albicollis";"Collared Flycatcher";AS;art
13489;7070;"Hvidhalset Fluesnapper x Broget Fluesnapper (hybrid)";"Ficedula albicollis x F. hypoleuca";"Collared Flycatcher x European Pied Flycatcher";H;hybrid
13490;7080;"Broget Fluesnapper";"Ficedula hypoleuca";"European Pied Flycatcher";A;art
13559;7090;"Fluesnapper sp.";Muscicapidae;"Flycatcher sp.";H;ubestemt
11130;7100;Blåstjert;"Tarsiger cyanurus";"Red-flanked Bluetail";AU;art
11210;7110;Husrødstjert;"Phoenicurus ochruros";"Black Redstart";A;art
11215;7120;"Husrødstjert, Tien-Shan (ssp. phoenicuroides)";"Phoenicurus ochruros phoenicuroides";"Black Redstart (ssp. phoenicuroides)";U;underart
11220;7130;Rødstjert;"Phoenicurus phoenicurus";"Common Redstart";A;art
11620;7140;Stendrossel;"Monticola saxatilis";"Common Rock Thrush";AU;art
11370;7150;Bynkefugl;"Saxicola rubetra";Whinchat;A;art
11399;7160;"Sibirisk Bynkefugl";"Saxicola maurus";"Siberian Stonechat";AU;art
11397;7170;"Sibirisk Bynkefugl, Kaukasusbynkefugl (ssp. hemprichii)";"Saxicola maurus hemprichii";"Siberian Stonechat (ssp. hemprichii)";AU;underart
11396;7180;"Sibirisk Bynkefugl, Steppebynkefugl (ssp. variegatus)";"Saxicola maurus variegatus";"Siberian Stonechat (ssp. variegatus)";AU;underart
11392;7190;"Sibirisk Bynkefugl, Bjergbynkefugl (ssp. stejnegeri)";"Saxicola maurus stejnegeri";"Siberian Stonechat (ssp. stejnegeri)";AU;underart
11394;7200;"Sibirisk Bynkefugl (ssp. maurus)";"Saxicola maurus maurus";"Siberian Stonechat (ssp. maurus)";AU;underart
11390;7210;"Sortstrubet Bynkefugl";"Saxicola rubicola";"European Stonechat";A;art
11393;7220;"Sortstrubet Bynkefugl, Atlantisk (ssp. hibernans)";"Saxicola rubicola hibernans";"European Stonechat (ssp. hibernans)";A;underart
11391;7230;"Sortstrubet Bynkefugl, Europæisk (ssp. rubicola)";"Saxicola rubicola rubicola";"European Stonechat (ssp. rubicola)";A;underart
11490;7240;Ørkenstenpikker;"Oenanthe deserti";"Desert Wheatear";AU;art
11480;7250;"Vestlig Middelhavsstenpikker/Østlig Middelhavsstenpikker ";"Oenanthe hispanica/O. melanoleuca";"Western Black-eared Wheatear/Eastern Black-eared Wheatear";HU;ubestemt
11481;7260;"Vestlig Middelhavsstenpikker";"Oenanthe hispanica";"Western Black-eared Wheatear";AU;art
11470;7270;Nonnestenpikker;"Oenanthe pleschanka";"Pied Wheatear";AU;art
11482;7280;"Østlig Middelhavsstenpikker";"Oenanthe melanoleuca";"Eastern Black-eared Wheatear";AU;art
11460;7290;Stenpikker;"Oenanthe oenanthe";"Northern Wheatear";A;art
11462;7300;"Stenpikker, Grønlandsk (ssp. leucorhoa)";"Oenanthe oenanthe leucorhoa";"Northern Wheatear (ssp. leucorhoa)";A;underart
11461;7310;"Stenpikker (ssp. oenanthe)";"Oenanthe oenanthe oenanthe";"Northern Wheatear (ssp. oenanthe)";A;underart
11440;7320;Isabellastenpikker;"Oenanthe isabellina";"Isabelline Wheatear";AU;art
11570;7330;"Hvidkronet Stenpikker";"Oenanthe leucopyga";"White-crowned Wheatear";AU;art
10940;7340;Alpejernspurv;"Prunella collaris";"Alpine Accentor";AU;art
10900;7350;"Sortstrubet Jernspurv";"Prunella atrogularis";"Black-throated Accentor";AU;art
10840;7360;Jernspurv;"Prunella modularis";Dunnock;A;art
10860;7370;"Sibirisk Jernspurv";"Prunella montanella";"Siberian Accentor";AU;art
16110;7380;Snefinke;"Montifringilla nivalis";"White-winged Snowfinch";AU;art
15980;7390;Skovspurv;"Passer montanus";"Eurasian Tree Sparrow";A;art
15989;7400;"Gråspurv x Skovspurv (hybrid)";"Passer domesticus x P. montanus";"House Sparrow x Eurasian Tree Sparrow";H;hybrid
15988;7410;Gråspurv/Skovspurv;"Passer domesticus/P. montanus";"House Sparrow/Eurasian Tree Sparrow";H;ubestemt
15920;7420;"Spansk Spurv";"Passer hispaniolensis";"Spanish Sparrow";AU;art
15910;7430;Gråspurv;"Passer domesticus";"House Sparrow";A;art
10190;7440;Bjergvipstjert;"Motacilla cinerea";"Grey Wagtail";A;art
10170;7450;"Gul Vipstjert";"Motacilla flava";"Western Yellow Wagtail";A;art
10172;7460;"Gul Vipstjert, Gulhovedet (ssp. flavissima)";"Motacilla flava flavissima";"Western Yellow Wagtail (ssp. flavissima)";AS;underart
10171;7470;"Gul Vipstjert (ssp. flava)";"Motacilla flava flava";"Western Yellow Wagtail (ssp. flava)";A;underart
10174;7480;"Gul Vipstjert, Sorthovedet (ssp. feldegg)";"Motacilla flava feldegg";"Western Yellow Wagtail (ssp. feldegg)";AU;underart
10179;7490;"Gul Vipstjert, Almindelig x Gulhovedet (hybrid)";"Motacilla flava flava x M. f. flavissima";"Western Yellow Wagtail (flava x flavissima)";H;hybrid
10173;7500;"Gul Vipstjert, Nordlig (ssp. thunbergi)";"Motacilla flava thunbergi";"Western Yellow Wagtail (ssp. thunbergi)";A;underart
10180;7510;Citronvipstjert;"Motacilla citreola";"Citrine Wagtail";AS;art
10181;7520;"Citronvipstjert x Gul Vipstjert (hybrid)";"Motacilla citreola x M. flava";"Citrine Wagtail x Western Yellow Wagtail";H;hybrid
26643;7530;"Sibirisk Vipstjert";"Motacilla tschutschensis";"Eastern Yellow Wagtail";AU;art
10200;7540;"Hvid Vipstjert";"Motacilla alba";"White Wagtail";A;art
10202;7550;"Hvid Vipstjert, Sortrygget Vipstjert (ssp. yarrellii)";"Motacilla alba yarrellii";"White Wagtail (ssp. yarrellii)";AS;underart
10201;7560;"Hvid Vipstjert (ssp. alba)";"Motacilla alba alba";"White Wagtail (ssp. alba)";A;underart
10239;7570;"Vipstjert sp.";"Motacilla sp.";"Wagtail sp.";H;ubestemt
10040;7580;"Mongolsk Piber";"Anthus godlewskii";"Blyth's Pipit";AU;art
10159;7590;"Piber sp.";"Anthus sp.";"Pipit sp.";H;ubestemt
10050;7600;Markpiber;"Anthus campestris";"Tawny Pipit";AS;art
10020;7610;Storpiber;"Anthus richardi";"Richard's Pipit";AS;art
10090;7620;Skovpiber;"Anthus trivialis";"Tree Pipit";A;art
10080;7630;Tajgapiber;"Anthus hodgsoni";"Olive-backed Pipit";AU;art
10120;7640;"Rødstrubet Piber";"Anthus cervinus";"Red-throated Pipit";AS;art
10110;7650;Engpiber;"Anthus pratensis";"Meadow Pipit";A;art
10135;7660;Skærpiber;"Anthus petrosus";"European Rock Pipit";A;art
10144;7670;Bjergpiber/Skærpiber;"Anthus spinoletta/A. petrosus";"Water Pipit/European Rock Pipit";H;ubestemt
10140;7680;Bjergpiber;"Anthus spinoletta";"Water Pipit";AS;art
16380;7690;Kvækerfinke;"Fringilla montifringilla";Brambling;A;art
16388;7700;Bogfinke/Kvækerfinke;"Fringilla coelebs/F. montifringilla";"Common Chaffinch/Brambling";H;ubestemt
16360;7710;Bogfinke;"Fringilla coelebs";"Common Chaffinch";A;art
17170;7720;Kernebider;"Coccothraustes coccothraustes";Hawfinch;A;art
16790;7730;Karmindompap;"Carpodacus erythrinus";"Common Rosefinch";A;art
17040;7740;"Langhalet Rosenfinke";"Carpodacus sibiricus";"Long-tailed Rosefinch";EU;art
16890;7750;Rosenfinke;"Carpodacus roseus";"Pallas's Rosefinch";E;art
16990;7760;Krognæb;"Pinicola enucleator";"Pine Grosbeak";AU;art
17100;7770;Dompap;"Pyrrhula pyrrhula";"Eurasian Bullfinch";A;art
17101;7780;"Dompap, Stor (ssp. pyrrhula)";"Pyrrhula pyrrhula pyrrhula";"Eurasian Bullfinch (ssp. pyrrhula)";A;underart
17102;7790;"Dompap, Lille (ssp. europaea)";"Pyrrhula pyrrhula europaea";"Eurasian Bullfinch (ssp. europaea)";A;underart
16760;7800;Ørkendompap;"Bucanetes githagineus";"Trumpeter Finch";AU;art
16740;7810;Ørkenfinke;"Rhodospiza obsoleta";"Desert Finch";E;art
16389;7820;"Finke sp.";Fringillidae;"Fringillidae sp.";H;ubestemt
16490;7830;Grønirisk;"Chloris chloris";"European Greenfinch";A;art
16500;7840;Brunirisk;"Chloris sinica";"Grey-capped Greenfinch";E;art
16620;7850;Bjergirisk;"Linaria flavirostris";Twite;A;art
16600;7860;Tornirisk;"Linaria cannabina";"Common Linnet";A;art
16609;7870;Tornirisk/Bjergirisk;"Linaria cannabina/L. flavirostris";"Common Linnet/Twite";H;ubestemt
16630;7880;Gråsisken;"Acanthis flammea";Redpoll;A;art
16634;7890;"Gråsisken, Nordlig (ssp. flammea)";"Acanthis flammea flammea";"Redpoll (ssp. flammea)";A;underart
16632;7900;"Gråsisken, Grønlandsk (ssp. rostrata)";"Acanthis flammea rostrata";"Redpoll (ssp. rostrata)";AU;underart
16635;7910;"Gråsisken, Lille (ssp. cabaret)";"Acanthis flammea cabaret";"Redpoll (ssp. cabaret)";A;underart
16640;7920;"Gråsisken, Hvidsisken (ssp. exilipes)";"Acanthis flammea exilipes";"Redpoll, Arctic (ssp. exilipes)";AS;underart
16650;7930;"Hvidvinget Korsnæb";"Loxia leucoptera";"Two-barred Crossbill";AS;art
16680;7940;"Stor Korsnæb";"Loxia pytyopsittacus";"Parrot Crossbill";AS;art
16660;7950;"Lille Korsnæb";"Loxia curvirostra";"Red Crossbill";A;art
16669;7960;"Lille Korsnæb/Stor Korsnæb";"Loxia curvirostra/L. pytyopsittacus";"Red Crossbill/Parrot Crossbill";H;ubestemt
16689;7970;"Korsnæb sp.";"Loxia sp.";"Crossbill sp.";H;ubestemt
16530;7980;Stillits;"Carduelis carduelis";"European Goldfinch";A;art
16420;7990;Kanariefugl;"Serinus canaria";"Atlantic Canary";E;art
16400;8000;Gulirisk;"Serinus serinus";"European Serin";AS;art
16540;8010;Grønsisken;"Spinus spinus";"Eurasian Siskin";A;art
16649;8020;"Sisken sp.";"Spinus/Acanthis sp.";"Spinus/Acanthis sp.";H;ubestemt
