TAXON_ORDER,CATEGORY,SPECIES_CODE,TAXON_CONCEPT_ID,English (Clements),Scientific (Clements),ORDER,FAMILY,SPECIES_GROUP,REPORT_AS,EBIRD,Scientific (AviList),English (AviList),AvibaseID,norm_com_name,taxon_order,category,species_code,bio_concept_code,primary_com_name,sci_name,order1,family,species_group,sparse_report_as,report_as,four_letter_code,extinct,extinct_year,Afrikaans,Albanian,Arabic,Armenian,Assamese,Asturleonese,Azerbaijani,Bangla (Bangladesh),Bengali (India),Bengali,Bulgarian,Catalan,Chinese - Mandarin (trad),"Chinese, Hong Kong","Chinese, Simple","Creole, Haiti",Croatian,Czech,Danish,Dutch,English (AviList)_translations,English,"English, Australia","English, Bangladesh","English, HBW","English, Hawaii","English, Hong Kong","English, IOC","English, India","English, Kenya","English, Malaysia","English, New Zealand","English, Philippines","English, South Africa","English, UAE","English, United Kingdom","English, United States",Estonian,Euskera,Faroese,Finnish,French,"French, AOS","French, Canada","French, France","French, French Guiana","French, Guadeloupe","French, Haiti",Galician,Georgian,German,Greek,Gujarati,Hebrew,Hindi,Hungarian,Icelandic,Indonesian,Italian,Japanese,Kannada,Kashmiri (India),Kazakh,Konkani,Korean,Kyrgyz,Ladakhi,Latvian,Lithuanian,Malayalam,Manipuri,Marathi,Mizo,Mongolian,Māori,Nepali (India),Nepali (Nepal),Norwegian,Odia,Persian,Polish,"Portuguese, Angola","Portuguese, Azores","Portuguese, Brazil","Portuguese, Madeira","Portuguese, Portugal","Punjabi, India",Romanian,Russian,Serbian,Slovak,Slovenian,Spanish,"Spanish, Argentina","Spanish, Chile","Spanish, Costa Rica","Spanish, Cuba","Spanish, Dominican Republic","Spanish, Ecuador","Spanish, Honduras","Spanish, Mexico","Spanish, Panama","Spanish, Paraguay","Spanish, Peru","Spanish, Puerto Rico","Spanish, Spain","Spanish, Uruguay","Spanish, Venezuela",Swedish,"Tamil, India",Telugu,Thai,Turkish,Ukrainian,Zulu,pri_com_name_indxd,authority_code,authority_ver,Scientific (AviList)_sci
2,species,ostric2,avibase-2247CB05,Common Ostrich,Struthio camelus,Struthioniformes,Struthionidae (Ostriches),Ostriches,,https://ebird.org/species/ostric2,Struthio camelus,Common Ostrich,avibase-2247CB05,commonostrich,2,species,ostric2,avibase-2247CB05,Common Ostrich,Struthio camelus,Struthioniformes,Struthionidae (Ostriches),Ostriches,,ostric2,,0,,Volstruis (Gewone Volstruis),,نعامة شائعة,,,Avestruz común,Adi dəvəquşu,,,,Обикновен щраус,estruç comú,,,,,noj,pštros dvouprstý,Masaistruds,Struisvogel,Common Ostrich,Common Ostrich,,,Common Ostrich,,,Common Ostrich,,,,,,,,,Common Ostrich,jaanalind,Ostruka arrunta,Strutsur,strutsi,Autruche d'Afrique,,Autruche d'Afrique,,,,,,,Strauß,(Κοινή) Στρουθοκάμηλος,,יען אפריקני,,,Strútur,,,ダチョウ,,,,,,,,Āfrikas strauss,Strutis,,,,,,,,,slettestruts,,,struś czerwonoskóry,Avestruz-comum,,,,Avestruz-comum,,Struț,Африканский страус,Noj,pštros dvojprstý,Noj,Avestruz Común,,,,,,,,,,,,,Avestruz común,,,struts,,,,Devekuşu,Страус африканський,intshe,"Ostrich, Common",EBIRD,2024,Struthio camelus
7,species,ostric3,avibase-40329BB6,Somali Ostrich,Struthio molybdophanes,Struthioniformes,Struthionidae (Ostriches),Ostriches,,https://ebird.org/species/ostric3,Struthio molybdophanes,Somali Ostrich,avibase-40329BB6,somaliostrich,7,species,ostric3,avibase-40329BB6,Somali Ostrich,Struthio molybdophanes,Struthioniformes,Struthionidae (Ostriches),Ostriches,,ostric3,,0,,Somaliëvolstruis,,,,,Avestruz somalina,Somali dəvəquşusu,,,,Сомалийски щраус,estruç de Somàlia,,,,,somalijski noj,pštros somálský,Somalistruds,Somalische struisvogel,Somali Ostrich,Somali Ostrich,,,Somali Ostrich,,,Somali Ostrich,,,,,,,,,Somali Ostrich,somaali jaanalind,Ostruka somaliarra,,somalianstrutsi,Autruche de Somalie,,Autruche de Somalie,,,,,,,Somalistrauß,Στρουθοκάμηλος της Σομαλίας,,יען סומלי,,,,,,ソマリアダチョウ,,,,,,,,,,,,,,,,,,somalistruts,,,struś szaroskóry,,,,,Avestruz-da-etiópia,,,Сомалийский страус,Somalijski noj,pštros sivonohý,,Avestruz Somalí,,,,,,,,,,,,,Avestruz somalí,,,somaliastruts,,,,Somali Devekuşu,Страус сомалійський,,"Ostrich, Somali",EBIRD,2024,Struthio molybdophanes
10,species,soucas1,avibase-8B9D93D8,Southern Cassowary,Casuarius casuarius,Casuariiformes,Casuariidae (Cassowaries and Emu),Cassowaries and Emu,,https://ebird.org/species/soucas1,Casuarius casuarius,Southern Cassowary,avibase-8B9D93D8,southerncassowary,10,species,soucas1,avibase-8B9D93D8,Southern Cassowary,Casuarius casuarius,Casuariiformes,Casuariidae (Cassowaries and Emu),Cassowaries and Emu,,soucas1,,0,,Suidelike Kasuaris,,,,,Casuariu,Adi kazuar,,,,Обикновен казуар,casuari comú,,,,,veliki kazuar,kasuár přílbový,Hjelmkasuar,Helmkasuaris,Southern Cassowary,Southern Cassowary,,,Southern Cassowary,,,Southern Cassowary,,,,,,,,,Southern Cassowary,kiiverkaasuar,Kasuario handia,,kypäräkasuaari,Casoar à casque,,Casoar à casque,,,,,,,Helmkasuar,Καζουάριος του Νότου,,,,,Hjálmkasúi,Kasuari gelambir-ganda,,ヒクイドリ,,,,,,,,,,,,,,,,,,toflikkasuar,,,kazuar hełmiasty,,,,,,,,Шлемоносный казуар,Južni kazuar,kazuár veľkoprilbý,,Casuario Común,,,,,,,,,,,,,Casuario común,,,hjälmkasuar,,,,Güneyli Kasuari,Казуар шоломний,,"Cassowary, Southern",EBIRD,2024,Casuarius casuarius
11,species,dwacas1,avibase-7751E0D1,Dwarf Cassowary,Casuarius bennetti,Casuariiformes,Casuariidae (Cassowaries and Emu),Cassowaries and Emu,,https://ebird.org/species/dwacas1,Casuarius bennetti,Dwarf Cassowary,avibase-7751E0D1,dwarfcassowary,11,species,dwacas1,avibase-7751E0D1,Dwarf Cassowary,Casuarius bennetti,Casuariiformes,Casuariidae (Cassowaries and Emu),Cassowaries and Emu,,dwacas1,,0,,Dwergkasuaris,,,,,,Cırtdan kazuar,,,,Малък казуар,casuari de Bennett,,,,,mali kazuar,kasuár menší,Dværgkasuar,Dwergkasuaris,Dwarf Cassowary,Dwarf Cassowary,,,Dwarf Cassowary,,,Dwarf Cassowary,,,,,,,,,Dwarf Cassowary,väikekaasuar,Kasuario txikia,,pikkukasuaari,Casoar de Bennett,,Casoar de Bennett,,,,,,,Bennettkasuar,Νανοκαζουάριος,,,,,Dvergkasúi,Kasuari kerdil,,コヒクイドリ,,,,,,,,,,,,,,,,,,dvergkasuar,,,kazuar mniejszy,,,,,,,,Казуар-мурук,Patuljasti kazuar,kazuár muruk,,Casuario Menor,,,,,,,,,,,,,Casuario menor,,,dvärgkasuar,,,,Küçük Kasuari,Казуар малий,,"Cassowary, Dwarf",EBIRD,2024,Casuarius bennetti
14,species,norcas1,avibase-32E7303B,Northern Cassowary,Casuarius unappendiculatus,Casuariiformes,Casuariidae (Cassowaries and Emu),Cassowaries and Emu,,https://ebird.org/species/norcas1,Casuarius unappendiculatus,Northern Cassowary,avibase-32E7303B,northerncassowary,12,species,norcas1,avibase-32E7303B,Northern Cassowary,Casuarius unappendiculatus,Casuariiformes,Casuariidae (Cassowaries and Emu),Cassowaries and Emu,,norcas1,,0,,Noordelike Kasuaris,,,,,,Narıncıboyun kazuar,,,,Голям казуар,casuari unicarunculat,,,,,šarenovrati kazuar,kasuár jednolaločný,Nordlig Kasuar,Oranjehalskasuaris,Northern Cassowary,Northern Cassowary,,,Northern Cassowary,,,Northern Cassowary,,,,,,,,,Northern Cassowary,kaeluskaasuar,Kasuario ertaina,,isokasuaari,Casoar unicaronculé,,Casoar unicaronculé,,,,,,,Einlappenkasuar,Καζουάριος του Βορρά,,,,,Sepakasúi,Kasuari gelambir-tunggal,,パプアヒクイドリ,,,,,,,,,,,,,,,,,,enflikkasuar,,,kazuar jednokoralowy,,,,,,,,Оранжевошейный казуар,Severni kazuar,kazuár džungľový,,Casuario Unicarunculado,,,,,,,,,,,,,Casuario unicarunculado,,,enflikig kasuar,,,,Kuzeyli Kasuari,Казуар жовтошиїй,,"Cassowary, Northern",EBIRD,2024,Casuarius unappendiculatus
15,species,emu1,avibase-FD2456D5,Emu,Dromaius novaehollandiae,Casuariiformes,Casuariidae (Cassowaries and Emu),Cassowaries and Emu,,https://ebird.org/species/emu1,Dromaius novaehollandiae,Emu,avibase-FD2456D5,emu,13,species,emu1,avibase-FD2456D5,Emu,Dromaius novaehollandiae,Casuariiformes,Casuariidae (Cassowaries and Emu),Cassowaries and Emu,,emu1,,0,,Emoe,,,,,Emú,Emu,,,,Ему,emú comú,,,,,emu,emu hnědý,Emu,Emoe,Emu,Emu,,,Common Emu,,,Emu,,,,,,,,,Emu,emu,Emua,,emu,Émeu d'Australie,,Émeu d'Australie,,,,,,,Emu,Εμού,,אמו,,,Emúi,,,エミュー,,,,,,,,,,,,,,,,,,emu,,,emu (zwyczajne),,,,,Emu,,,Эму,Emu,emu hnedý,,Emú,,,,,,,,,,,,,Emú,,,emu,,,,Emu,Ему австралійський,,Emu,EBIRD,2024,Dromaius novaehollandiae
21,species,sobkiw1,avibase-6BA55EF0,Southern Brown Kiwi,Apteryx australis,Apterygiformes,Apterygidae (Kiwis),Kiwis,,https://ebird.org/species/sobkiw1,Apteryx australis,Southern Brown Kiwi,avibase-6BA55EF0,southernbrownkiwi,19,species,sobkiw1,avibase-6BA55EF0,Southern Brown Kiwi,Apteryx australis,Apterygiformes,Apterygidae (Kiwis),Kiwis,,sobkiw1,,0,,Suidelike Bruinkiwi,,,,,Kiwi sureñu,,,,,Южно кафяво киви,kiwi bru de l'illa del Sud,,,,,mrki kivi,kivi jižní,Brun Kiwi,Zuidelijke bruine kiwi,Southern Brown Kiwi,Southern Brown Kiwi,,,Southern Brown Kiwi,,,Southern Brown Kiwi,,,,,,,,,Southern Brown Kiwi,pruunkiivi,,,eteläsaarenruskokiivi,Kiwi austral,,Kiwi austral,,,,,,,Südstreifenkiwi,,,,,,Brúnkíví,,,キーウィ,,,,,,,,,,,,,,,Tokoeka/Rakiura Tokoeka | Southern Brown Kiwi,,,sørbrunkivi,,,kiwi brunatny,,,,,,,,Бурый киви,Južni smeđi kivi,kivi južný,,Kiwi Sureño,,,,,,,,,,,,,Kiwi sureño,,,sydkivi,,,,Boz Kivi,Ківі бурий,,"Kiwi, Southern Brown",EBIRD,2024,Apteryx australis
24,species,okbkiw1,avibase-D433BDAB,Okarito Brown Kiwi,Apteryx rowi,Apterygiformes,Apterygidae (Kiwis),Kiwis,,https://ebird.org/species/okbkiw1,Apteryx rowi,Okarito Kiwi,avibase-D433BDAB,okaritobrownkiwi,22,species,okbkiw1,avibase-D433BDAB,Okarito Brown Kiwi,Apteryx rowi,Apterygiformes,Apterygidae (Kiwis),Kiwis,,okbkiw1,,0,,Okaritokiwi,,,,,,,,,,Окаритско киви,kiwi d'Okarito,,,,,sivoglavi kivi,kivi okaritský,Okarito Kiwi,Rowi,Okarito Brown Kiwi,Okarito Kiwi,,,Okarito Kiwi,,,Okarito Kiwi,,,,,,,,,Okarito Brown Kiwi,okarito kiivi,,,okaritonruskokiivi,Kiwi d'Okarito,,Kiwi d'Okarito,,,,,,,Okaritokiwi,,,,,,,,,オカリトキーウィ,,,,,,,,,,,,,,,Rowi | Okarito Brown Kiwi,,,okaritokivi,,,kiwi szary,,,,,,,,Окаритский киви,Okarito smeđi kivi,kivi hodvábny,,Kiwi de Okarito,,,,,,,,,,,,,Kiwi de Okarito,,,okaritokivi,,,,Okarito Kivisi,Ківі окаритський,,"Kiwi, Okarito Brown",EBIRD,2024,Apteryx rowi
25,species,nibkiw1,avibase-DB55CB8C,North Island Brown Kiwi,Apteryx mantelli,Apterygiformes,Apterygidae (Kiwis),Kiwis,,https://ebird.org/species/nibkiw1,Apteryx mantelli,North Island Brown Kiwi,avibase-DB55CB8C,northislandbrownkiwi,23,species,nibkiw1,avibase-DB55CB8C,North Island Brown Kiwi,Apteryx mantelli,Apterygiformes,Apterygidae (Kiwis),Kiwis,,nibkiw1,,0,,Noordelike Bruinkiwi,,,,,Kiwi nortiegu,,,,,Северно кафяво киви,kiwi bru de l'illa del Nord,,,,,smeđi kivi,kivi hnědý,Nordlig Kiwi,Noordelijke bruine kiwi,North Island Brown Kiwi,North Island Brown Kiwi,,,North Island Brown Kiwi,,,North Island Brown Kiwi,,,,,,,,,North Island Brown Kiwi,triipkiivi,,,pohjoissaarenruskokiivi,Kiwi de Mantell,,Kiwi de Mantell,,,,,,,Nordstreifenkiwi,,,,,,,,,ホクトウキーウィ,,,,,,,,,,,,,,,Kiwi-nui | North Island Brown Kiwi,,,nordbrunkivi,,,kiwi północny,,,,,,,,Северный киви,Severni pegavi kivi,kivi hnedý,,Kiwi Norteño,,,,,,,,,,,,,Kiwi norteño,,,brun kivi,,,,Kuzey Adası Boz Kivisi,Ківі північний,,"Kiwi, North Island Brown",EBIRD,2024,Apteryx mantelli
27,species,liskiw1,avibase-187706CF,Little Spotted Kiwi,Apteryx owenii,Apterygiformes,Apterygidae (Kiwis),Kiwis,,https://ebird.org/species/liskiw1,Apteryx owenii,Little Spotted Kiwi,avibase-187706CF,littlespottedkiwi,24,species,liskiw1,avibase-187706CF,Little Spotted Kiwi,Apteryx owenii,Apterygiformes,Apterygidae (Kiwis),Kiwis,,liskiw1,,0,,Kleingryskiwi,,,,,Kiwi pintu,,,,,Малко петнисто киви,kiwi tacat petit,,,,,mali kivi,kivi malý,Dværgkiwi,Kleine grijze kiwi,Little Spotted Kiwi,Little Spotted Kiwi,,,Little Spotted Kiwi,,,Little Spotted Kiwi,,,,,,,,,Little Spotted Kiwi,väikekiivi,,,pikkukiivi,Kiwi d'Owen,,Kiwi d'Owen,,,,,,,Zwergkiwi,,,,,,Flekkukíví,,,コマダラキーウィ,,,,,,,,,,,,,,,Kiwi Pukupuku | Little Spotted Kiwi,,,dvergkivi,,,kiwi mały,,,,,,,,Малый киви,Mali pegavi kivi,kivi pásikavý,,Kiwi Moteado Menor,,,,,,,,,,,,,Kiwi moteado menor,,,mindre fläckkivi,,,,Benekli Küçük Kivi,Ківі малий,,"Kiwi, Little Spotted",EBIRD,2024,Apteryx owenii
29,species,grskiw1,avibase-0D8B9E40,Great Spotted Kiwi,Apteryx maxima,Apterygiformes,Apterygidae (Kiwis),Kiwis,,https://ebird.org/species/grskiw1,Apteryx maxima,Great Spotted Kiwi,avibase-0D8B9E40,greatspottedkiwi,26,species,grskiw1,avibase-0D8B9E40,Great Spotted Kiwi,Apteryx maxima,Apterygiformes,Apterygidae (Kiwis),Kiwis,,grskiw1,,0,,Grootgryskiwi,,,,,Kiwi pintu pequeñu,,,,,Голямо петнисто киви,kiwi tacat gros,,,,,pjegavi kivi,kivi horský,Stor Kiwi,Grote grijze kiwi,Great Spotted Kiwi,Great Spotted Kiwi,,,Great Spotted Kiwi,,,Great Spotted Kiwi,,,,,,,,,Great Spotted Kiwi,täpikkiivi,,,kirjokiivi,Kiwi roa,,Kiwi roa,,,,,,,Haastkiwi,,,,,,Skógarkíví,,,オオマダラキーウィ,,,,,,,,,,,,,,,Roroa | Great Spotted Kiwi,,,flekkivi,,,kiwi plamisty,,,,,,,,Пятнистый киви,Veliki pegavi kivi,kivi kráľovský,,Kiwi Moteado Mayor,,,,,,,,,,,,,Kiwi moteado mayor,,,större fläckkivi,,,,Benekli Büyük Kivi,Ківі сірий,,"Kiwi, Great Spotted",EBIRD,2024,Apteryx maxima
32,species,grerhe1,avibase-00986B24,Greater Rhea,Rhea americana,Rheiformes,Rheidae (Rheas),Rheas,,https://ebird.org/species/grerhe1,Rhea americana,Greater Rhea,avibase-00986B24,greaterrhea,29,species,grerhe1,avibase-00986B24,Greater Rhea,Rhea americana,Rheiformes,Rheidae (Rheas),Rheas,,grerhe1,,0,,Grootnandoe,,,,,Ñandú,,,,,Голямо нанду,nyandú comú,,,,,veliki nandu,nandu pampový,Nandu,Nandoe,Greater Rhea,Greater Rhea,,,Greater Rhea,,,Greater Rhea,,,,,,,,,Greater Rhea,nandu,Ñandu nagusia,,nandu,Nandou d'Amérique,,Nandou d'Amérique,,,,,,,Nandu,Ρέα,,,,,Nandúi,,,レア,,,,,,,,,,,,,,,,,,stornandu,,,nandu szare,,,ema,,Nandú-grande,,,Нанду,Veliki nandu,nandu pampový,Navadni nandu,Ñandú Común,Ñandú,Greater Rhea,,,,,,,,Ñandu,,,Ñandú común,Ñandú,,större nandu,,,,Büyük Rea,Нанду великий,,"Rhea, Greater",EBIRD,2024,Rhea americana
38,species,lesrhe2,avibase-590ADF92,Lesser Rhea,Rhea pennata,Rheiformes,Rheidae (Rheas),Rheas,,https://ebird.org/species/lesrhe2,Rhea pennata,Lesser Rhea,avibase-590ADF92,lesserrhea,35,species,lesrhe2,avibase-590ADF92,Lesser Rhea,Rhea pennata,Rheiformes,Rheidae (Rheas),Rheas,,lesrhe2,,0,,Kleinnandoe,,,,,Ñandú pequeñu,,,,,Малко нанду,nyandú menut,,,,,mali nandu,nandu menší,Lille Nandu,Kleine nandoe,Lesser Rhea,Lesser Rhea,,,Lesser/Puna Rhea,,,Lesser Rhea,,,,,,,,,Lesser Rhea,patagoonia väikenandu,Ñandu txikia,,patagoniannandu,Nandou de Darwin,,Nandou de Darwin,,,,,,,Darwinnandu,Μικρή Ρέα,,,,,Blettanandúi,,,ダーウィンレア,,,,,,,,,,,,,,,,,,fjellnandu,,,nandu plamiste,,,,,,,,Дарвинов нанду,Mali nandu,nandu škvrnitý,Darwinov nandu,Ñandú Petiso,Choique,Suri/Ñandú,,,,,,Ñandú Menor,,,Ñandú Petizo,,Ñandú petiso,,,mindre nandu,,,,Benekli Rea,Нанду малий,,"Rhea, Lesser",EBIRD,2024,Rhea pennata
44,species,puntin1,avibase-0A51B426,Puna Tinamou,Tinamotis pentlandii,Tinamiformes,Tinamidae (Tinamous),Tinamous,,https://ebird.org/species/puntin1,Tinamotis pentlandii,Puna Tinamou,avibase-0A51B426,punatinamou,219,species,puntin1,avibase-0A51B426,Puna Tinamou,Tinamotis pentlandii,Tinamiformes,Tinamidae (Tinamous),Tinamous,,puntin1,,0,,Punatinamoe,,,,,,,,,,Пунайско тинаму,tinamú de la puna,,,,,punski tinamu,tinama náhorní,Punatinamu,Punatinamoe,Puna Tinamou,Puna Tinamou,,,Puna Tinamou,,,Puna Tinamou,,,,,,,,,Puna Tinamou,puunatinamu,Puna-tinamua,,punantinami,Tinamou quioula,,Tinamou quioula,,,,,,,Punatinamu,,,,,,,,,ミツユビシギダチョウ,,,,,,,,,,,,,,,,,,punatinamu,,,kusoń andyjski,,,,,,,,Тинаму пуны,Punski tinamu,inambu veľký,,Kiula Andina,Quiula Puneña,Perdiz de la puna,,,,,,Tinamú de la Puna,,,Perdiz de la Puna,,Kiula andina,,,punatinamo,,,,Puna Tinamusu,Інамбу червоногузий,,"Tinamou, Puna",EBIRD,2024,Tinamotis pentlandii
45,species,pattin1,avibase-EC451D91,Patagonian Tinamou,Tinamotis ingoufi,Tinamiformes,Tinamidae (Tinamous),Tinamous,,https://ebird.org/species/pattin1,Tinamotis ingoufi,Patagonian Tinamou,avibase-EC451D91,patagoniantinamou,220,species,pattin1,avibase-EC451D91,Patagonian Tinamou,Tinamotis ingoufi,Tinamiformes,Tinamidae (Tinamous),Tinamous,,pattin1,,0,,Patagoniese Tinamoe,,,,,,,,,,Патагонско тинаму,tinamú de la Patagònia,,,,,patagonski tinamu,tinama patagonská,Patagonsk Tinamu,Patagonische tinamoe,Patagonian Tinamou,Patagonian Tinamou,,,Patagonian Tinamou,,,Patagonian Tinamou,,,,,,,,,Patagonian Tinamou,patagoonia tinamu,Tinamu patagoniarra,,patagoniantinami,Tinamou de Patagonie,,Tinamou de Patagonie,,,,,,,Patagonientinamu,,,,,,,,,パタゴニアシギダチョウ,,,,,,,,,,,,,,,,,,patagoniatinamu,,,kusoń patagoński,,,,,,,,Патагонский тинаму,Patagonski tinamu,inambu stepný,,Kiula Patagona,Quiula Patagónica,Perdiz austral,,,,,,Tinamú Patagónico,,,,,Kiula patagona,,,patagonientinamo,,,,Boyalı Tinamu,Інамбу патагонський,,"Tinamou, Patagonian",EBIRD,2024,Tinamotis ingoufi
46,species,quctin1,avibase-9337459C,Quebracho Crested-Tinamou,Eudromia formosa,Tinamiformes,Tinamidae (Tinamous),Tinamous,,https://ebird.org/species/quctin1,Eudromia formosa,Quebracho Crested Tinamou,avibase-9337459C,quebrachocrestedtinamou,216,species,quctin1,avibase-9337459C,Quebracho Crested-Tinamou,Eudromia formosa,Tinamiformes,Tinamidae (Tinamous),Tinamous,,quctin1,,0,,Pragkuiftinamoe,,,,,,,,,,Северно качулато тинаму,tinamú crestat del Chaco,,,,,troprsti tinamu,tinama chocholatá,Quebracho-toptinamu,Quebrachotinamoe,Quebracho Crested-Tinamou,Quebracho Crested Tinamou,,,Quebracho Crested Tinamou,,,Quebracho Crested Tinamou,,,,,,,,,Quebracho Crested-Tinamou,chaco tutt-tinamu,Chacoko tinamu mottoduna,,suomutöyhtötinami,Tinamou superbe,,Tinamou superbe,,,,,,,Schmucktinamu,,,,,,,,,ミコシギダチョウ,,,,,,,,,,,,,,,,,,nordtopptinamu,,,kusacz leśny,,,,,,,,Великолепный тинаму,Savanski ćubasti tinamu,inambu hájový,,Martineta Chaqueña,Martineta Chaqueña,,,,,,,Tinamú Crestado Chaqueño,,Copetona,,,Martineta chaqueña,,,quebrachotinamo,,,,Tepeli Kızıl Tinamu,Інамбу ошатний,,"Tinamou, Quebracho Crested-",EBIRD,2024,Eudromia formosa
49,species,elctin1,avibase-4E215E82,Elegant Crested-Tinamou,Eudromia elegans,Tinamiformes,Tinamidae (Tinamous),Tinamous,,https://ebird.org/species/elctin1,Eudromia elegans,Elegant Crested Tinamou,avibase-4E215E82,elegantcrestedtinamou,205,species,elctin1,avibase-4E215E82,Elegant Crested-Tinamou,Eudromia elegans,Tinamiformes,Tinamidae (Tinamous),Tinamous,,elctin1,,0,,Pêrelkuiftinamoe,,,,,,,,,,Южно качулато тинаму,tinamú crestat elegant,,,,,kukmasti tinamu,tinama argentinská,Toptinamu,Kuiftinamoe,Elegant Crested-Tinamou,Elegant Crested Tinamou,,,Elegant Crested Tinamou,,,Elegant Crested Tinamou,,,,,,,,,Elegant Crested-Tinamou,tutt-tinamu,Panpako tinamu mottoduna,,töyhtötinami,Tinamou élégant,,Tinamou élégant,,,,,,,Perltinamu,,,,,,Skúftínamúi,,,カンムリシギダチョウ,,,,,,,,,,,,,,,,,,sørtopptinamu,,,kusacz pampasowy,,,,,,,,Хохлатый тинаму,Kitnjasti ćubasti tinamu,inambu chochlatý,Čopasti tinamu,Martineta Común,Martineta Copetona,Perdiz copetona,,,,,,Tinamú Crestado Común,,,,,Martineta común,,,prakttinamo,,,,Tepeli Tinamu,Інамбу чубатий,,"Tinamou, Elegant Crested-",EBIRD,2024,Eudromia elegans
62,species,dwatin1,avibase-B62C4561,Dwarf Tinamou,Taoniscus nanus,Tinamiformes,Tinamidae (Tinamous),Tinamous,,https://ebird.org/species/dwatin1,Taoniscus nanus,Dwarf Tinamou,avibase-B62C4561,dwarftinamou,204,species,dwatin1,avibase-B62C4561,Dwarf Tinamou,Taoniscus nanus,Tinamiformes,Tinamidae (Tinamous),Tinamous,,dwatin1,,0,,Dwergtinamoe,,,,,,,,,,Дребно тинаму,tinamú nan,,,,,patuljasti tinamu,tinama drobná,Dværg Tinamu,Dwergtinamoe,Dwarf Tinamou,Dwarf Tinamou,,,Dwarf Tinamou,,,Dwarf Tinamou,,,,,,,,,Dwarf Tinamou,värbtinamu,Tinamu nanoa,,kääpiötinami,Tinamou carapé,,Tinamou carapé,,,,,,,Pfauentinamu,,,,,,,,,マメシギダチョウ,,,,,,,,,,,,,,,,,,pygmétinamu,,,kusacz karłowaty,,,codorna-carapé,,Inhambu-carapé,,,Карликовый тинаму,Patuljasti tinamu,inambu krpatý,,Tinamú Enano,Inambú Enano,,,,,,,,,Perdiz petisa,,,Tinamú enano,,,dvärgtinamo,,,,Cüce Tinamu,Інамбу карликовий,,"Tinamou, Dwarf",EBIRD,2024,Taoniscus nanus
63,species,whbnot1,avibase-458340C7,White-bellied Nothura,Nothura boraquira,Tinamiformes,Tinamidae (Tinamous),Tinamous,,https://ebird.org/species/whbnot1,Nothura boraquira,White-bellied Nothura,avibase-458340C7,whitebelliednothura,184,species,whbnot1,avibase-458340C7,White-bellied Nothura,Nothura boraquira,Tinamiformes,Tinamidae (Tinamous),Tinamous,,whbnot1,,0,,Witpensstuithoender,,,,,,,,,,Белокорема нотура,tinamú ventreblanc,,,,,prugastovrati tinamu,tinama pastvinná,Hvidbuget Vagteltinamu,Witbuiknothura,White-bellied Nothura,White-bellied Nothura,,,White-bellied Nothura,,,White-bellied Nothura,,,,,,,,,White-bellied Nothura,kaatinga-triiptinamu,Tinamu sabelzuria,,isoviiriäistinami,Tinamou boraquira,,Tinamou boraquira,,,,,,,Weißbauchtinamu,,,,,,,,,ウズラシギダチョウ,,,,,,,,,,,,,,,,,,hvitøyetinamu,,,kusacz białobrzuchy,,,codorna-do-nordeste,,Codorna-do-nordeste,,,Белобрюхая нотура,Belotrbi notura tinamu,inambu svetlobruchý,,Tinamú Ventriblanco,,,,,,,,,,Perdiz chaqueña,,,Tinamú ventriblanco,,,vitbukig tinamo,,,,Ak Karınlı Tinamu,Нотура білочеревий,,"Nothura, White-bellied",EBIRD,2024,Nothura boraquira
64,species,lesnot1,avibase-99D7964C,Lesser Nothura,Nothura minor,Tinamiformes,Tinamidae (Tinamous),Tinamous,,https://ebird.org/species/lesnot1,Nothura minor,Lesser Nothura,avibase-99D7964C,lessernothura,185,species,lesnot1,avibase-99D7964C,Lesser Nothura,Nothura minor,Tinamiformes,Tinamidae (Tinamous),Tinamous,,lesnot1,,0,,Kleinstuithoender,,,,,,,,,,Малка нотура,tinamú menut,,,,,pjegavovrati tinamu,tinama menší,Vagteltinamu,Kleine nothura,Lesser Nothura,Lesser Nothura,,,Lesser Nothura,,,Lesser Nothura,,,,,,,,,Lesser Nothura,serrado-triiptinamu,Tinamu txikerra,,viiriäistinami,Petit Tinamou,,Petit Tinamou,,,,,,,Wachteltinamu,,,,,,,,,ヒメウズラシギダチョウ,,,,,,,,,,,,,,,,,,dvergtinamu,,,kusacz mały,,,codorna-mineira,,Codorna-mineira,,,Малая нотура,Mali notura tinamu,inambu malý,,Tinamú Menor,,,,,,,,Tinamú Diminuto,,Perdiz menor,,,Tinamú menor,,,småtinamo,,,,Küçük Notura Tinamusu,Нотура-крихітка,,"Nothura, Lesser",EBIRD,2024,Nothura minor
