Scientific (Clements),TAGS,AVIBASE,CONS_STATUS
Tinamotis pentlandii,UB::Peru::Common UB::Peru::Andrés-Avelino-Cáceres::Common UB::Peru::Huánuco::Common UB::Peru::Junín::Common UB::Peru::Pasco::Common UB::Peru::Arequipa::Common UB::Peru::Arequipa::Common UB::Peru::Gran-Chavín::Common UB::Peru::Ancash::Common UB::Peru::Inka::Common UB::Peru::Apurímac::Common UB::Peru::Cusco::Common UB::Peru::José-Carlos-Mariátegui::Common UB::Peru::Moquegua::Common UB::Peru::Puno::Common UB::Peru::Tacna::Common UB::Peru::Lima-y-Callao::Common UB::Peru::Callao::Common UB::Peru::Lima::Common UB::Peru::Lima-Province::Common UB::Peru::Los-Libertadores-Wari::Common UB::Peru::Ayacucho::Common UB::Peru::Huancavelica::Common UB::Peru::Ica::Common UB::Bolivia::Common UB::Chile::Common UB::Argentina::Common,https://avibase.bsc-eoc.org/species.jsp?avibaseid=0A51B426E7437658,Least concern
Tinamotis ingoufi,UB::Chile::Common UB::Argentina::Common,https://avibase.bsc-eoc.org/species.jsp?avibaseid=EC451D911F7D2806,Least concern
Eudromia formosa,UB::Bolivia::Rare/Accidental UB::Paraguay::Common UB::Argentina::Common,https://avibase.bsc-eoc.org/species.jsp?avibaseid=9337459C013CDC46,Least concern
Eudromia elegans,UB::Chile::Common UB::Argentina::Common,https://avibase.bsc-eoc.org/species.jsp?avibaseid=4E215E82CEB25CDE,Least concern
Taoniscus nanus,UB::Brazil::Common UB::Brazil::North-Brazil::Common UB::Brazil::Northeast-Brazil::Endemic-(country/region) UB::Brazil::Southeast-Brazil::Endemic-(country/region) UB::Brazil::South-Brazil::Endemic-(country/region) UB::Brazil::Center-West-Brazil::Endemic-(country/region) UB::Brazil::Bahia::Endemic-(country/region) UB::Brazil::Federal-District::Endemic-(country/region) UB::Brazil::Goiás::Endemic-(country/region) UB::Brazil::Mato-Grosso::Endemic-(country/region) UB::Brazil::Mato-Grosso-do-Sul::Endemic-(country/region) UB::Brazil::Minas-Gerais::Endemic-(country/region) UB::Brazil::Paraná::Endemic-(country/region) UB::Brazil::Rio-de-Janeiro::Common UB::Brazil::São-Paulo::Endemic-(country/region) UB::Brazil::Tocantins::Common UB::Paraguay::Rare/Accidental UB::Argentina::Rare/Accidental,https://avibase.bsc-eoc.org/species.jsp?avibaseid=B62C4561591FC73C,Endangered
Nothura boraquira,UB::Bolivia::Common UB::Brazil::Common UB::Brazil::North-Brazil::Common UB::Brazil::Northeast-Brazil::Common UB::Brazil::Southeast-Brazil::Common UB::Brazil::Center-West-Brazil::Common UB::Brazil::Alagoas::Common UB::Brazil::Bahia::Common UB::Brazil::Ceará::Common UB::Brazil::Espírito-Santo::Common UB::Brazil::Maranhão::Common UB::Brazil::Mato-Grosso::Common UB::Brazil::Mato-Grosso-do-Sul::Common UB::Brazil::Minas-Gerais::Common UB::Brazil::Paraíba::Common UB::Brazil::Pernambuco::Common UB::Brazil::Piauí::Common UB::Brazil::Rio-de-Janeiro::Common UB::Brazil::Rio-Grande-do-Norte::Common UB::Brazil::Sergipe::Common UB::Brazil::Tocantins::Common UB::Paraguay::Common,https://avibase.bsc-eoc.org/species.jsp?avibaseid=458340C721405D0B,Least concern
Nothura minor,UB::Brazil::Common UB::Brazil::Northeast-Brazil::Endemic-(country/region) UB::Brazil::Southeast-Brazil::Endemic-(country/region) UB::Brazil::South-Brazil::Endemic-(country/region) UB::Brazil::Center-West-Brazil::Endemic-(country/region) UB::Brazil::Bahia::Endemic-(country/region) UB::Brazil::Federal-District::Endemic-(country/region) UB::Brazil::Goiás::Endemic-(country/region) UB::Brazil::Mato-Grosso::Endemic-(country/region) UB::Brazil::Mato-Grosso-do-Sul::Endemic-(country/region) UB::Brazil::Minas-Gerais::Endemic-(country/region) UB::Brazil::Paraná::Endemic-(country/region) UB::Brazil::Piauí::Endemic-(country/region) UB::Brazil::Rio-de-Janeiro::Endemic-(country/region) UB::Brazil::Rio-Grande-do-Sul::Endemic-(country/region) UB::Brazil::Santa-Catarina::Endemic-(country/region) UB::Brazil::São-Paulo::Endemic-(country/region) UB::Paraguay::Rare/Accidental,https://avibase.bsc-eoc.org/species.jsp?avibaseid=99D7964C7BFA0AF5,Vulnerable
Nothura darwinii,UB::Peru::Common UB::Peru::Andrés-Avelino-Cáceres::Common UB::Peru::Huánuco::Common UB::Peru::Arequipa::Common UB::Peru::Arequipa::Common UB::Peru::Inka::Common UB::Peru::Apurímac::Common UB::Peru::Cusco::Common UB::Peru::José-Carlos-Mariátegui::Common UB::Peru::Puno::Common UB::Peru::Lima-y-Callao::Common UB::Peru::Callao::Common UB::Peru::Los-Libertadores-Wari::Common UB::Peru::Ayacucho::Common UB::Peru::Huancavelica::Common UB::Bolivia::Common UB::Argentina::Common,https://avibase.bsc-eoc.org/species.jsp?avibaseid=F7D1627592ADAD35,Least concern
Nothura maculosa,UB::Brazil::Common UB::Brazil::North-Brazil::Common UB::Brazil::Northeast-Brazil::Common UB::Brazil::Southeast-Brazil::Common UB::Brazil::South-Brazil::Common UB::Brazil::Center-West-Brazil::Common UB::Brazil::Alagoas::Common UB::Brazil::Amazonas::Common UB::Brazil::Bahia::Common UB::Brazil::Ceará::Common UB::Brazil::Federal-District::Common UB::Brazil::Espírito-Santo::Common UB::Brazil::Goiás::Common UB::Brazil::Maranhão::Common UB::Brazil::Mato-Grosso::Common UB::Brazil::Mato-Grosso-do-Sul::Common UB::Brazil::Minas-Gerais::Common UB::Brazil::Pará::Common UB::Brazil::Paraíba::Common UB::Brazil::Paraná::Common UB::Brazil::Pernambuco::Common UB::Brazil::Piauí::Common UB::Brazil::Rio-de-Janeiro::Common UB::Brazil::Rio-Grande-do-Norte::Common UB::Brazil::Rio-Grande-do-Sul::Common UB::Brazil::Santa-Catarina::Common UB::Brazil::São-Paulo::Common UB::Brazil::Sergipe::Common UB::Brazil::Tocantins::Common UB::Paraguay::Common UB::Uruguay::Common UB::Argentina::Common,https://avibase.bsc-eoc.org/species.jsp?avibaseid=03C3DDFB2E54FFDF,Least concern
Rhynchotus maculicollis,UB::Bolivia::Common UB::Argentina::Common,https://avibase.bsc-eoc.org/species.jsp?avibaseid=94AF5DC7D1F3B050,Least concern
