Scientific (Clements),IMAGES,DESC
Nisaetus nipalensis,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/203705871/640""><div class=""credit"">©&nbsp;Prashant Tewari</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/203705851/640""><div class=""credit"">©&nbsp;Vinit Bajpai</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/203705881/640""><div class=""credit"">©&nbsp;Paras Raj Bora</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/203705861/640""><div class=""credit"">©&nbsp;Paul Fenwick</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/203705841/640""><div class=""credit"">©&nbsp;Kantori Birders</div></div>","A large, bulky eagle of forested hills. The small head, immensely broad wings, and large, often fanned-out tail give this bird the silhouette of a hawk on steroids when in flight. When perched, the thin upright crest separates this species from any hawk. Adults are dark brown above with thick brown bars on the belly and vertical black streaks on the throat. Juveniles are paler below, with brown upperparts showing neat pale-edge feathers and mostly pale head, lightly stippled or streaked with brown."
Nisaetus alboniger,"<div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/456168161/640""><div class=""credit"">©&nbsp;Dave Bakewell</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/219754801/640""><div class=""credit"">©&nbsp;Fadzrun A.</div></div><div class=""img-w-txt""><div class=""type"">Juvenile</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/456168231/640""><div class=""credit"">©&nbsp;Vatcharavee Sriprasertsil</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/456168281/640""><div class=""credit"">©&nbsp;Phil Chaon</div></div><div class=""img-w-txt""><div class=""type"">Immature</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/219754761/640""><div class=""credit"">©&nbsp;Dan Jones</div></div><div class=""img-w-txt""><div class=""type"">Juvenile</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/219754721/640""><div class=""credit"">©&nbsp;Ayuwat Jearwattanakanok</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/219754771/640""><div class=""credit"">©&nbsp;Fadzrun A.</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/456168171/640""><div class=""credit"">©&nbsp;Wei Yan</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/456168631/640""><div class=""credit"">©&nbsp;Ayuwat Jearwattanakanok</div></div><div class=""img-w-txt""><div class=""type"">Immature</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/456168101/640""><div class=""credit"">©&nbsp;Lars Petersson | My World of Bird Photography</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/456168121/640""><div class=""credit"">©&nbsp;Simon Mitchell</div></div>","Medium-sized raptor of montane forests. Adult is dark brownish-black above and has heavily black-streaked white underparts. Flying adult shows broad, rounded wings and a single broad white band on the tail. Lacks the overall buffy brown tones of the much smaller adult Wallace’s Hawk-Eagle. Immature is very similar to Wallace’s but has thinner tail barring; immatures are best distinguished by altitude (Blyth’s favors higher elevations than Wallace’s) and size. Small crest is not visible in flight but may be held erect when perched."
Nisaetus bartelsi,"<div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/271280011/640""><div class=""credit"">©&nbsp;Lukman Nurdini</div></div><div class=""img-w-txt""><div class=""type"">Juvenile</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/271280051/640""><div class=""credit"">©&nbsp;Wade Strickland</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/271279991/640""><div class=""credit"">©&nbsp;Forest Botial-Jarvis</div></div><div class=""img-w-txt""><div class=""type"">Juvenile</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/271280021/640""><div class=""credit"">©&nbsp;Dubi Shapiro</div></div><div class=""img-w-txt""><div class=""type"">Chick</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/271280061/640""><div class=""credit"">©&nbsp;Siti Sutedjo</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/271280291/640""><div class=""credit"">©&nbsp;Sandy Gayasih</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/271280001/640""><div class=""credit"">©&nbsp;Asman Adi Purwanto</div></div>","Medium-sized eagle with short, rounded wings. Adult is dark brown above and white with heavy streaking and barring below. Perched birds show a prominent vertical crest. When in flight, note prominent “fingers”, black-striped white throat, and bold black banding on the flight feathers and tail. Juvenile has a pale tan head and underparts, a shorter crest, and paler black banding on the wings and tail. Pale morph Changeable Hawk-Eagle can be similar, but note present species’ more densely patterned underparts and wings, taller crest, and tan (not white) head in juveniles. Endemic to Java, where it is now largely limited to foothill and montane forests. Soars often, but also frequently perches silently in the canopy. Quiet, but occasionally gives thin yelping screams."
Nisaetus lanceolatus,"<div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/271280191/640""><div class=""credit"">©&nbsp;Peter Ericsson</div></div><div class=""img-w-txt""><div class=""type"">Juvenile</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/271280311/640""><div class=""credit"">©&nbsp;Scott Baker</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/271280121/640""><div class=""credit"">©&nbsp;Alex Berryman</div></div><div class=""img-w-txt""><div class=""type"">Juvenile</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/271280221/640""><div class=""credit"">©&nbsp;Holger Teichmann</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/271280101/640""><div class=""credit"">©&nbsp;Phillip Edwards</div></div>","Adult shows a dark brown crested head, a white throat with central streak, a rufous breast with bold streaking, a densely barred belly, and feathered thighs. In flight, note densely barred body and forewings, sparse bars on outer wing, and evenly barred tail. Immatures show white on head and underparts and dark brown above, with narrower tail bars. Wings broad, with bulging inner wing. Found in tall forest from lowlands to mountains. More heavily built, larger-headed, and larger-billed than Sulawesi Honey-Buzzard, and also has feathered thighs and more evenly spaced tail bars. Immature resembles young Rufous-bellied Eagle, but hawk-eagle lacks dark flanks and mask. Gives a loud “ke-ke-ke-ke…” call."
Nisaetus pinskeri,"<div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/363973841/640""><div class=""credit"">©&nbsp;Robert Hutchinson / Birdtour Asia</div></div><div class=""img-w-txt""><div class=""type"">Immature</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/363973871/640""><div class=""credit"">©&nbsp;Steve Young</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/363973851/640""><div class=""credit"">©&nbsp;Steve Young</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/363973861/640""><div class=""credit"">©&nbsp;Steve Young</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/363973881/640""><div class=""credit"">©&nbsp;Chris Chafer</div></div>","A fairly large raptor of lowland and foothill forest in the southern Philippines. Dark brown above and whitish below with a streaked head and chest and a finely barred lower belly. Note the long hind crest and the chin stripe. In flight, shows barred wings and a fairly long tail both with a dark terminal band. Juveniles much paler. Remarkably similar to Philippine Honey-Buzzard, but head doesn’t project as far forward from the wings. Voice is a fairly high, screeching “week wik!”"
Nisaetus philippensis,"<div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/363948061/640""><div class=""credit"">©&nbsp;Shailesh Pinto</div></div><div class=""img-w-txt""><div class=""type"">Immature</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/363948001/640""><div class=""credit"">©&nbsp;Douglas Ball</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/363948021/640""><div class=""credit"">©&nbsp;Ramon Quisumbing</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/363948031/640""><div class=""credit"">©&nbsp;Irene  Dy</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/363948041/640""><div class=""credit"">©&nbsp;Shailesh Pinto</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/363948081/640""><div class=""credit"">©&nbsp;Gretchen Locy</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/363947991/640""><div class=""credit"">©&nbsp;Irene  Dy</div></div><div class=""img-w-txt""><div class=""type"">Immature</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/363948011/640""><div class=""credit"">©&nbsp;Forest Botial-Jarvis</div></div>","A fairly large raptor of lowland and foothill forest in the northern Philippines. Dark brown above and pale brown below with a streaked head and chest and a finely barred lower belly. Note the long hind crest and the chin stripe. In flight, has barred wings and a fairly long tail, both with a dark terminal band. Juveniles are much paler. Remarkably similar to Philippine Honey-buzzard, but head doesn’t project as far forward from the wings. Voice is a fairly high, screeching “week wik!” or single “week!”"
Nisaetus cirrhatus,"<div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/207763921/640""><div class=""credit"">©&nbsp;Savio Fonseca (www.avocet-peregrine.com)</div></div><div class=""img-w-txt""><div class=""type"">Juvenile</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/207763591/640""><div class=""credit"">©&nbsp;Fadzrun A.</div></div><div class=""img-w-txt""><div class=""type"">Adult light morph</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/160381081/640""><div class=""credit"">©&nbsp;Shelley Rutkin</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/145284551/640""><div class=""credit"">©&nbsp;Rajinikanth Kasthuri</div></div><div class=""img-w-txt""><div class=""type"">Adult dark morph</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/160381101/640""><div class=""credit"">©&nbsp;Neoh Hor Kee</div></div><div class=""img-w-txt""><div class=""type"">Adult light morph</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/160381161/640""><div class=""credit"">©&nbsp;Neil Wingert</div></div><div class=""img-w-txt""><div class=""type"">Juvenile</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/160381131/640""><div class=""credit"">©&nbsp;Balaji P B</div></div><div class=""img-w-txt""><div class=""type"">Adult dark morph</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/160381111/640""><div class=""credit"">©&nbsp;Neoh Hor Kee</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/145284491/640""><div class=""credit"">©&nbsp;Albin Jacob</div></div>","Medium-sized eagle with massive rounded wings. Appears very small-headed in flight. Name is slightly misleading, as there are only really two color morphs, pale and black. Pale-morph adult is dark brown above with a white breast overlaid with dark streaks. Juvenile is much paler, with cleaner white underparts and less extensive striping and barring anywhere on the body. Dark morph is dark all over with paler outer wing feathers, and can be mistaken for dark Honey-Buzzards; look out for the hawk-eagle’s much longer wings and more slender profile. Inhabits forests, forest edges, and expansive parks and plantations."
Nisaetus floris,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/271279931/640""><div class=""credit"">©&nbsp;abdul azis</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/271279861/640""><div class=""credit"">©&nbsp;Yovie Jehabut</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/271279891/640""><div class=""credit"">©&nbsp;Colin Trainor</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/271279951/640""><div class=""credit"">©&nbsp;Yovie Jehabut</div></div>","A large eagle with a bright white head and underside and a chocolate-brown back and uppertail. In flight, appears entirely white except for bold dark bars and tips on outer wings and tail. A rare eagle of forested lowlands and foothills, restricted to several of the Lesser Sundas islands. Larger than immature Rufous-bellied Eagle, with bolder tail bars, an all-white head, and noticeably bulging inner wings, unlike Rufous-bellied. Differs from Short-toed Snake-Eagle in its lack of dark markings on underside of forewing and its clean white underparts."
Spizaetus tyrannus,"<div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/42451991/640""><div class=""credit"">©&nbsp;Luke Seitz</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/42452011/640""><div class=""credit"">©&nbsp;Mariló C. Castro</div></div><div class=""img-w-txt""><div class=""type"">Immature</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/42452021/640""><div class=""credit"">©&nbsp;Rolando Jordan</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/42452001/640""><div class=""credit"">©&nbsp;Lorena Patrício</div></div><div class=""img-w-txt""><div class=""type"">Immature</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/226158241/640""><div class=""credit"">©&nbsp;Roni Martinez</div></div>","Uncommon, spectacular, crested eagle of lowland tropical forest. Most frequently seen soaring in mid-late morning; rarely seen perched. Gives loud, far-carrying whistles while flying, which often indicate its presence. Adult is black overall with bold white checkering under the wings and bold white bands on the tail. Immatures, although rarely seen, are browner with a white throat and crown. The short bushy crest is usually apparent only on perched birds and is not seen in flight."
Spizaetus melanoleucus,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/326176091/640""><div class=""credit"">©&nbsp;John Cahill xikanel.com</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/243986271/640""><div class=""credit"">©&nbsp;Claudia Brasileiro</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/243986321/640""><div class=""credit"">©&nbsp;Marc FASOL</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/52931571/640""><div class=""credit"">©&nbsp;Jorge Muñoz García   CAQUETA BIRDING</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/52931591/640""><div class=""credit"">©&nbsp;John Gordon</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/52931601/640""><div class=""credit"">©&nbsp;Hudson - BirdsRio</div></div>","Rare but spectacular eagle of lowland tropical forest. Very rarely seen perched, when black mask, orange-yellow base of bill, and short black crest are distinctive. In flight appears bright white below with a white head and blackish upperparts. The diagnostic, white leading edge of the inner half of the wing contrasts with the black upperside and can be seen in flight at long range. Does not call much when flying, unlike Black and Ornate hawk-eagles. Adult similar to pale immature Gray-headed Kite, but is larger and has orange base to bill."
Spizaetus ornatus,"<div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/326175571/640""><div class=""credit"">©&nbsp;Fernando Burgalin Sequeria</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/42452351/640""><div class=""credit"">©&nbsp;David M. Bell</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/42452321/640""><div class=""credit"">©&nbsp;Alan Van Norman</div></div><div class=""img-w-txt""><div class=""type"">Juvenile</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/42452361/640""><div class=""credit"">©&nbsp;Kathleen Keef</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/42452331/640""><div class=""credit"">©&nbsp;Alfonso Escajadillo</div></div>","Uncommon, spectacular, crested eagle of tropical forest in the lowlands and foothills. Most frequently seen soaring in mid-late morning, but when hunting perches at all levels in the forest interior. Gives far-carrying, hiccupping whistles while flying, indicating its presence. Adult has orangish plumage on the side of its head and boldly barred underparts. The immature, although rarely seen, has a white head and white underparts with barring on the belly. The long and spiky crest is held flat in flight, but can be raised vertically on perched birds."
Spizaetus isidori,"<div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/157487811/640""><div class=""credit"">©&nbsp;Devin Griffiths</div></div><div class=""img-w-txt""><div class=""type"">Immature</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/157487791/640""><div class=""credit"">©&nbsp;Nick Athanas</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/157487751/640""><div class=""credit"">©&nbsp;Freddy Burgos Gallardo</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/157487801/640""><div class=""credit"">©&nbsp;Joseph Blowers</div></div><div class=""img-w-txt""><div class=""type"">Immature</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/157487771/640""><div class=""credit"">©&nbsp;Paul Molina A</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/157487741/640""><div class=""credit"">©&nbsp;Xavier Iñiguez Vela</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/157487761/640""><div class=""credit"">©&nbsp;Stephen Davies</div></div>","Rare, crested eagle of middle- to upper-elevation cloud forest. Adult’s plumage is mostly black with chestnut on breast and belly. In flight, note large white patches in wings and at base of tail, and chestnut in underwing. Juvenile is amazingly different with dark back, white underparts, and strongly banded wings and tail. Juvenile similar to pale morph Crested Eagle, but wing and tail banding is thinner, and lacks barring on breast and belly. Most likely encountered on sunny mornings, when single birds or pairs may soar high over forested ridges."
Lophotriorchis kienerii,"<div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/145386941/640""><div class=""credit"">©&nbsp;Afthab Faisal k</div></div><div class=""img-w-txt""><div class=""type"">Adult/immature</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/145386881/640""><div class=""credit"">©&nbsp;Prashant Kumar</div></div><div class=""img-w-txt""><div class=""type"">Immature</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/145386891/640""><div class=""credit"">©&nbsp;Joshua Vandermeulen</div></div><div class=""img-w-txt""><div class=""type"">Juvenile</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/145386911/640""><div class=""credit"">©&nbsp;Wich’yanan Limparungpatthanakij</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/145386871/640""><div class=""credit"">©&nbsp;Shwetha Bharathi</div></div><div class=""img-w-txt""><div class=""type"">Juvenile</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/145386931/640""><div class=""credit"">©&nbsp;Polly Kalamassery</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/145386971/640""><div class=""credit"">©&nbsp;Ashwin Viswanathan</div></div>","This handsome eagle is small and compact, with a black hood that contrasts with a white throat and rufous belly. On perched birds, note dark upperparts, short crest, and feathered legs. Juvenile lacks the hood but has dark eye-patches and all-white underparts. Often seen soaring over evergreen forests in lowland and foothill regions."
Polemaetus bellicosus,"<div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/218877601/640""><div class=""credit"">©&nbsp;Megan Perkins</div></div><div class=""img-w-txt""><div class=""type"">Immature</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/218877571/640""><div class=""credit"">©&nbsp;Daniel Jauvin</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/218877621/640""><div class=""credit"">©&nbsp;Roland Alder</div></div><div class=""img-w-txt""><div class=""type"">Immature</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/218877771/640""><div class=""credit"">©&nbsp;Kevin Vande Vusse</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/218877551/640""><div class=""credit"">©&nbsp;Michael Todd</div></div><div class=""img-w-txt""><div class=""type"">Immature</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/218877731/640""><div class=""credit"">©&nbsp;Julien Lamouroux</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/218877741/640""><div class=""credit"">©&nbsp;Donald Lipmanson</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/218877641/640""><div class=""credit"">©&nbsp;Debbie Hilaire</div></div>","A massive eagle with a short but prominent crest. The adult is uniformly brown on the head, back, and chest, with a pale belly covered in brown blotches. In flight the underwings are brown. Either solitary or in pairs, it inhabits woodland, plains, and semi-desert, where it hunts for vertebrates. Martial Eagles have extremely keen eyesight and can locate prey from six kilometers away. They hunt mostly on the wing and surprise prey from above. Juvenile Martial and Crowned eagles are similar, but Martial has whitish (not buffy) underparts, unspotted flanks, and narrower bars on the tail."
Lophaetus occipitalis,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/218725261/640""><div class=""credit"">©&nbsp;Peter  Steward</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/218725221/640""><div class=""credit"">©&nbsp;Nigel Voaden</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/218725241/640""><div class=""credit"">©&nbsp;Hans Norelius</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/218725251/640""><div class=""credit"">©&nbsp;Stu Elsom - Stuart Elsom Ecology / Rockjumper Birding Tours</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/218725231/640""><div class=""credit"">©&nbsp;Forest Botial-Jarvis</div></div>","Large, chunky, blackish eagle with a towering, floppy crest. In flight, the wing shows much white below and less above. Found in woodland, plantations, and open forest. Perches for long periods, and only occasionally soars. Call is a long, powerful “kweeeeya.” Separated from Verreaux’s Eagle by different shape: more compact, with a shorter tail and broader, squared-off wings."
Ictinaetus malaiensis,"<div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/145394431/640""><div class=""credit"">©&nbsp;Roozbeh Gazdar</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/145394391/640""><div class=""credit"">©&nbsp;Bopanna Pattada</div></div><div class=""img-w-txt""><div class=""type"">Juvenile</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/145394321/640""><div class=""credit"">©&nbsp;NORALIP HASSANUDDIN</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/145394481/640""><div class=""credit"">©&nbsp;Swapnil Thatte</div></div><div class=""img-w-txt""><div class=""type"">Adult and chick</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/145394361/640""><div class=""credit"">©&nbsp;Kalyan Varma</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/145394471/640""><div class=""credit"">©&nbsp;jimmy Yao</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/145394531/640""><div class=""credit"">©&nbsp;Chien-wei(Bao) Tseng</div></div>","Large and distinctive dark eagle of forested mountains and hills. Adults appear all dark from a distance, but closer inspection reveals pale barring on the primaries, secondaries, and undertail, as well as a bright yellow bill and feet. Readily separated from other large birds of prey in range by structure as well as coloration; Black Eagles have broad wings with distinct “fingers”(emarginated primaries) in the tip, as well as a long tail that is fan-shaped when open and slightly wedge-shaped when closed."
