Scientific (Clements),IMAGES,DESC
Apteryx maxima,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/330638361/640""><div class=""credit"">©&nbsp;Max De Beer</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/330637831/640""><div class=""credit"">©&nbsp;Simon Gorta</div></div>","Large, light grayish brown kiwi with white horizontal banding or mottling along the length of the body. Restricted to the native forests, scrubland, and upland tussock grasslands of the northwestern South Island of New Zealand. More often heard than seen, including loud sniffling as it forages at night for invertebrates. Male produces a series of burry, rising high-pitched whistles. Female has a lower ascending burry whistle. Pairs often duet. Could be confused with Weka by voice and shape; look for the kiwi’s much longer bill and lack of tail, and listen for its multisyllabic call."
Rhea americana,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/183424001/640""><div class=""credit"">©&nbsp;Dave Curtis</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/183424031/640""><div class=""credit"">©&nbsp;Patrick MONNEY</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/183424021/640""><div class=""credit"">©&nbsp;Michael Todd</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/183424041/640""><div class=""credit"">©&nbsp;Michael Plaster</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/183424011/640""><div class=""credit"">©&nbsp;Manfred Bienert</div></div>","The largest bird in South America; resembles an ostrich and is unmistakable. Flightless and appears tailless. Mostly gray-brown overall with very long legs and neck and a proportionally small head. Males have a dark brown crown and blackish lower neck and upperparts. Females have lighter plumage. Juveniles look similar to adults but are smaller. Inhabits open areas with scattered trees and shrubs, such as savannas and pampas, where it can gather in large groups. The males are responsible for incubating the eggs and looking after the chicks."
Rhea pennata,"<div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/115691341/640""><div class=""credit"">©&nbsp;Pablo Andrés Cáceres Contreras</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/115691351/640""><div class=""credit"">©&nbsp;Luke Seitz</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/115691331/640""><div class=""credit"">©&nbsp;VERONICA ARAYA GARCIA</div></div><div class=""img-w-txt""><div class=""type"">Juvenile</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/115691411/640""><div class=""credit"">©&nbsp;Daniel Matamoros</div></div><div class=""img-w-txt""><div class=""type"">Adult and juvenile</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/115691361/640""><div class=""credit"">©&nbsp;Jeff Costa</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/115691401/640""><div class=""credit"">©&nbsp;Paul Tavares</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/115691381/640""><div class=""credit"">©&nbsp;Aidan Goldie</div></div>","This flightless South American relative of the ostriches stands about 5 feet tall with a body about the size of a sheep; no similar species in its range. Rheas roam widely on open Patagonian steppe and also occur locally in open habitats of the Andes, mainly at very high elevations. Can be confiding where used to people, but in other areas wary, running strongly and quickly. Rheas occur singly or in groups, and males take care of the young. Adults have bold pale spots on the body, first-year birds are plainer overall."
Tinamotis pentlandii,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/610033699/640""><div class=""credit"">©&nbsp;Marco Valentini</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/107161391/640""><div class=""credit"">©&nbsp;Luke Seitz</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/107161411/640""><div class=""credit"">©&nbsp;Esteban Villanueva O. / Aves Libres Chile</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/107161401/640""><div class=""credit"">©&nbsp;Vicente Pantoja Maggi</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/107161381/640""><div class=""credit"">©&nbsp;VERONICA ARAYA GARCIA</div></div>","Large, cryptically patterned chickenlike bird of puna grassland and bogs in the high Andes. Usually seen in trios or family groups (males take care of the young); fairly common where not hunted, but mostly wary of people. Very heavy bodied and runs strongly; very rarely flies. Striped head and dark rusty belly are diagnostic plumage features. Loud, shrieky, and rollicking choruses carry far in the thin air of the altiplano."
Tinamotis ingoufi,"<div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/107242101/640""><div class=""credit"">©&nbsp;Markus Deutsch</div></div><div class=""img-w-txt""><div class=""type"">Adult and juvenile</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/107242131/640""><div class=""credit"">©&nbsp;Andrew Spencer</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/107242121/640""><div class=""credit"">©&nbsp;Santiago Imberti</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/107242111/640""><div class=""credit"">©&nbsp;Sebastián Saiter Villagrán</div></div>","Large, cryptically patterned chickenlike bird of Patagonian grasslands with bushes and low shrubs. Scarce and rarely encountered. Like related tinamous of open habitats, most often in trios or family groups (males take care of the young). Runs strongly in preference to flying (in flight note bright rusty wings). Striped head (without a crest) and spotted upperparts are diagnostic plumage features; only other tinamou in its range is the rather different Elegant Crested-Tinamou. Loud haunting whistles carry well, but the sound is easily whipped away in the wind."
Eudromia formosa,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/242363191/640""><div class=""credit"">©&nbsp;Tini & Jacob Wijpkema</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/242363161/640""><div class=""credit"">©&nbsp;Andrés  Terán</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/242363171/640""><div class=""credit"">©&nbsp;Carlos Cuñado Strelkov</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/242363181/640""><div class=""credit"">©&nbsp;Joao Quental JQuental</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/242363461/640""><div class=""credit"">©&nbsp;Tini & Jacob Wijpkema</div></div>","A striking tinamou of the northern chaco desert and scrub. Very similar to Elegant Crested-Tinamou, but range does not overlap. Prefers dense scrub and understory, but can also be seen in openings and roadsides. Voice distinctive, and quite different from Elegant Crested-Tinamou: two whistles that are each flat in pitch, then rising sharply in pitch at the end - “Tooooo-wee! Tooo-wee!”"
Eudromia elegans,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/242361281/640""><div class=""credit"">©&nbsp;Martín Perez</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/242361161/640""><div class=""credit"">©&nbsp;Jesus Barreda</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/242361171/640""><div class=""credit"">©&nbsp;Ignacio Hernandez</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/242361221/640""><div class=""credit"">©&nbsp;Sam Woods/Tropical Birding Tours</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/242458021/640""><div class=""credit"">©&nbsp;Andres Vasquez Noboa</div></div>","Distinctive and striking tinamou, nearly endemic to Argentina, from northern Patagonia through the Monte desert region. Prefers open, rocky habitat. In the northern chaco replaced by similar Quebracho Crested-Tinamou. Often found by its three-part whistled song: a “twee-tyoo-too” similar to but less emphatic and more consistently pitched than Red-winged Tinamou."
Taoniscus nanus,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/620008965/1200/640""><div class=""credit"">©&nbsp;Afonso Carlos  Oliveira</div></div>","Tiny, retiring, plump tinamou with short legs. Rusty brown and variegated above, with a white chin and center to the belly and a barred breast and flanks. Inhabits increasingly rare well-preserved humid savannas with short grass and scattered bushes. Hides in armadillo burrows, making it very hard to see. The song begins with a few short nasal notes that can be easily mistaken for an insect, and finishes with a trill."
Nothura boraquira,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/608873604/640""><div class=""credit"">©&nbsp;Bradley Hacker 🦜</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/608873606/640""><div class=""credit"">©&nbsp;Elby Anderson A Silva</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/608873603/640""><div class=""credit"">©&nbsp;Tini & Jacob Wijpkema</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/608873605/640""><div class=""credit"">©&nbsp;Caio Brito | Brazil Birding Experts</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/250886391/640""><div class=""credit"">©&nbsp;Andres Vasquez Noboa</div></div>","Small, sand-colored tinamou with a mix of rusty and dark spots on the back and a white belly. Found in natural and human-modified grasslands, where it is difficult to catch sight of due to its retiring nature and cryptic plumage. The song is a high, thin “peeea.”"
Nothura minor,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/247064691/640""><div class=""credit"">©&nbsp;Luiz Alberto dos Santos</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/181346821/640""><div class=""credit"">©&nbsp;Renato Moreira</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/247064721/640""><div class=""credit"">©&nbsp;Afonso Carlos  Oliveira</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/247064751/640""><div class=""credit"">©&nbsp;Renato Moreira</div></div>",Sandy-colored tinamou that usually holds an upright posture. Has a brown crown and a heavily streaked back and throat. Occurs in grassland areas with scrub. The song is a series of metallic whistles: “peee peeeeee-peeep peeep peeep peeeeee.” The similar Spotted Nothura is larger and more rufescent and prefers areas with shorter grasses.
