Scientific (Clements),TAGS,AVIBASE,CONS_STATUS
Anarhynchus pallidus,,,
Anarhynchus peronii,,,
Anarhynchus marginatus,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=214B3533093D7B6B,Least concern
Anarhynchus javanicus,,,
Anarhynchus alexandrinus,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=AA4385A283B9A81E,Least concern
Anarhynchus dealbatus,,,
Pedionomus torquatus,,,
Attagis gayi,,,
Attagis malouinus,,,
Thinocorus orbignyianus,,,
Thinocorus rumicivorus,,,
Rostratula benghalensis,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=7516E6872967C181,Least concern
Rostratula australis,,,
Nycticryphes semicollaris,,,
Hydrophasianus chirurgus,,,
Jacana spinosa,,,
Jacana jacana,,,
Microparra capensis,,,
Irediparra gallinacea,,,
Metopidius indicus,,,
Actophilornis africanus,UB::Western-Palearctic::Uncertain-origin ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=D16D486D33F5C4C3,Least concern
Actophilornis albinucha,,,
Bartramia longicauda,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=BF1DA86E0714FD01,Least concern
Numenius tahitiensis,,,
Numenius hudsonicus,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=4D844D5E5D15C3F6,Least concern
Numenius phaeopus,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=082F3A63A99AEDD4,Least concern
Numenius minutus,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=C00E1EB8C00BCC31,Least concern
Numenius borealis,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=FB9305DB788ED649,Critically endangered
Numenius americanus,,,
Numenius madagascariensis,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=DAF8F22BD6A6C662,Endangered
Numenius tenuirostris,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=7A35DE8186E4DF43,Critically endangered
Numenius arquata,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=3BB5CBA66CF48884,Near-threatened
Limosa lapponica,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=9A684C997C1AF1BA,Near-threatened
Limosa limosa,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=454B5CD5F5285B77,Near-threatened
Limosa haemastica,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=930139644308C7B7,Vulnerable
Limosa fedoa,,,
Limnodromus semipalmatus,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=B7E68EC8AB117F6C,Near-threatened
Limnodromus griseus,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=4A3B2CFF53868550,Vulnerable
Limnodromus scolopaceus,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=CB343E43E8CAF303,Near-threatened
Lymnocryptes minimus,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=1A15F0C6B4948C52,Least concern
Scolopax minor,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=F4829920F1710E56,Least concern
Scolopax rusticola,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=BFE14290EA4326FA,Least concern
Scolopax mira,,,
Scolopax bukidnonensis,,,
Scolopax saturata,,,
Scolopax rosenbergii,,,
Scolopax celebensis,,,
Scolopax rochussenii,,,
Coenocorypha barrierensis,,,
Coenocorypha iredalei,,,
Coenocorypha pusilla,,,
Coenocorypha huegeli,,,
Coenocorypha aucklandica,,,
Gallinago imperialis,,,
Gallinago jamesoni,,,
Gallinago stricklandii,,,
Gallinago solitaria,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=F6B72EAFCB98A437,Least concern
Gallinago nemoricola,,,
Gallinago media,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=BCCD5840C7A6D538,Near-threatened
Gallinago megala,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=9E66B47A3044536F,Least concern
Gallinago stenura,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=EE61E2CACBEC4856,Least concern
Gallinago hardwickii,,,
Gallinago nigripennis,,,
Gallinago gallinago,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=9151E0BA75761647,Least concern
Gallinago delicata,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=F5C8516D3B9C7686,Least concern
Gallinago undulata,,,
Gallinago nobilis,,,
Gallinago andina,,,
Gallinago macrodactyla,,,
Gallinago paraguaiae,,,
Gallinago magellanica,,,
Phalaropus tricolor,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=667C6969D7874433,Least concern
Phalaropus fulicarius,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=18A1938091EEEA73,Least concern
Phalaropus lobatus,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=E6F3BA54577746FB,Least concern
Xenus cinereus,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=6D5992EEE12070E8,Least concern
Actitis hypoleucos,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=8548B07ECA48773F,Least concern
Actitis macularius,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=0D88C072E71FE4B8,Least concern
Tringa ochropus,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=A7B17EFC92B53D29,Least concern
Tringa solitaria,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=D4A73324DB24F142,Least concern
Tringa brevipes,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=29256A389375B43E,Least concern
Tringa incana,,,
Tringa stagnatilis,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=15CF9352AD0E92DF,Least concern
Tringa glareola,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=8E67DC5F68BDF62C,Least concern
Tringa totanus,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=D6BFC73A3E067711,Least concern
Tringa flavipes,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=2C7A2673444BECF0,Vulnerable
Tringa guttifer,,,
Tringa semipalmata,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=E7A14E91456CB432,Least concern
Tringa erythropus,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=0895DD84DB3A45D1,Least concern
Tringa nebularia,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=18B415D28BBF934C,Least concern
Tringa melanoleuca,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=6EB81C98A8FD9CE6,Near-threatened
Prosobonia cancellata,,,
Prosobonia leucoptera,,,
Prosobonia ellisi,,,
Prosobonia parvirostris,,,
Arenaria interpres,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=DC3050A9771F2CE9,Near-threatened
Arenaria melanocephala,,,
Calidris tenuirostris,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=09C51FA9A4E5C3E8,Endangered
Calidris canutus,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=B5CE8FAD18923A94,Near-threatened
Calidris virgata,,,
Calidris pugnax,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=2DABF98FBEEAB7BB,Least concern
Calidris falcinellus,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=0A14882F5F9F64E6,Vulnerable
Calidris acuminata,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=A0A67A811E53D89F,Vulnerable
Calidris ferruginea,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=143A681C9BCE9A20,Vulnerable
Calidris himantopus,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=ECDE73F2E6E6E622,Near-threatened
Calidris temminckii,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=5ACF7FB313BEF9EA,Least concern
Calidris subminuta,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=7D629288C753814E,Least concern
Calidris ruficollis,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=BBDF2F1BAC640E4D,Near-threatened
Calidris pygmaea,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=3FC8CA50CC50BAAD,Critically endangered
Calidris subruficollis,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=3A3C62BC935BDA72,Vulnerable
Calidris alba,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=06B9BD243A756B28,Least concern
Calidris alpina,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=15369E8EB4CBD064,Near-threatened
Calidris maritima,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=0A0B84313ACFFB2F,Least concern
Calidris ptilocnemis,,,
Calidris bairdii,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=1F1AD154DAE2E070,Least concern
Calidris minuta,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=9936FF4AFB430504,Least concern
Calidris fuscicollis,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=153BA3069DFCDDCA,Vulnerable
Calidris minutilla,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=A47B0BD448AA34E0,Near-threatened
Calidris melanotos,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=ACC99F35F0E8F7EB,Least concern
Calidris mauri,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=01060BFDFF0D9D28,Least concern
Calidris pusilla,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=F35821AAC21FFF20,Near-threatened
Turnix tanki,,,
Turnix maculosus,,,
Turnix suscitator,,,
Turnix ocellatus,,,
Turnix sylvaticus,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=0DA8BB90D5401FDB,Least concern
Turnix velox,,,
Turnix pyrrhothorax,,,
Turnix worcesteri,,,
Turnix everetti,,,
Turnix nanus,,,
Turnix hottentottus,,,
Turnix castanotus,,,
Turnix olivii,,,
Turnix varius,,,
Turnix novaecaledoniae,,,
Turnix melanogaster,,,
Turnix nigricollis,,,
Ortyxelos meiffrenii,,,
Dromas ardeola,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=C3E33FEBDE75219B,Least concern
Smutsornis africanus,,,
Rhinoptilus chalcopterus,,,
Rhinoptilus bitorquatus,,,
Rhinoptilus cinctus,,,
Cursorius temminckii,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=7A841F8350F3E1C7,Least concern
Cursorius coromandelicus,,,
Cursorius cursor,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=DE0A72A7FA1E6DB7,Least concern
Cursorius somalensis,,,
Cursorius rufus,,,
Glareola nuchalis,,,
Glareola isabella,,,
Glareola cinerea,,,
Glareola lactea,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=D9A310F122B86A22,Least concern
Glareola ocularis,,,
Glareola pratincola,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=D56ABB4EE468E9EF,Least concern
Glareola nordmanni,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=E1F6A875C32C042D,Near-threatened
Glareola maldivarum,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=3222F80FA99A55A7,Least concern
Stercorarius longicaudus,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=1D4464402EC9FD21,Least concern
Stercorarius parasiticus,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=39086887E9EAFEB3,Least concern
Stercorarius pomarinus,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=7CB8F5B711DE64D0,Least concern
Stercorarius skua,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=BB041C6E5DB73FC7,Least concern
Stercorarius chilensis,,,
Stercorarius antarcticus,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=4D5D2BC3F80BD645,Least concern
Stercorarius maccormicki,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=7D1A9D5CCCDC597C,Least concern
Cerorhinca monocerata,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=53D94597DFB84ECB,Least concern
Fratercula cirrhata,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=F79373497BC9C8FD,Least concern
Fratercula arctica,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=2771624B64AD7F2C,Vulnerable
Fratercula corniculata,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=24111FA5AE00A5DB,Least concern
Ptychoramphus aleuticus,,,
Aethia pusilla,,,
Aethia pygmaea,,,
Aethia cristatella,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=3DC4EBB85AB96A2A,Least concern
Aethia psittacula,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=2B46719DC058D033,Least concern
Brachyramphus perdix,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=0518820F7A915A80,Near-threatened
Brachyramphus brevirostris,,,
Brachyramphus marmoratus,,,
Cepphus grylle,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=B5AA5952E13FE5F3,Least concern
Cepphus carbo,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=906805208A4BB584,Least concern
Cepphus columba,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=2F5DF476344AEA92,Least concern
Alca torda,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=64F4DD81371B269F,Least concern
Pinguinus impennis,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=57D2F32E062CB366,Extinct
Alle alle,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=B0932D89F1F74318,Least concern
Uria lomvia,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=B70B5840ABCD5CFC,Least concern
Uria aalge,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=39F29B55EF9A542F,Least concern
Synthliboramphus antiquus,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=ACA4FEFE451B4BD8,Least concern
Synthliboramphus wumizusume,,,
Synthliboramphus scrippsi,,,
Synthliboramphus hypoleucus,,,
Synthliboramphus craveri,,,
Creagrus furcatus,,,
Hydrocoloeus minutus,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=F89FD6E3A367C008,Least concern
Rhodostethia rosea,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=4CD353D243C27F86,Least concern
Rissa tridactyla,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=FB4D08F0837D4683,Vulnerable
Rissa brevirostris,,,
Pagophila eburnea,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=FED91A1F00C4E67C,Near-threatened
Xema sabini,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=86182656472B476B,Least concern
Saundersilarus saundersi,,,
Chroicocephalus genei,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=27CE7132A1848BCD,Least concern
Chroicocephalus philadelphia,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=0337440E2A88E638,Least concern
Chroicocephalus novaehollandiae,,,
Chroicocephalus bulleri,,,
Chroicocephalus serranus,,,
Chroicocephalus maculipennis,,,
Chroicocephalus ridibundus,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=FB02DD9658CC1EC6,Least concern
Chroicocephalus brunnicephalus,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=C2868E7AA8A8778F,Least concern
Chroicocephalus cirrocephalus,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=6EB497FA1859864B,Least concern
Chroicocephalus hartlaubii,,,
Leucophaeus modestus,,,
Leucophaeus scoresbii,,,
Leucophaeus atricilla,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=6CDC3C9C8B50EA71,Least concern
Leucophaeus pipixcan,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=57C93A74CBC9863F,Least concern
Leucophaeus fuliginosus,,,
Ichthyaetus ichthyaetus,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=EF930CDC7CE618F7,Least concern
Ichthyaetus relictus,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=166CE0D70D663FCC,Vulnerable
Ichthyaetus audouinii,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=F7B9355E42C3F987,Vulnerable
Ichthyaetus melanocephalus,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=052BFA8A77EED5AF,Least concern
Ichthyaetus hemprichii,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=67D43542E9EBE903,Least concern
Ichthyaetus leucophthalmus,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=A7F240E39F0AD5F9,Least concern
Larus pacificus,,,
Larus belcheri,,,
Larus crassirostris,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=8C4CE60F3DA7955C,Least concern
Larus atlanticus,,,
Larus heermanni,,,
Larus canus,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=00DA9D9151189271,Least concern
Larus brachyrhynchus,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=342F6965CFE656B1,Least concern
Larus delawarensis,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=23863F65441680FA,Least concern
Larus livens,,,
Larus occidentalis,,,
Larus cachinnans,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=93CA037F6FFE9FDB,Least concern
Larus dominicanus,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=E6536E4E904EF414,Least concern
Larus smithsonianus,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=60F32AF8F5E3E40B,Least concern
Larus vegae,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=FD1EF7BB1FBB3311,Least concern
Larus mongolicus,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=E1325FAB8AD8AF75,Least concern
Larus argentatus,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=F002188E226DF09C,Least concern
Larus michahellis,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=E074D7069AE1303C,Least concern
Larus armenicus,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=F6951FF7E28D37AC,Least concern
Larus marinus,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=E826E9F3FBAED223,Least concern
Larus hyperboreus,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=A59FA446D6B40057,Least concern
Larus fuscus,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=2D52E3A509137804,Least concern
Larus californicus,,,
Larus glaucescens,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=03AC32BA532FB6E3,Least concern
Larus schistisagus,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=456C7FAEF6E50426,Least concern
Larus glaucoides,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=FB4FCB27CC5566D1,Least concern
Rynchops flavirostris,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=907B1140134453B4,Least concern
Rynchops albicollis,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=88151F23B9BD5964,Endangered
Rynchops niger,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=88AB027C4DF06D93,Least concern
Gygis alba,,,
Gygis candida,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=0E429338254C6275,Least concern
Gygis microrhyncha,,,
Anous stolidus,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=A070171E774B95B5,Least concern
Anous tenuirostris,,,
Anous minutus,,,
Anous albivitta,,,
Anous ceruleus,,,
Onychoprion aleuticus,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=BEE4F34A70214978,Vulnerable
Onychoprion fuscatus,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=3E7F825D03C0DC3E,Least concern
Onychoprion anaethetus,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=E6518B9D5C802F2A,Least concern
Onychoprion lunatus,,,
Sternula albifrons,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=17310BF0FE9BAC8A,Least concern
Sternula saundersi,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=4B21F4D8DBD4F42D,Least concern
Sternula balaenarum,,,
Sternula nereis,,,
Sternula antillarum,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=BE78E765F1DA8123,Least concern
Sternula superciliaris,,,
Sternula lorata,,,
Phaetusa simplex,,,
Gelochelidon nilotica,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=87168739C37AC427,Least concern
Gelochelidon macrotarsa,,,
Hydroprogne caspia,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=BC06BC0D1056BC7B,Least concern
Larosterna inca,,,
Chlidonias hybrida,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=7AB4E42B260B5954,Least concern
Chlidonias albostriatus,,,
Chlidonias niger,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=115AF02DD58018FB,Least concern
Chlidonias leucopterus,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=43CAAEE3B0D305D9,Least concern
Sterna aurantia,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=A874F3344E9FE3C3,Vulnerable
Sterna forsteri,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=D13B91229B2F157E,Least concern
Sterna trudeaui,,,
Sterna paradisaea,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=BDC5CF80BE6CFC21,Least concern
Sterna hirundinacea,,,
Sterna vittata,,,
Sterna virgata,,,
Sterna hirundo,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=4D2FF6F13790ED7E,Least concern
Sterna repressa,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=CF5C013D4B3FE57D,Least concern
Sterna sumatrana,,,
Sterna dougallii,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=74236837A4AFD042,Least concern
Sterna striata,,,
Sterna acuticauda,,,
Thalasseus sandvicensis,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=F7504353640C1055,Least concern
Thalasseus elegans,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=3F9E1C51FBD48FC1,Near-threatened
Thalasseus bengalensis,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=D01CDECDCA736E26,Least concern
Thalasseus albididorsalis,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=CF8461BFDAE5E751,Least concern
Thalasseus maximus,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=719935EF80BDF4AB,Least concern
Thalasseus bergii,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=526978C4A16D3750,Least concern
Thalasseus bernsteini,,,
Phoenicopterus chilensis,,,
Phoenicopterus ruber,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=E3FF6313179EC968,Least concern
Phoenicopterus roseus,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=0F9B5174A8ACF737,Least concern
