Scientific (Clements),MNEMONIC
Sterna repressa,nan
Sterna sumatrana,nan
Sterna dougallii,nan
Sterna striata,nan
Sterna acuticauda,nan
Thalasseus sandvicensis,nan
Thalasseus elegans,nan
Thalasseus bengalensis,nan
Thalasseus albididorsalis,nan
Thalasseus maximus,keeer (trilled)
Thalasseus bergii,nan
Thalasseus bernsteini,nan
Phoenicopterus chilensis,nan
Phoenicopterus ruber,nan
Phoenicopterus roseus,nan
Phoeniconaias minor,nan
Phoenicoparrus andinus,nan
Phoenicoparrus jamesi,nan
Rollandia rolland,nan
Rollandia microptera,nan
Tachybaptus rufolavatus,nan
Tachybaptus ruficollis,nan
Tachybaptus novaehollandiae,nan
Tachybaptus pelzelnii,nan
Tachybaptus dominicus,nan
Podilymbus podiceps,nan
Podilymbus gigas,nan
Poliocephalus poliocephalus,nan
Poliocephalus rufopectus,nan
Podiceps major,nan
Podiceps auritus,nan
Podiceps grisegena,nan
Podiceps cristatus,nan
Podiceps nigricollis,nan
Podiceps andinus,nan
Podiceps occipitalis,nan
Podiceps taczanowskii,nan
Podiceps gallardoi,nan
Aechmophorus occidentalis,krik-krik
Aechmophorus clarkii,kreeet (burry)<br/>kriiik (burry)
Opisthocomus hoazin,nan
Rhynochetos jubatus,nan
Eurypyga helias,nan
Phaethon lepturus,nan
Phaethon aethereus,nan
Phaethon rubricauda,nan
Gavia stellata,kwuk
Gavia arctica,nan
Gavia pacifica,kwa-wee!
Gavia immer,cooo-leee; cooo-leee (slow; plaintive)<br/>whinny
Gavia adamsii,nan
Aptenodytes patagonicus,nan
Aptenodytes forsteri,nan
Pygoscelis adeliae,nan
Pygoscelis papua,nan
Pygoscelis antarcticus,nan
Megadyptes antipodes,nan
Eudyptula minor,nan
Spheniscus demersus,nan
Spheniscus humboldti,nan
Spheniscus mendiculus,nan
Spheniscus magellanicus,nan
Eudyptes pachyrhynchus,nan
Eudyptes sclateri,nan
Eudyptes chrysolophus,nan
Eudyptes schlegeli,nan
Eudyptes chrysocome,nan
Eudyptes filholi,nan
Eudyptes moseleyi,nan
Eudyptes robustus,nan
Diomedea sanfordi,nan
Diomedea epomophora,nan
Diomedea exulans,nan
Diomedea dabbenena,nan
Diomedea antipodensis,nan
Diomedea amsterdamensis,nan
Phoebastria irrorata,nan
Phoebastria immutabilis,nan
Phoebastria nigripes,nan
Phoebastria albatrus,nan
Phoebetria fusca,nan
Phoebetria palpebrata,nan
Thalassarche chlororhynchos,nan
Thalassarche carteri,nan
Thalassarche chrysostoma,nan
Thalassarche bulleri,nan
Thalassarche cauta,nan
Thalassarche salvini,nan
Thalassarche eremita,nan
Thalassarche melanophris,nan
Oceanites oceanicus,nan
Oceanites pincoyae,nan
Oceanites gracilis,nan
Garrodia nereis,nan
Pelagodroma marina,nan
Fregetta grallaria,nan
Fregetta maoriana,nan
Fregetta lineata,nan
Fregetta tropica,nan
Nesofregetta fuliginosa,nan
Hydrobates pelagicus,nan
Hydrobates furcatus,nan
Hydrobates hornbyi,nan
Hydrobates leucorhous,nan
Hydrobates socorroensis,nan
Hydrobates cheimomnestes,nan
Hydrobates monorhis,nan
Hydrobates homochroa,nan
Hydrobates castro,nan
Hydrobates monteiroi,nan
Hydrobates jabejabe,nan
Hydrobates tethys,nan
Hydrobates melania,nan
Hydrobates macrodactylus,nan
Hydrobates markhami,nan
Hydrobates matsudairae,nan
Hydrobates tristrami,nan
Hydrobates microsoma,nan
Macronectes giganteus,nan
Macronectes halli,nan
Fulmarus glacialis,nan
Fulmarus glacialoides,nan
Thalassoica antarctica,nan
Daption capense,nan
Pagodroma nivea,nan
Aphrodroma brevirostris,nan
Pterodroma rupinarum,nan
Pterodroma macroptera,nan
Pterodroma gouldi,nan
Pterodroma neglecta,nan
Pterodroma magentae,nan
Pterodroma arminjoniana,nan
Pterodroma heraldica,nan
Pterodroma ultima,nan
Pterodroma solandri,nan
Pterodroma atrata,nan
Pterodroma madeira,nan
Pterodroma feae,nan
Pterodroma deserta,nan
Pterodroma mollis,nan
Pterodroma baraui,nan
Pterodroma lessonii,nan
Pterodroma inexpectata,nan
Pterodroma cahow,nan
Pterodroma hasitata,nan
Pterodroma caribbaea,nan
Pterodroma externa,nan
Pterodroma incerta,nan
Pterodroma phaeopygia,nan
Pterodroma sandwichensis,nan
Pterodroma cervicalis,nan
Pterodroma hypoleuca,nan
Pterodroma nigripennis,nan
Pterodroma axillaris,nan
Pterodroma cookii,nan
Pterodroma defilippiana,nan
Pterodroma leucoptera,nan
Pterodroma brevipes,nan
Pterodroma longirostris,nan
Pterodroma pycrofti,nan
Pterodroma alba,nan
Pterodroma occulta,nan
Halobaena caerulea,nan
Pachyptila turtur,nan
Pachyptila vittata,nan
Pachyptila salvini,nan
Pachyptila macgillivrayi,nan
Pachyptila desolata,nan
Pachyptila belcheri,nan
Pachyptila crassirostris,nan
Bulweria bulwerii,nan
Bulweria fallax,nan
Bulweria bifax,nan
Pseudobulweria macgillivrayi,nan
Pseudobulweria aterrima,nan
Pseudobulweria rostrata,nan
Pseudobulweria becki,nan
Procellaria cinerea,nan
Procellaria aequinoctialis,nan
Procellaria conspicillata,nan
Procellaria parkinsoni,nan
Procellaria westlandica,nan
Calonectris leucomelas,nan
Calonectris borealis,nan
Calonectris diomedea,nan
Calonectris edwardsii,nan
Ardenna creatopus,nan
Ardenna carneipes,nan
Ardenna gravis,nan
Ardenna pacifica,nan
Ardenna bulleri,nan
Ardenna grisea,nan
Ardenna tenuirostris,nan
Puffinus nativitatis,nan
Puffinus subalaris,nan
Puffinus puffinus,nan
Puffinus yelkouan,nan
Puffinus mauretanicus,nan
Puffinus huttoni,nan
Puffinus bannermani,nan
Puffinus auricularis,nan
Puffinus newelli,nan
Puffinus myrtae,nan
Puffinus bryani,nan
Puffinus opisthomelas,nan
Puffinus gavia,nan
Puffinus assimilis,nan
Puffinus elegans,nan
Puffinus baroli,nan
Puffinus boydi,nan
Puffinus lherminieri,nan
Puffinus bailloni,nan
Puffinus persicus,nan
Puffinus heinrothi,nan
Pelecanoides garnotii,nan
Pelecanoides urinatrix,nan
Pelecanoides georgicus,nan
Pelecanoides magellani,nan
Anastomus oscitans,nan
Anastomus lamelligerus,nan
Ciconia nigra,nan
Ciconia abdimii,nan
Ciconia microscelis,nan
Ciconia episcopus,nan
Ciconia stormi,nan
Ciconia maguari,nan
Ciconia ciconia,nan
Ciconia boyciana,nan
Ephippiorhynchus asiaticus,nan
Ephippiorhynchus senegalensis,nan
Jabiru mycteria,nan
Leptoptilos javanicus,nan
Leptoptilos crumenifer,nan
Leptoptilos dubius,nan
Mycteria americana,nan
Mycteria cinerea,nan
Mycteria ibis,nan
Mycteria leucocephala,nan
Fregata aquila,nan
Fregata magnificens,nan
Fregata ariel,nan
Fregata minor,nan
Fregata andrewsi,nan
Papasula abbotti,nan
Morus bassanus,nan
Morus capensis,nan
Morus serrator,nan
Sula sula,nan
Sula leucogaster,nan
Sula brewsteri,nan
Sula dactylatra,nan
Sula granti,nan
Sula nebouxii,nan
Sula variegata,nan
Anhinga anhinga,nan
Anhinga rufa,nan
Anhinga melanogaster,nan
Anhinga novaehollandiae,nan
Microcarbo melanoleucos,nan
Microcarbo africanus,nan
Microcarbo coronatus,nan
Microcarbo niger,nan
Microcarbo pygmaeus,nan
Poikilocarbo gaimardi,nan
Urile penicillatus,nan
Urile urile,nan
Urile pelagicus,nan
Urile perspicillatus,nan
Phalacrocorax neglectus,nan
Phalacrocorax capensis,nan
Phalacrocorax carbo,nan
Phalacrocorax capillatus,nan
Phalacrocorax nigrogularis,nan
Phalacrocorax punctatus,nan
Phalacrocorax featherstoni,nan
Phalacrocorax fuscicollis,nan
Phalacrocorax sulcirostris,nan
Phalacrocorax varius,nan
Phalacrocorax fuscescens,nan
Gulosus aristotelis,nan
Nannopterum harrisi,nan
Nannopterum auritum,nan
Nannopterum brasilianum,nan
Leucocarbo magellanicus,nan
Leucocarbo bougainvilliorum,nan
Leucocarbo ranfurlyi,nan
Leucocarbo carunculatus,nan
Leucocarbo chalconotus,nan
Leucocarbo onslowi,nan
Leucocarbo colensoi,nan
Leucocarbo campbelli,nan
Leucocarbo atriceps,nan
Eudocimus albus,nan
Eudocimus ruber,nan
Plegadis falcinellus,nan
Plegadis chihi,nan
Plegadis ridgwayi,nan
Lophotibis cristata,nan
Cercibis oxycerca,nan
Mesembrinibis cayennensis,nan
Phimosus infuscatus,nan
Theristicus caerulescens,nan
Theristicus caudatus,nan
Theristicus melanopis,nan
Theristicus branickii,nan
Threskiornis aethiopicus,nan
Threskiornis bernieri,nan
Threskiornis solitarius,nan
Threskiornis melanocephalus,nan
Threskiornis molucca,nan
Threskiornis spinicollis,nan
Pseudibis papillosa,nan
Pseudibis davisoni,nan
Pseudibis gigantea,nan
Geronticus eremita,nan
Geronticus calvus,nan
Nipponia nippon,nan
Bostrychia olivacea,nan
Bostrychia bocagei,nan
Bostrychia rara,nan
Bostrychia hagedash,nan
Bostrychia carunculata,nan
Platalea leucorodia,nan
Platalea regia,nan
Platalea alba,nan
Platalea minor,nan
Platalea flavipes,nan
Platalea ajaja,nan
Tigriornis leucolopha,nan
Tigrisoma lineatum,nan
Tigrisoma mexicanum,nan
Tigrisoma fasciatum,nan
Cochlearius cochlearius,nan
Agamia agami,nan
Zebrilus undulatus,nan
Botaurus stellaris,nan
Botaurus poiciloptilus,nan
Botaurus lentiginosus,gulp-a-pump<br/>woonk-a-chunk
Botaurus pinnatus,nan
Botaurus involucris,nan
Botaurus exilis,wuff; wuff; wuff; wuff; wuff<br/>ku-ku-ku (lower and throatier than B-B Cuckoo)
Botaurus flavicollis,nan
Botaurus cinnamomeus,nan
Botaurus eurhythmus,nan
Botaurus sturmii,nan
Botaurus minutus,nan
Botaurus sinensis,nan
Botaurus dubius,nan
Botaurus novaezelandiae,nan
Nyctanassa violacea,nan
Nyctanassa carcinocatactes,nan
Nycticorax nycticorax,quawlk
Nycticorax duboisi,nan
Nycticorax mauritianus,nan
Nycticorax megacephalus,nan
Nycticorax caledonicus,nan
Nycticorax olsoni,nan
Gorsachius melanolophus,nan
Gorsachius goisagi,nan
Pilherodius pileatus,nan
Syrigma sibilatrix,nan
Egretta caerulea,nan
Egretta tricolor,nan
Egretta rufescens,nan
Egretta vinaceigula,nan
Egretta ardesiaca,nan
Egretta sacra,nan
Egretta eulophotes,nan
Egretta thula,nan
Egretta garzetta,nan
Egretta gularis,nan
Egretta picata,nan
Egretta novaehollandiae,nan
Calherodius leuconotus,nan
Oroanassa magnifica,nan
Butorides striata,nan
Butorides sundevalli,nan
Butorides atricapilla,nan
Butorides virescens,skelp skelp skelp
Zonerodius heliosylus,nan
Ardeola rufiventris,nan
Ardeola ralloides,nan
Ardeola idae,nan
Ardeola grayii,nan
Ardeola bacchus,nan
Ardeola speciosa,nan
Ardea ibis,nan
Ardea coromanda,nan
Ardea pacifica,nan
Ardea alba,nan
Ardea brachyrhyncha,nan
Ardea intermedia,nan
Ardea plumifera,nan
Ardea cinerea,nan
Ardea herodias,squawking or croaking (very raucous)
Ardea cocoi,nan
Ardea purpurea,nan
Ardea humbloti,nan
Ardea insignis,nan
Ardea sumatrana,nan
Ardea melanocephala,nan
Ardea goliath,nan
Scopus umbretta,nan
Balaeniceps rex,nan
Pelecanus erythrorhynchos,nan
Pelecanus occidentalis,nan
Pelecanus thagus,nan
Pelecanus onocrotalus,nan
Pelecanus conspicillatus,nan
Pelecanus rufescens,nan
Pelecanus philippensis,nan
Pelecanus crispus,nan
Gymnogyps californianus,nan
Sarcoramphus papa,nan
Vultur gryphus,nan
Coragyps atratus,nan
Cathartes aura,nan
Cathartes burrovianus,nan
Cathartes melambrotus,nan
Sagittarius serpentarius,nan
Pandion haliaetus,kyew; kyew; kyew; kyew; kyew
Gampsonyx swainsonii,nan
Chelictinia riocourii,nan
Elanus leucurus,nan
Elanus caeruleus,nan
Elanus axillaris,nan
Elanus scriptus,nan
Polyboroides typus,nan
Polyboroides radiatus,nan
Gypohierax angolensis,nan
Gypaetus barbatus,nan
Neophron percnopterus,nan
Eutriorchis astur,nan
Chondrohierax uncinatus,nan
Chondrohierax wilsonii,nan
Leptodon cayanensis,nan
Leptodon forbesi,nan
Aviceda cuculoides,nan
Aviceda madagascariensis,nan
Aviceda jerdoni,nan
Aviceda subcristata,nan
Aviceda leuphotes,nan
Pernis apivorus,nan
Pernis ptilorhynchus,nan
Pernis celebensis,nan
Pernis steerei,nan
Elanoides forficatus,nan
Hamirostra melanosternon,nan
Lophoictinia isura,nan
Henicopernis longicauda,nan
Henicopernis infuscatus,nan
Sarcogyps calvus,nan
Trigonoceps occipitalis,nan
Aegypius monachus,nan
Torgos tracheliotos,nan
Necrosyrtes monachus,nan
Gyps himalayensis,nan
Gyps bengalensis,nan
Gyps africanus,nan
Gyps indicus,nan
Gyps tenuirostris,nan
Gyps coprotheres,nan
Gyps rueppelli,nan
Gyps fulvus,nan
Spilornis klossi,nan
Spilornis rufipectus,nan
Spilornis kinabaluensis,nan
Spilornis cheela,nan
Spilornis holospilus,nan
Spilornis elgini,nan
Pithecophaga jefferyi,nan
Terathopius ecaudatus,nan
Circaetus cinerascens,nan
Circaetus fasciolatus,nan
Circaetus spectabilis,nan
Circaetus beaudouini,nan
Circaetus pectoralis,nan
Circaetus gallicus,nan
Circaetus cinereus,nan
Stephanoaetus coronatus,nan
Nisaetus nanus,nan
Nisaetus kelaarti,nan
Nisaetus nipalensis,nan
Nisaetus alboniger,nan
Nisaetus bartelsi,nan
Nisaetus lanceolatus,nan
Nisaetus pinskeri,nan
Nisaetus philippensis,nan
Nisaetus cirrhatus,nan
Nisaetus floris,nan
Spizaetus tyrannus,nan
Spizaetus melanoleucus,nan
Spizaetus ornatus,nan
Spizaetus isidori,nan
Lophotriorchis kienerii,nan
Polemaetus bellicosus,nan
Lophaetus occipitalis,nan
Ictinaetus malaiensis,nan
Clanga hastata,nan
Clanga pomarina,nan
Clanga clanga,nan
Hieraaetus wahlbergi,nan
Hieraaetus ayresii,nan
Hieraaetus weiskei,nan
Hieraaetus pennatus,nan
Hieraaetus morphnoides,nan
Aquila nipalensis,nan
Aquila heliaca,nan
Aquila adalberti,nan
Aquila rapax,nan
Aquila africana,nan
Aquila gurneyi,nan
Aquila audax,nan
Aquila chrysaetos,nan
Aquila verreauxii,nan
Aquila fasciata,nan
Aquila spilogaster,nan
Harpyopsis novaeguineae,nan
Macheiramphus alcinus,nan
Morphnus guianensis,nan
Harpia harpyja,nan
Lophospiza trivirgata,nan
Lophospiza griseiceps,nan
Micronisus gabar,nan
Urotriorchis macrourus,nan
Melierax metabates,nan
Melierax poliopterus,nan
Melierax canorus,nan
Kaupifalco monogrammicus,nan
Aerospiza tachiro,nan
Aerospiza castanilius,nan
Tachyspiza erythropus,nan
Tachyspiza minulla,nan
Tachyspiza virgata,nan
Tachyspiza nanus,nan
Tachyspiza erythrauchen,nan
Tachyspiza cirrocephala,nan
Tachyspiza brachyura,nan
Tachyspiza rhodogaster,nan
Tachyspiza gularis,nan
Tachyspiza badia,nan
Tachyspiza butleri,nan
Tachyspiza brevipes,nan
Tachyspiza soloensis,nan
Tachyspiza imitator,nan
Tachyspiza francesiae,nan
Tachyspiza trinotata,nan
Tachyspiza poliocephala,nan
Tachyspiza princeps,nan
Tachyspiza novaehollandiae,nan
Tachyspiza hiogaster,nan
Tachyspiza melanochlamys,nan
Tachyspiza albogularis,nan
Tachyspiza rufitorques,nan
Tachyspiza henicogramma,nan
Tachyspiza luteoschistacea,nan
Tachyspiza haplochroa,nan
Tachyspiza fasciata,nan
Erythrotriorchis buergersi,nan
Erythrotriorchis radiatus,nan
Accipiter poliogaster,nan
Accipiter ovampensis,nan
Accipiter madagascariensis,nan
Accipiter nisus,nan
Accipiter rufiventris,nan
Accipiter striatus,nan
Astur bicolor,nan
Astur chilensis,nan
Astur cooperii,nan
Astur gundlachi,nan
Astur gentilis,nan
Astur atricapillus,nan
Astur meyerianus,nan
Astur melanoleucus,nan
Astur henstii,nan
Megatriorchis doriae,nan
Circus aeruginosus,nan
Circus ranivorus,nan
Circus spilonotus,nan
Circus spilothorax,nan
Circus approximans,nan
Circus maillardi,nan
Circus macrosceles,nan
Circus buffoni,nan
Circus assimilis,nan
Circus maurus,nan
Circus cinereus,nan
Circus cyaneus,nan
Circus hudsonius,nan
Circus macrourus,nan
Circus melanoleucos,nan
Circus pygargus,nan
Microspizias superciliosus,nan
Microspizias collaris,nan
Harpagus bidentatus,nan
Harpagus diodon,nan
Milvus milvus,nan
Milvus migrans,nan
Haliastur indus,nan
Haliastur sphenurus,nan
Haliaeetus albicilla,nan
Haliaeetus leucocephalus,nan
Haliaeetus leucoryphus,nan
Haliaeetus pelagicus,nan
Icthyophaga vocifer,nan
Icthyophaga vociferoides,nan
Icthyophaga leucogaster,nan
Icthyophaga sanfordi,nan
Icthyophaga humilis,nan
Icthyophaga ichthyaetus,nan
Butastur liventer,nan
Butastur rufipennis,nan
Butastur teesa,nan
Butastur indicus,nan
Ictinia mississippiensis,nan
Ictinia plumbea,nan
Geranospiza caerulescens,nan
Busarellus nigricollis,nan
Rostrhamus sociabilis,nan
Helicolestes hamatus,nan
Morphnarchus princeps,nan
Cryptoleucopteryx plumbea,nan
Buteogallus schistaceus,nan
Buteogallus anthracinus,nan
Buteogallus gundlachii,nan
Buteogallus aequinoctialis,nan
Buteogallus meridionalis,nan
Buteogallus lacernulatus,nan
Buteogallus urubitinga,nan
Buteogallus solitarius,nan
Buteogallus coronatus,nan
Rupornis magnirostris,nan
Parabuteo unicinctus,nan
Parabuteo leucorrhous,nan
Geranoaetus albicaudatus,nan
Geranoaetus polyosoma,nan
Geranoaetus melanoleucus,nan
Pseudastur occidentalis,nan
Pseudastur albicollis,nan
Pseudastur polionotus,nan
Leucopternis semiplumbeus,nan
Leucopternis melanops,nan
Leucopternis kuhli,nan
Bermuteo avivorus,nan
Buteo plagiatus,nan
Buteo nitidus,nan
Buteo platypterus,peet-seeeeep
Buteo lineatus,kee-yer; kee-yer; kee-yer.
Buteo ridgwayi,nan
Buteo albonotatus,nan
Buteo solitarius,nan
Buteo albigula,nan
Buteo brachyurus,nan
Buteo swainsoni,kreeeeeeeeeerr (drawn-out; shrill; plaintive)
Buteo galapagoensis,nan
Buteo jamaicensis,keeeeeeeeer
Buteo ventralis,nan
Buteo lagopus,nan
Buteo regalis,nan
Buteo auguralis,nan
Buteo augur,nan
Buteo rufofuscus,nan
Buteo oreophilus,nan
Buteo buteo,nan
Buteo trizonatus,nan
Buteo brachypterus,nan
Buteo socotraensis,nan
Buteo rufinus,nan
Buteo hemilasius,nan
Buteo refectus,nan
Buteo japonicus,nan
Tyto tenebricosa,nan
Tyto novaehollandiae,nan
Tyto aurantia,nan
Tyto almae,nan
Tyto sororcula,nan
Tyto manusi,nan
Tyto nigrobrunnea,nan
Tyto inexspectata,nan
Tyto rosenbergii,nan
Tyto prigoginei,nan
Tyto longimembris,nan
Tyto capensis,nan
Tyto alba,nan
Tyto javanica,nan
Tyto furcata,nan
Tyto deroepstorffi,nan
Tyto glaucops,nan
Tyto soumagnei,nan
Phodilus badius,nan
Phodilus assimilis,nan
Otus sagittatus,nan
Otus balli,nan
Otus rufescens,nan
Otus thilohoffmanni,nan
Otus icterorhynchus,nan
Otus ireneae,nan
Otus alfredi,nan
Otus spilocephalus,nan
Otus brookii,nan
Otus angelinae,nan
Otus mentawi,nan
Otus bakkamoena,nan
Otus lettia,nan
Otus gurneyi,nan
Otus lempiji,nan
Otus semitorques,nan
Otus silvicola,nan
Otus fuliginosus,nan
Otus megalotis,nan
Otus everetti,nan
Otus nigrorum,nan
Otus mindorensis,nan
Otus magicus,nan
Otus tempestatis,nan
Otus jolandae,nan
Otus podarginus,nan
Otus mantananensis,nan
Otus elegans,nan
Otus manadensis,nan
Otus mendeni,nan
Otus collari,nan
Otus siaoensis,nan
Otus sulaensis,nan
Otus beccarii,nan
Otus umbra,nan
Otus enganensis,nan
Otus alius,nan
Otus pamelae,nan
Otus scops,nan
Otus cyprius,nan
Otus bikegila,nan
Otus pembaensis,nan
Otus hartlaubi,nan
Otus senegalensis,nan
Otus brucei,nan
Otus mirus,nan
Otus longicornis,nan
Otus moheliensis,nan
Otus pauliani,nan
Otus insularis,nan
Otus sunia,nan
Otus socotranus,nan
Otus capnodes,nan
Otus mayottensis,nan
Otus grucheti,nan
Otus murivorus,nan
Otus sauzieri,nan
Otus rutilus,nan
Psiloscops flammeolus,nan
Gymnasio nudipes,nan
Megascops clarkii,nan
Megascops trichopsis,nan
Megascops albogularis,nan
Megascops choliba,nan
Megascops koepckeae,nan
Megascops ingens,nan
Megascops petersoni,nan
Megascops marshalli,nan
Megascops hoyi,nan
Megascops guatemalae,nan
Megascops centralis,nan
Megascops roraimae,nan
Megascops sanctaecatarinae,nan
Megascops barbarus,nan
Megascops seductus,nan
Megascops cooperi,nan
Megascops kennicottii,accelerating hollow whistles; constant pitch
Megascops asio,nan
Megascops gilesi,nan
Megascops roboratus,nan
Megascops watsonii,nan
Megascops atricapilla,nan
Margarobyas lawrencii,nan
Ptilopsis leucotis,nan
Ptilopsis granti,nan
Lophostrix cristata,nan
Jubula lettii,nan
Pulsatrix perspicillata,nan
Pulsatrix koeniswaldiana,nan
Pulsatrix melanota,nan
Bubo scandiacus,nan
Bubo virginianus,hoot-a-hoot; hoo-hoo<br/>who's awake? me too
Bubo magellanicus,nan
Bubo bengalensis,nan
Bubo cinerascens,nan
Bubo africanus,nan
Bubo milesi,nan
Bubo capensis,nan
Bubo ascalaphus,nan
Bubo bubo,nan
Ketupa poensis,nan
Ketupa leucosticta,nan
Ketupa lactea,nan
Ketupa shelleyi,nan
Ketupa blakistoni,nan
Ketupa ketupu,nan
Ketupa zeylonensis,nan
Ketupa flavipes,nan
Ketupa coromanda,nan
Ketupa nipalensis,nan
Ketupa sumatrana,nan
Ketupa philippensis,nan
Scotopelia peli,nan
Scotopelia ussheri,nan
Scotopelia bouvieri,nan
Surnia ulula,nan
Glaucidium passerinum,nan
Glaucidium perlatum,nan
Glaucidium gnoma,nan
Glaucidium costaricanum,nan
Glaucidium nubicola,nan
Glaucidium jardinii,nan
Glaucidium bolivianum,nan
Glaucidium parkeri,nan
Glaucidium griseiceps,nan
Glaucidium sanchezi,nan
Glaucidium palmarum,nan
Glaucidium hardyi,nan
Glaucidium mooreorum,nan
Glaucidium minutissimum,nan
Glaucidium brasilianum,nan
Glaucidium nana,nan
Glaucidium peruanum,nan
Glaucidium siju,nan
Glaucidium tephronotum,nan
Glaucidium sjostedti,nan
Glaucidium cuculoides,nan
Glaucidium castanopterum,nan
Glaucidium radiatum,nan
Glaucidium castanotum,nan
Glaucidium capense,nan
Glaucidium albertinum,nan
Taenioptynx brodiei,nan
Taenioptynx sylvaticus,nan
Micrathene whitneyi,nan
Xenoglaux loweryi,nan
Athene brama,nan
Athene noctua,nan
Athene blewitti,nan
Athene jacquinoti,nan
Athene granti,nan
Athene malaitae,nan
Athene roseoaxillaris,nan
Athene superciliaris,nan
Athene cunicularia,nan
Strix virgata,nan
Strix nigrolineata,nan
Strix huhula,nan
Strix albitarsis,nan
Strix seloputo,nan
Strix ocellata,nan
Strix leptogrammica,nan
Strix aluco,nan
Strix nivicolum,nan
Strix hadorami,nan
Strix butleri,nan
Strix occidentalis,nan
Strix varia,who-cooks-for-you; who-cooks-for-you-all
Strix sartorii,nan
Strix fulvescens,nan
Strix hylophila,nan
Strix rufipes,nan
Strix chacoensis,nan
Strix uralensis,nan
Strix nebulosa,whoo-whoo-whoooo
Strix woodfordii,nan
Asio grammicus,nan
Asio otus,nan
Asio abyssinicus,nan
Asio madagascariensis,nan
Asio clamator,nan
Asio stygius,nan
Asio flammeus,nan
Asio capensis,nan
Asio solomonensis,nan
Aegolius funereus,hooo-too-too-too-too...
Aegolius acadicus,too-too-too (clear notes)
Aegolius gradyi,nan
Aegolius ridgwayi,nan
Aegolius harrisii,nan
Ninox rufa,nan
Ninox strenua,nan
Ninox connivens,nan
Ninox rudolfi,nan
Ninox affinis,nan
Ninox boobook,nan
Ninox rotiensis,nan
Ninox fusca,nan
Ninox plesseni,nan
Ninox leucopsis,nan
Ninox novaeseelandiae,nan
Ninox albifacies,nan
Ninox sumbaensis,nan
Ninox scutulata,nan
Ninox obscura,nan
Ninox japonica,nan
Ninox randi,nan
Ninox philippensis,nan
Ninox spilocephala,nan
Ninox mindorensis,nan
Ninox spilonotus,nan
Ninox rumseyi,nan
Ninox leventisi,nan
Ninox reyi,nan
Ninox ochracea,nan
Ninox burhani,nan
Ninox ios,nan
Ninox hypogramma,nan
Ninox forbesi,nan
Ninox squamipila,nan
Ninox hantu,nan
Ninox natalis,nan
Ninox theomacha,nan
Ninox meeki,nan
Ninox punctulata,nan
Ninox variegata,nan
Ninox odiosa,nan
Uroglaux dimorpha,nan
Colius striatus,nan
Colius leucocephalus,nan
Colius castanotus,nan
Colius colius,nan
Urocolius macrourus,nan
Urocolius indicus,nan
Leptosomus discolor,nan
Apaloderma narina,nan
Apaloderma aequatoriale,nan
Apaloderma vittatum,nan
Apalharpactes reinwardtii,nan
Apalharpactes mackloti,nan
Harpactes oreskios,nan
Harpactes fasciatus,nan
Harpactes kasumba,nan
Harpactes diardii,nan
Harpactes ardens,nan
Harpactes whiteheadi,nan
Harpactes orrhophaeus,nan
Harpactes duvaucelii,nan
Harpactes erythrocephalus,nan
Harpactes wardi,nan
Euptilotis neoxenus,nan
Pharomachrus pavoninus,nan
Pharomachrus auriceps,nan
Pharomachrus mocinno,nan
Pharomachrus fulgidus,nan
Pharomachrus antisianus,nan
Priotelus temnurus,nan
Priotelus roseigaster,nan
Trogon clathratus,nan
Trogon massena,nan
Trogon comptus,nan
Trogon mesurus,nan
Trogon melanurus,nan
Trogon melanocephalus,nan
Trogon citreolus,nan
Trogon chionurus,nan
Trogon viridis,nan
Trogon bairdii,nan
Trogon caligatus,nan
Trogon violaceus,nan
Trogon ramonianus,nan
Trogon curucui,nan
Trogon surrucura,nan
Trogon tenellus,nan
Trogon cupreicauda,nan
Trogon rufus,nan
Trogon chrysochloros,nan
Trogon ambiguus,nan
Trogon elegans,nan
Trogon mexicanus,nan
Trogon collaris,nan
Trogon personatus,nan
Upupa epops,nan
Upupa marginata,nan
Upupa antaios,nan
Phoeniculus purpureus,nan
Phoeniculus damarensis,nan
Phoeniculus somaliensis,nan
Phoeniculus bollei,nan
Rhinopomastus castaneiceps,nan
Rhinopomastus aterrimus,nan
Rhinopomastus cyanomelas,nan
Rhinopomastus minor,nan
Bucorvus abyssinicus,nan
Bucorvus leadbeateri,nan
Lophoceros camurus,nan
Lophoceros alboterminatus,nan
Lophoceros bradfieldi,nan
Lophoceros semifasciatus,nan
Lophoceros fasciatus,nan
Lophoceros hemprichii,nan
Lophoceros nasutus,nan
Lophoceros pallidirostris,nan
Tockus flavirostris,nan
Tockus leucomelas,nan
Tockus jacksoni,nan
Tockus deckeni,nan
Tockus monteiri,nan
Tockus rufirostris,nan
Tockus damarensis,nan
Tockus ruahae,nan
Tockus kempi,nan
Tockus erythrorhynchus,nan
Berenicornis comatus,nan
Horizocerus albocristatus,nan
Horizocerus cassini,nan
Horizocerus hartlaubi,nan
Horizocerus granti,nan
Ceratogymna elata,nan
Ceratogymna atrata,nan
Bycanistes brevis,nan
Bycanistes subcylindricus,nan
Bycanistes cylindricus,nan
Bycanistes albotibialis,nan
Bycanistes bucinator,nan
Bycanistes fistulator,nan
Rhinoplax vigil,nan
Buceros hydrocorax,nan
Buceros rhinoceros,nan
Buceros bicornis,nan
Anorrhinus galeritus,nan
Anorrhinus austeni,nan
Anorrhinus tickelli,nan
Ocyceros birostris,nan
Ocyceros griseus,nan
