Scientific (Clements),MNEMONIC
Oxyura vittata,nan
Oxyura australis,nan
Biziura lobata,nan
Alectura lathami,nan
Aepypodius arfakianus,nan
Aepypodius bruijnii,nan
Talegalla cuvieri,nan
Talegalla fuscirostris,nan
Talegalla jobiensis,nan
Leipoa ocellata,nan
Macrocephalon maleo,nan
Eulipoa wallacei,nan
Megapodius pritchardii,nan
Megapodius laperouse,nan
Megapodius nicobariensis,nan
Megapodius cumingii,nan
Megapodius bernsteinii,nan
Megapodius tenimberensis,nan
Megapodius freycinet,nan
Megapodius geelvinkianus,nan
Megapodius eremita,nan
Megapodius layardi,nan
Megapodius decollatus,nan
Megapodius reinwardt,nan
Penelopina nigra,nan
Chamaepetes unicolor,nan
Chamaepetes goudotii,nan
Aburria aburri,nan
Pipile jacutinga,nan
Pipile pipile,nan
Pipile cumanensis,nan
Pipile grayi,nan
Pipile cujubi,nan
Penelope argyrotis,nan
Penelope bridgesi,nan
Penelope obscura,nan
Penelope pileata,nan
Penelope ochrogaster,nan
Penelope jacucaca,nan
Penelope barbata,nan
Penelope purpurascens,nan
Penelope superciliaris,nan
Penelope marail,nan
Penelope albipennis,nan
Penelope ortoni,nan
Penelope montagnii,nan
Penelope dabbenei,nan
Penelope jacquacu,nan
Penelope perspicax,nan
Oreophasis derbianus,nan
Nothocrax urumutum,nan
Pauxi pauxi,nan
Pauxi koepckeae,nan
Pauxi unicornis,nan
Mitu tomentosum,nan
Mitu mitu,nan
Mitu salvini,nan
Mitu tuberosum,nan
Crax daubentoni,nan
Crax rubra,nan
Crax alberti,nan
Crax globulosa,nan
Crax blumenbachii,nan
Crax alector,nan
Crax fasciolata,nan
Ortalis vetula,nan
Ortalis leucogastra,nan
Ortalis poliocephala,nan
Ortalis wagleri,nan
Ortalis cinereiceps,nan
Ortalis erythroptera,nan
Ortalis motmot,nan
Ortalis ruficeps,nan
Ortalis canicollis,nan
Ortalis columbiana,nan
Ortalis guttata,nan
Ortalis superciliaris,nan
Ortalis araucuan,nan
Ortalis squamata,nan
Ortalis garrula,nan
Ortalis ruficauda,nan
Numida meleagris,nan
Agelastes meleagrides,nan
Agelastes niger,nan
Acryllium vulturinum,nan
Guttera plumifera,nan
Guttera pucherani,nan
Guttera verreauxi,nan
Guttera edouardi,nan
Ptilopachus petrosus,nan
Ptilopachus nahani,nan
Rhynchortyx cinctus,nan
Oreortyx pictus,nan
Dendrortyx leucophrys,nan
Dendrortyx macroura,nan
Dendrortyx barbatus,nan
Philortyx fasciatus,nan
Colinus virginianus,nan
Colinus nigrogularis,nan
Colinus leucopogon,nan
Colinus cristatus,nan
Callipepla squamata,Paark! Pe-cos; Pe-cos; Pe-cos
Callipepla douglasii,nan
Callipepla californica,kurr<br/>chi-ca-go; chi-ca-go <br/>qua-quer-go; qua-quer-go
Callipepla gambelii,nan
Cyrtonyx montezumae,nan
Cyrtonyx ocellatus,nan
Dactylortyx thoracicus,nan
Odontophorus gujanensis,nan
Odontophorus capueira,nan
Odontophorus melanotis,nan
Odontophorus atrifrons,nan
Odontophorus erythrops,nan
Odontophorus hyperythrus,nan
Odontophorus melanonotus,nan
Odontophorus speciosus,nan
Odontophorus dialeucos,nan
Odontophorus strophium,nan
Odontophorus columbianus,nan
Odontophorus leucolaemus,nan
Odontophorus balliviani,nan
Odontophorus stellatus,nan
Odontophorus guttatus,nan
Xenoperdix udzungwensis,nan
Caloperdix oculeus,nan
Rollulus rouloul,nan
Melanoperdix niger,nan
Arborophila torqueola,nan
Arborophila rufipectus,nan
Arborophila mandellii,nan
Arborophila gingica,nan
Arborophila rufogularis,nan
Arborophila rubrirostris,nan
Arborophila cambodiana,nan
Arborophila ardens,nan
Arborophila crudigularis,nan
Arborophila atrogularis,nan
Arborophila brunneopectus,nan
Arborophila davidi,nan
Arborophila hyperythra,nan
Arborophila campbelli,nan
Arborophila rolli,nan
Arborophila sumatrana,nan
Arborophila javanica,nan
Arborophila orientalis,nan
Lerwa lerwa,nan
Ithaginis cruentus,nan
Tragopan melanocephalus,nan
Tragopan satyra,nan
Tragopan blythii,nan
Tragopan temminckii,nan
Tragopan caboti,nan
Tetraophasis obscurus,nan
Tetraophasis szechenyii,nan
Lophophorus impejanus,nan
Lophophorus sclateri,nan
Lophophorus lhuysii,nan
Pucrasia macrolopha,nan
Meleagris gallopavo,gobble-gobble-gobble-
Meleagris ocellata,nan
Bonasa umbellus,drumming-thumping; accelerates into a whir
Tetrastes bonasia,nan
Tetrastes sewerzowi,nan
Centrocercus urophasianus,nan
Centrocercus minimus,nan
Dendragapus obscurus,nan
Dendragapus fuliginosus,nan
Tympanuchus phasianellus,nan
Tympanuchus cupido,nan
Tympanuchus pallidicinctus,nan
Lagopus leucura,nan
Lagopus scotica,nan
Lagopus lagopus,nan
Lagopus muta,nan
Falcipennis falcipennis,nan
