English (Clements),Scientific (Clements),English (AviList),Scientific (AviList),TAXON_CONCEPT_ID,taxon_order,category,species_code,bio_concept_code,primary_com_name,sci_name,order1,family,species_group,sparse_report_as,report_as,four_letter_code,extinct,extinct_year,Afrikaans,Albanian,Arabic,Armenian,Assamese,Asturleonese,Azerbaijani,Bangla (Bangladesh),Bengali (India),Bengali,Bulgarian,Catalan,Chinese - Mandarin (trad),"Chinese, Hong Kong","Chinese, Simple","Creole, Haiti",Croatian,Czech,Danish,Dutch,English (AviList)_translations,English,"English, Australia","English, Bangladesh","English, HBW","English, Hawaii","English, Hong Kong","English, IOC","English, India","English, Kenya","English, Malaysia","English, New Zealand","English, Philippines","English, South Africa","English, UAE","English, United Kingdom","English, United States",Estonian,Euskera,Faroese,Finnish,French,"French, AOS","French, Canada","French, France","French, French Guiana","French, Guadeloupe","French, Haiti",Galician,Georgian,German,Greek,Gujarati,Hebrew,Hindi,Hungarian,Icelandic,Indonesian,Italian,Japanese,Kannada,Kashmiri (India),Kazakh,Konkani,Korean,Kyrgyz,Ladakhi,Latvian,Lithuanian,Malayalam,Manipuri,Marathi,Mizo,Mongolian,Māori,Nepali (India),Nepali (Nepal),Norwegian,Odia,Persian,Polish,"Portuguese, Angola","Portuguese, Azores","Portuguese, Brazil","Portuguese, Madeira","Portuguese, Portugal","Punjabi, India",Romanian,Russian,Serbian,Slovak,Slovenian,Spanish,"Spanish, Argentina","Spanish, Chile","Spanish, Costa Rica","Spanish, Cuba","Spanish, Dominican Republic","Spanish, Ecuador","Spanish, Honduras","Spanish, Mexico","Spanish, Panama","Spanish, Paraguay","Spanish, Peru","Spanish, Puerto Rico","Spanish, Spain","Spanish, Uruguay","Spanish, Venezuela",Swedish,"Tamil, India",Telugu,Thai,Turkish,Ukrainian,Zulu,pri_com_name_indxd,authority_code,authority_ver
White-tailed Flycatcher,Leucoptilon concretum,White-tailed Flycatcher,Leucoptilon concretum,avibase-63EF266B,28776,species,whtfly2,avibase-63EF266B,White-tailed Flycatcher,Leucoptilon concretum,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,,whtfly2,,0,,,,,,,,,,,,Белоопашата синя мухоловка,papamosques cuablanc,,,白尾蓝仙鹟,,bjelorepa muharica,,,Witstaartniltava,White-tailed Flycatcher,White-tailed Flycatcher,,,White-tailed Flycatcher,,,White-tailed Flycatcher,,,,,,,,,White-tailed Flycatcher,pugalsaba-sininäpp,,,viirupyrstösieppo,Gobemouche à queue blanche,,Gobemouche à queue blanche,,,,,,,Weißschwanz-Blauschnäpper,,,,,,,Sikatan besar,,オジロアオヒタキ,,,,,,,,,,,,,,,,,,hvithalefluesnapper,,,dżunglówka białosterna,,,,,,,,Белохвостая нильтава,Belorepa muharica,niltava bielochvostá,,Papamoscas Coliblanco,,,,,,,,,,,,,Papamoscas coliblanco,,,vitstjärtad flugsnappare,,,นกจับแมลงสีคล้ำหางแถบขาว,Ak Kuyruklu Mavi Sinekkapan,Нільтава білохвоста,,"Flycatcher, White-tailed",EBIRD,2024
Nilgiri Sholakili,Sholicola major,Nilgiri Blue Robin,Sholicola major,avibase-26F04AA3,28780,species,whbsho1,avibase-26F04AA3,Nilgiri Sholakili,Sholicola major,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,,whbsho1,,0,,,,,,,,,,,,Нилгирийска синя мухоловка,rossinyol dels Nilgiri,,,,,modroleđi slavuj,,,Nilgirikortvleugel,Nilgiri Sholakili,Nilgiri Blue Robin,,,Nilgiri Blue Sholakili,,,Nilgiri Blue Robin,,,,,,,,,Nilgiri Sholakili,,,,isotöpörastas,Myiomèle à flancs roux,,Myiomèle à flancs roux,,,,,,,Nilgirischmätzer,,,,,,,,,ハイイロコバネヒタキ,ಶೋಲಾ ನೊಣಹಿಡುಕ,,,,,,,,,ചെമ്പുവയറൻ ചോലക്കിളി,,,,,,,,nilgiriskvett,,,runniczek rdzawoboczny,,,,,,,,Рыжебрюхий шолакили,Nilgirijska šolakila,niltava kapucňová,,Alicorto Flanquirrufo,,,,,,,,,,,,,Alicorto flanquirrufo,,,nilgirinäktergal,,,,Nilgiri Çivit Bülbülü,Підпаленик рудобокий,,"Sholakili, Nilgiri",EBIRD,2024
White-bellied Sholakili,Sholicola albiventris,White-bellied Blue Robin,Sholicola albiventris,avibase-76F3C885,28781,species,whbsho3,avibase-76F3C885,White-bellied Sholakili,Sholicola albiventris,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,,whbsho3,,0,,,,,,,,,,,,Кералска синя мухоловка,rossinyol ventreblanc,,,,,bjeločeli slavuj,,,Witbuikkortvleugel,White-bellied Sholakili,White-bellied Blue Robin,,,White-bellied Sholakili,,,White-bellied Blue Robin,,,,,,,,,White-bellied Sholakili,,,,,Myiomèle à ventre blanc,,Myiomèle à ventre blanc,,,,,,,Weißbauchschmätzer,,,,,,,,,シロハラコンヒタキ,,,,,,,,,,വെള്ളവയറൻ ചോലക്കിളി,,,,,,,,hvitbukskvett,,,runniczek białobrzuchy,,,,,,,,Белобрюхий шолакили,Belotrba šolakila,niltava bielobruchá,,Alicorto Ventriblanco,,,,,,,,,,,,,Alicorto ventriblanco,,,keralanäktergal,,,,Ak Karınlı Çivit Bülbülü,Підпаленик білочеревий,,"Sholakili, White-bellied",EBIRD,2024
Large Niltava,Niltava grandis,Large Niltava,Niltava grandis,avibase-75234D1E,28784,species,larnil1,avibase-75234D1E,Large Niltava,Niltava grandis,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,,larnil1,,0,,,,,,,,,,,বড় নীলতাভা,Голяма синя мухоловка,niltava grossa,,,大仙鹟,,velika muharica,,,Kobaltniltava,Large Niltava,Large Niltava,,,Large Niltava,,,Large Niltava,,,,,,,,,Large Niltava,suur-sininäpp,,,isosinisieppo,Grand Gobemouche,,Grand Gobemouche,,,,,,,Kobaltblauschnäpper,,,,,,,Niltava kumbang-padi,,オオアオヒタキ,,,,,,,,,,,,,Beairal lian,,,ठुलो निलतभा,ठूलो नीलतभा,storniltava,,,niltawa wielka,,,,,,,,Большая нильтава,Velika niltava,niltava veľká,Velika niltava,Papamoscas Grande,,,,,,,,,,,,,Papamoscas grande,,,större niltava,,,นกนิลตวาใหญ่,Büyük Mavi Sinekkapan,Нільтава велика,,"Niltava, Large",EBIRD,2024
Small Niltava,Niltava macgrigoriae,Small Niltava,Niltava macgrigoriae,avibase-AE0A8E40,28790,species,smanil1,avibase-AE0A8E40,Small Niltava,Niltava macgrigoriae,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,,smanil1,,0,,,,,,,,,,,ছোট নীলতাভা,Малка синя мухоловка,niltava de McGrigor,,小仙鶲,小仙鹟,,gorska muharica,,,Kleine niltava,Small Niltava,Small Niltava,,,Small Niltava,,,Small Niltava,,,,,,,,,Small Niltava,väike-sininäpp,,,pikkusinisieppo,Gobemouche de McGrigor,,Gobemouche de McGrigor,,,,,,,Feenblauschnäpper,,,,छोटा नीलतवा,,,,,チビアオヒタキ,,,,,,,,,,,,,,,,सानो निलतभा,सानो नीलतभा,småniltava,,,niltawa mała,,,,,,ਛੋਟਾ ਨਿਲਤਾਵ,,Малая нильтава,Mala niltava,niltava pôvabná,Mala niltava,Papamoscas de Mcgrigor,,,,,,,,,,,,,Papamoscas de McGrigor,,,mindre niltava,,,นกนิลตวาเล็ก,Mcgrigor Mavi Sinekkapanı,Нільтава мала,,"Niltava, Small",EBIRD,2024
Fujian Niltava,Niltava davidi,Fujian Niltava,Niltava davidi,avibase-CD06F87E,28793,species,fujnil1,avibase-CD06F87E,Fujian Niltava,Niltava davidi,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,,fujnil1,,0,,,,,,,,,,,,Червеногърда синя мухоловка,niltava del pare David,棕腹大仙鶲,棕腹大仙鶲,棕腹大仙鹟,,crvenotrba muharica,,,Davidniltava,Fujian Niltava,Fujian Niltava,,,Fujian Niltava,,,Fujian Niltava,,,,,,,,,Fujian Niltava,hiina sininäpp,,,kiinansinisieppo,Gobemouche de David,,Gobemouche de David,,,,,,,Davidblauschnäpper,,,,,,,,,フッケンアオヒタキ,,,,,붉은가슴딱새,,,,,,,,,,,,,kinaniltava,,,niltawa czarnogardła,,,,,,,,Давидова нильтава,Niltava sa Fudžija,niltava pláštiková,,Papamoscas de David,,,,,,,,,,,,,Papamoscas de David,,,koboltniltava,,,นกนิลตวาท้องสีส้มพันธุ์จีน,David Mavi Sinekkapanı,Нільтава чорногорла,,"Niltava, Fujian",EBIRD,2024
Rufous-bellied Niltava,Niltava sundara,Rufous-bellied Niltava,Niltava sundara,avibase-7FBCFF87,28794,species,rubnil1,avibase-7FBCFF87,Rufous-bellied Niltava,Niltava sundara,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,,rubnil1,,0,,,,,,,,,,,সুন্দরী নীলতাভা,Червенокорема синя мухоловка,niltava sundara,棕腹仙鶲,棕腹仙鶲,棕腹仙鹟,,riđotrba muharica,,,Roodbuikniltava,Rufous-bellied Niltava,Rufous-bellied Niltava,,,Rufous-bellied Niltava,,,Rufous-bellied Niltava,,,,,,,,,Rufous-bellied Niltava,helekiird-sininäpp,,,hopealakkisieppo,Gobemouche sundara,,Gobemouche sundara,,,,,,,Rotbauch-Blauschnäpper,,,,लालपेट नीलतवा,,Morgungrípur,,,コチャバラオオルリ,,,,,,,,,,,,,,,,सुन्दर निलतभा,सुन्दर नीलतभा,rødbukniltava,,,niltawa rudobrzucha,,,,,,ਸੁੰਦਰ ਨਿਲਤਾਵ,,Рыжебрюхая нильтава,Riđotrba niltava,niltava hrdzavobruchá,,Papamoscas Sundara,,,,,,,,,,,,,Papamoscas sundara,,,praktniltava,,,นกนิลตวาท้องสีส้มคอดำ,Sundara Mavi Sinekkapanı,Нільтава рудочерева,,"Niltava, Rufous-bellied",EBIRD,2024
Rufous-vented Niltava,Niltava sumatrana,Rufous-vented Niltava,Niltava sumatrana,avibase-72E5DD5A,28798,species,ruvnil1,avibase-72E5DD5A,Rufous-vented Niltava,Niltava sumatrana,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,,ruvnil1,,0,,,,,,,,,,,,Суматранска синя мухоловка,niltava de Sumatra,,,,,sumatranska muharica,,,Sumatraanse niltava,Rufous-vented Niltava,Rufous-vented Niltava,,,Rufous-vented Niltava,,,Rufous-vented Niltava,,,,,,,,,Rufous-vented Niltava,malai sininäpp,,,sumatransinisieppo,Gobemouche de Sumatra,,Gobemouche de Sumatra,,,,,,,Sumatrablauschnäpper,,,,,,,Niltava sumatra,,スマトラアオヒタキ,,,,,,,,,,,,,,,,,,malayniltava,,,niltawa czarnolica,,,,,,,,,Sumatranska niltava,niltava sumatranská,,Papamoscas de Sumatra,,,,,,,,,,,,,Papamoscas de Sumatra,,,sumatraniltava,,,,Sumatra Mavi Sinekkapanı,Нільтава суматранська,,"Niltava, Rufous-vented",EBIRD,2024
Chinese Vivid Niltava,Niltava oatesi,Chinese Vivid Niltava,Niltava oatesi,avibase-ACBC2BB0,28799,species,vivnil2,avibase-ACBC2BB0,Chinese Vivid Niltava,Niltava oatesi,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,,vivnil2,,0,,,,,,,,,,,,Тибетска синя мухоловка,niltava ventre-rogenca,棕腹藍仙鶲,棕腹藍仙鶲,棕腹蓝仙鹟,,narančasto-modra muharica,,,Chinese roodkeelniltava,Chinese Vivid Niltava,Chinese Vivid Niltava,,,Large Vivid Niltava,,,Chinese Vivid Niltava,,,,,,,,,Chinese Vivid Niltava,mägi-sininäpp,,,,Gobemouche à ventre roux,,Gobemouche à ventre roux,,,,,,,Prunkblauschnäpper,,,,,,,,,,,,,,,,,,,,,,,,,,,juvelniltava,,,niltawa ognista (oatesi),,,,,,,,,Kineska niltava,niltava hrdzavoprsá,,Papamoscas Vívido Grande,,,,,,,,,,,,,Papamoscas vívido grande,,,kinesisk niltava,,,นกนิลตวาท้องสีส้ม,Oates Mavi Sinekkapanı,Нільтава сичуанська,,"Niltava, Chinese Vivid",EBIRD,2024
Taiwan Vivid Niltava,Niltava vivida,Taiwan Vivid Niltava,Niltava vivida,avibase-7D6DCAC3,28800,species,vivnil3,avibase-7D6DCAC3,Taiwan Vivid Niltava,Niltava vivida,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,,vivnil3,,0,,,,,,,,,,,,Тайванска синя мухоловка,niltava de Taiwan,黃腹琉璃,Taiwan Vivid Niltava,台湾蓝仙鹟,,tajvanska muharica,,,Taiwanese roodkeelniltava,Taiwan Vivid Niltava,Taiwan Vivid Niltava,,,Small Vivid Niltava,,,Taiwan Vivid Niltava,,,,,,,,,Taiwan Vivid Niltava,taivani sininäpp,,,sinilakkisieppo,Gobemouche de Taïwan,,Gobemouche de Taïwan,,,,,,,Taiwanblauschnäpper,,,,,,,,,チャバラオオルリ,,,,,,,,,,,,,,,,,,praktniltava,,,niltawa ognista (vivida),,,,,,,,,Tajvanska niltava,niltava masková,,Papamoscas Vívido Chico,,,,,,,,,,,,,Papamoscas vívido chico,,,taiwanniltava,,,,Tayvan Mavi Sinekkapanı,Нільтава вогниста,,"Niltava, Taiwan Vivid",EBIRD,2024
