English (Clements),Scientific (Clements),English (AviList),Scientific (AviList),TAXON_CONCEPT_ID,taxon_order,category,species_code,bio_concept_code,primary_com_name,sci_name,order1,family,species_group,sparse_report_as,report_as,four_letter_code,extinct,extinct_year,Afrikaans,Albanian,Arabic,Armenian,Assamese,Asturleonese,Azerbaijani,Bangla (Bangladesh),Bengali (India),Bengali,Bulgarian,Catalan,Chinese - Mandarin (trad),"Chinese, Hong Kong","Chinese, Simple","Creole, Haiti",Croatian,Czech,Danish,Dutch,English (AviList)_translations,English,"English, Australia","English, Bangladesh","English, HBW","English, Hawaii","English, Hong Kong","English, IOC","English, India","English, Kenya","English, Malaysia","English, New Zealand","English, Philippines","English, South Africa","English, UAE","English, United Kingdom","English, United States",Estonian,Euskera,Faroese,Finnish,French,"French, AOS","French, Canada","French, France","French, French Guiana","French, Guadeloupe","French, Haiti",Galician,Georgian,German,Greek,Gujarati,Hebrew,Hindi,Hungarian,Icelandic,Indonesian,Italian,Japanese,Kannada,Kashmiri (India),Kazakh,Konkani,Korean,Kyrgyz,Ladakhi,Latvian,Lithuanian,Malayalam,Manipuri,Marathi,Mizo,Mongolian,Māori,Nepali (India),Nepali (Nepal),Norwegian,Odia,Persian,Polish,"Portuguese, Angola","Portuguese, Azores","Portuguese, Brazil","Portuguese, Madeira","Portuguese, Portugal","Punjabi, India",Romanian,Russian,Serbian,Slovak,Slovenian,Spanish,"Spanish, Argentina","Spanish, Chile","Spanish, Costa Rica","Spanish, Cuba","Spanish, Dominican Republic","Spanish, Ecuador","Spanish, Honduras","Spanish, Mexico","Spanish, Panama","Spanish, Paraguay","Spanish, Peru","Spanish, Puerto Rico","Spanish, Spain","Spanish, Uruguay","Spanish, Venezuela",Swedish,"Tamil, India",Telugu,Thai,Turkish,Ukrainian,Zulu,pri_com_name_indxd,authority_code,authority_ver
Eastern Striolated-Puffbird,Nystalus striolatus,Eastern Striolated Puffbird,Nystalus striolatus,avibase-427AF246,10294,species,strpuf1,avibase-427AF246,Eastern Striolated-Puffbird,Nystalus striolatus,Galbuliformes,Bucconidae (Puffbirds),Puffbirds and Jacamars,,strpuf1,,0,,Oostelike Streeppofvoël,,,,,,,,,,Източна ивичеста пуховка,barbacoll estriat,,,,,smeđokapi hakuru,lenivka čárkovaná,,Gestreepte baardkoekoek,Eastern Striolated-Puffbird,Eastern Striolated Puffbird,,,Striolated Puffbird (not obamai),,,Eastern Striolated Puffbird,,,,,,,,,Eastern Striolated-Puffbird,triip-puhvlind,,,idänviirulaiskuri,Tamatia striolé,,Tamatia striolé,,,,,,,Strichelfaulvogel,,,,,,,,,タテフオオガシラ,,,,,,,,,,,,,,,,,,stripedovenfugl,,,drzym białogardły,,,rapazinho-estriado-de-rondônia/do-leste,,Rapazinho-estriado,,,Полосатая пуховка,Istočni prugasti puf,lenivka pásikavá,,Buco Estriado Oriental,,,,,,,,,,,,,Buco estriado oriental,,,strimmig trögfågel,,,,Doğulu Çizgili Pufkuşu,Лінивка-смугохвіст білогорла,,"Puffbird, Eastern Striolated-",EBIRD,2024
White-eared Puffbird,Nystalus chacuru,White-eared Puffbird,Nystalus chacuru,avibase-10A76478,10297,species,whepuf1,avibase-10A76478,White-eared Puffbird,Nystalus chacuru,Galbuliformes,Bucconidae (Puffbirds),Puffbirds and Jacamars,,whepuf1,,0,,Witoorpofvoël,,,,,,,,,,Белоуха пуховка,barbacoll d'orelles blanques,,,,,bjelouhi hakuru,lenivka bělouchá,,Witoorbaardkoekoek,White-eared Puffbird,White-eared Puffbird,,,White-eared Puffbird,,,White-eared Puffbird,,,,,,,,,White-eared Puffbird,mustpõsk-puhvlind,,,mustaposkilaiskuri,Tamatia chacuru,,Tamatia chacuru,,,,,,,Weißohr-Faulvogel,,,,,,Kjánahlunkur,,,ミミジロオオガシラ,,,,,,,,,,,,,,,,,,hvitøredovenfugl,,,drzym białouchy,,,joão-bobo,,João-bobo,,,Белоухая пуховка,Belouhi puf,lenivka bielosluchá,,Buco Chacurú,Chacurú Cara Negra,,,,,,,,,Chacurú cara negra,Buco de Oreja Blanca,,Buco chacurú,,,vitörad trögfågel,,,,Beyaz Kulaklı Pufkuşu,Лінивка-смугохвіст чорнощока,,"Puffbird, White-eared",EBIRD,2024
Spot-backed Puffbird,Nystalus maculatus,Spot-backed Puffbird,Nystalus maculatus,avibase-B591C29D,10300,species,spbpuf1,avibase-B591C29D,Spot-backed Puffbird,Nystalus maculatus,Galbuliformes,Bucconidae (Puffbirds),Puffbirds and Jacamars,,spbpuf1,,0,,Vlekrugpofvoël,,,,,,,,,,Петниста пуховка,barbacoll maculat,,,,,pjegavi hakuru,lenivka tečkovaná,,Vlekrugbaardkoekoek,Spot-backed Puffbird,Spot-backed Puffbird,,,Spot-backed Puffbird,,,Caatinga/Chaco Puffbird,,,,,,,,,Spot-backed Puffbird,kampo-puhvlind,,,keltakauluslaiskuri,Tamatia tamajac,,Tamatia tamajac,,,,,,,Fleckmantel-Faulvogel,,,,,,,,,セボシオオガシラ,,,,,,,,,,,,,,,,,,flekkdovenfugl,,,drzym plamisty,,,rapazinho-dos-velhos/do-chaco,,Rapazinho-dos-velhos,,,Пёстрая пуховка,Žuti pirgavi puf,lenivka škvrnitá,,Buco Durmilí,Durmilí,,,,,,,,,Durmilí,,,Buco durmilí,,,caatingatrögfågel,,,,Kaatinga Pufkuşu,Лінивка-смугохвіст плямистобока,,"Puffbird, Spot-backed",EBIRD,2024
Russet-throated Puffbird,Hypnelus ruficollis,Russet-throated Puffbird,Hypnelus ruficollis,avibase-C98A8A1B,10303,species,rutpuf1,avibase-C98A8A1B,Russet-throated Puffbird,Hypnelus ruficollis,Galbuliformes,Bucconidae (Puffbirds),Puffbirds and Jacamars,,rutpuf1,,0,,Roeskeelpofvoël,,,,,,,,,,Ръждивогуша пуховка,barbacoll de Wagler,,,,,riđogrli hakuru,lenivka pruhoprsá,,Roestkeelbaardkoekoek,Russet-throated Puffbird,Russet-throated Puffbird,,,Russet-throated Puffbird,,,Russet-throated Puffbird,,,,,,,,,Russet-throated Puffbird,valjas-puhvlind,,,puuhalaiskuri,Tamatia à gorge rousse,,Tamatia à gorge rousse,,,,,,,Rostkehl-Faulvogel,,,,,,,,,,,,,,,,,,,,,,,,,,,ruststrupedovenfugl,,,drzym przepasany,,,,,,,,,Riđogrli puf,lenivka bielolíca,,Buco Bobito,,,,,,,,,Buco Punteado,,,,Buco bobito,,Aguantapiedras Gargantirrufo,roststrupig trögfågel,,,,Pas Gerdanlı Pufkuşu,Лінивка-жовтоок рудогорла,,"Puffbird, Russet-throated",EBIRD,2024
Two-banded Puffbird,Hypnelus bicinctus,Two-banded Puffbird,Hypnelus bicinctus,avibase-7E41141D,10307,species,rutpuf3,avibase-7E41141D,Two-banded Puffbird,Hypnelus bicinctus,Galbuliformes,Bucconidae (Puffbirds),Puffbirds and Jacamars,,rutpuf3,,0,,Dubbelbandpofvoël,,,,,,,,,,Венецуелска пуховка,barbacoll de dues bandes,,,,,dvoprugi hakuru,lenivka dvoupruhá,,Dubbelbandbaardkoekoek,Two-banded Puffbird,Two-banded Puffbird,,,Two-banded Puffbird,,,Two-banded Puffbird,,,,,,,,,Two-banded Puffbird,ljaano-puhvlind,,,,Tamatia bifascié,,Tamatia bifascié,,,,,,,Doppelband-Faulvogel,,,,,,,,,,,,,,,,,,,,,,,,,,,tobeltedovenfugl,,,drzym dwuobrożny,,,,,,,,,Dvopojasni puf,lenivka dvojpása,,Buco Bicinto,,,,,,,,,,,,,Buco bicinto,,Aguantapiedras Multibandeado,tvåbandad trögfågel,,,,Çift Bantlı Pufkuşu,Лінивка-жовтоок двосмуга,,"Puffbird, Two-banded",EBIRD,2024
White-chested Puffbird,Malacoptila fusca,White-chested Puffbird,Malacoptila fusca,avibase-6D14FBBA,10311,species,whcpuf1,avibase-6D14FBBA,White-chested Puffbird,Malacoptila fusca,Galbuliformes,Bucconidae (Puffbirds),Puffbirds and Jacamars,,whcpuf1,,0,,Witborspofvoël,,,,,,,,,,Тъмна пуховка,barbacoll pitblanc,,,,,mrki hakuru,lenivka běloprsá,,Witborstbaardkoekoek,White-chested Puffbird,White-chested Puffbird,,,White-chested Puffbird,,,White-chested Puffbird,,,,,,,,,White-chested Puffbird,tõmmu-puhvlind,,,partalaiskuri,Tamatia brun,,Tamatia brun,,,,,,,Weißbrust-Faulvogel,,,,,,,,,ムナジロオオガシラ,,,,,,,,,,,,,,,,,,oransjenebbdovenfugl,,,drzym pstry,,,barbudo-pardo,,Barbudo-pardo,,,Тёмная пуховка,Belogrudi puf,lenivka bieloprsá,,Buco Pechiblanco,,,,,,Buco Pechiblanco,,,,,Buco de Pecho Blanco,,Buco pechiblanco,,Bolio Pechiblanco,vitbröstad trögfågel,,,,Ak Gerdanlı Pufkuşu,Таматія світлогруда,,"Puffbird, White-chested",EBIRD,2024
Semicollared Puffbird,Malacoptila semicincta,Semicollared Puffbird,Malacoptila semicincta,avibase-F767642A,10312,species,sempuf1,avibase-F767642A,Semicollared Puffbird,Malacoptila semicincta,Galbuliformes,Bucconidae (Puffbirds),Puffbirds and Jacamars,,sempuf1,,0,,Halfkraagpofvoël,,,,,,,,,,Полубеловрата пуховка,barbacoll de clatell daurat,,,,,bjelotrbi hakuru,lenivka límcová,,Toddbaardkoekoek,Semicollared Puffbird,Semicollared Puffbird,,,Semicollared Puffbird,,,Semicollared Puffbird,,,,,,,,,Semicollared Puffbird,ruskkukal-puhvlind,,,viirupartalaiskuri,Tamatia à semi-collier,,Tamatia à semi-collier,,,,,,,Halbring-Faulvogel,,,,,,,,,チャエリオオガシラ,,,,,,,,,,,,,,,,,,rustnakkedovenfugl,,,drzym półobrożny,,,barbudo-de-coleira,,Barbudo-de-coleira,,,Полуошейниковая пуховка,Poluogrličasti puf,lenivka čiernohrdlá,,Buco de Medio Collar,,,,,,,,,,,Buco Semiacollarado,,Buco de medio collar,,,rostnackad trögfågel,,,,Kesik Kolyeli Pufkuşu,Таматія болівійська,,"Puffbird, Semicollared",EBIRD,2024
Crescent-chested Puffbird,Malacoptila striata,Crescent-chested Puffbird,Malacoptila striata,avibase-14169477,10313,species,crcpuf1,avibase-14169477,Crescent-chested Puffbird,Malacoptila striata,Galbuliformes,Bucconidae (Puffbirds),Puffbirds and Jacamars,,crcpuf1,,0,,Sekelborspofvoël,,,,,,,,,,Бразилска пуховка,barbacoll ratllat gros,,,,,kudravi hakuru,lenivka větší,,Halvemaanbaardkoekoek,Crescent-chested Puffbird,Crescent-chested Puffbird,,,Greater/Lesser Crescent-chested Puffbird,,,Crescent-chested Puffbird,,,,,,,,,Crescent-chested Puffbird,laidpugu-puhvlind,,,brasilianlaiskuri,Tamatia rayé,,Tamatia rayé,,,,,,,Halbmond-Faulvogel,,,,,,,,,ミカヅキオオガシラ,,,,,,,,,,,,,,,,,,halvmånedovenfugl,,,drzym kreskowany,,,barbudo-rajado/rajado-pequeno,,Barbudo-raiado,,,Гривистая пуховка,Polumesečasti puf,lenivka pestroprsá,,Buco Rayado,,,,,,,,,,,,,Buco rayado,,,månbröstad trögfågel,,,,Çizgili Pufkuşu,Таматія біловола,,"Puffbird, Crescent-chested",EBIRD,2024
Rufous-necked Puffbird,Malacoptila rufa,Rufous-necked Puffbird,Malacoptila rufa,avibase-ECC19533,10316,species,runpuf1,avibase-ECC19533,Rufous-necked Puffbird,Malacoptila rufa,Galbuliformes,Bucconidae (Puffbirds),Puffbirds and Jacamars,,runpuf1,,0,,Rooinekpofvoël,,,,,,,,,,Червена пуховка,barbacoll collroig,,,,,riđi hakuru,lenivka rezavokrká,,Roodnekbaardkoekoek,Rufous-necked Puffbird,Rufous-necked Puffbird,,,Rufous-necked Puffbird,,,Rufous-necked Puffbird,,,,,,,,,Rufous-necked Puffbird,karbus-puhvlind,,,ruosteniskalaiskuri,Tamatia à col roux,,Tamatia à col roux,,,,,,,Kapuzenfaulvogel,,,,,,,,,アカエリオオガシラ,,,,,,,,,,,,,,,,,,rustkragedovenfugl,,,drzym rdzawoszyi,,,barbudo-de-pescoço-ferrugem,,Barbudo-de-pescoço-ruivo,,,Рыжая пуховка,Riđovrati puf,lenivka hrdzavolíca,,Buco Cuellirrojo,,,,,,,,,,,Buco de Cuello Rufo,,Buco cuellirrojo,,,rosthalsad trögfågel,,,,Kızıl Boyunlu Pufkuşu,Таматія рудошия,,"Puffbird, Rufous-necked",EBIRD,2024
White-whiskered Puffbird,Malacoptila panamensis,White-whiskered Puffbird,Malacoptila panamensis,avibase-46451CCE,10319,species,whwpuf1,avibase-46451CCE,White-whiskered Puffbird,Malacoptila panamensis,Galbuliformes,Bucconidae (Puffbirds),Puffbirds and Jacamars,,whwpuf1,WWPU,0,,Witsnorpofvoël,,,,,,,,,,Панамска пуховка,barbacoll de bigotis blancs,,,,,riđoprsi hakuru,lenivka bělovousá,,Witsnorbaardkoekoek,White-whiskered Puffbird,White-whiskered Puffbird,,,White-whiskered Puffbird,,,White-whiskered Puffbird,,,,,,,,,White-whiskered Puffbird,ude-puhvlind,,,kesylaiskuri,Tamatia de Lafresnaye,,Tamatia de Lafresnaye,,,,,,,Weißzügel-Faulvogel,,,,,,Panamahlunkur,,,コシラヒゲオオガシラ,,,,,,,,,,,,,,,,,,hvitskjeggdovenfugl,,,drzym białowąsy,,,,,,,,Белоусая пуховка,Beloliki puf,lenivka bielofúza,,Buco Barbón,,,Buco Barbón,,,Buco Bigotiblanco,Buco Bigotudo,Buco Barbón,Buco Bigotiblanco,,Buco de Bigote Blanco,,Buco barbón,,,vitskäggig trögfågel,,,,Beyaz Kaşlı Pufkuşu,Таматія панамська,,"Puffbird, White-whiskered",EBIRD,2024
Black-streaked Puffbird,Malacoptila fulvogularis,Black-streaked Puffbird,Malacoptila fulvogularis,avibase-0C9C7247,10324,species,blspuf1,avibase-0C9C7247,Black-streaked Puffbird,Malacoptila fulvogularis,Galbuliformes,Bucconidae (Puffbirds),Puffbirds and Jacamars,,blspuf1,,0,,Swartstreeppofvoël,,,,,,,,,,Андска пуховка,barbacoll canós,,,,,crnoprugasti hakuru,lenivka andská,,Okerborstbaardkoekoek,Black-streaked Puffbird,Black-streaked Puffbird,,,Black-streaked Puffbird,,,Black-streaked Puffbird,,,,,,,,,Black-streaked Puffbird,nõlva-puhvlind,,,mustaviirulaiskuri,Tamatia à gorge fauve,,Tamatia à gorge fauve,,,,,,,Ockerkehl-Faulvogel,,,,,,,,,クロスジオオガシラ,,,,,,,,,,,,,,,,,,mørkdovenfugl,,,drzym płowy,,,,,,,,Рыжепоясная пуховка,Crnoprugi puf,lenivka okrovohrdlá,,Buco Listado,,,,,,Buco Negrilistado,,,,,Buco Listado de Negro,,Buco listado,,,svartstreckig trögfågel,,,,Siyah Çizgili Pufkuşu,Таматія андійська,,"Puffbird, Black-streaked",EBIRD,2024
Moustached Puffbird,Malacoptila mystacalis,Moustached Puffbird,Malacoptila mystacalis,avibase-C1804C72,10328,species,moupuf1,avibase-C1804C72,Moustached Puffbird,Malacoptila mystacalis,Galbuliformes,Bucconidae (Puffbirds),Puffbirds and Jacamars,,moupuf1,,0,,Snorpofvoël,,,,,,,,,,Мустаката пуховка,barbacoll de bigotis,,,,,brkati hakuru,lenivka vousatá,,Knevelbaardkoekoek,Moustached Puffbird,Moustached Puffbird,,,Moustached Puffbird,,,Moustached Puffbird,,,,,,,,,Moustached Puffbird,habe-puhvlind,,,viiksilaiskuri,Tamatia à moustaches,,Tamatia à moustaches,,,,,,,Schnurrbart-Faulvogel,,,,,,,,,シラヒゲオオガシラ,,,,,,,,,,,,,,,,,,mustasjedovenfugl,,,drzym rdzawogardły,,,,,,,,Усатая пуховка,Maskirani puf,lenivka červenohrdlá,,Buco Bigotudo,,,,,,Buco Bigotudo,,,,,,,Buco bigotudo,,Bolio de Bigote,mustaschtrögfågel,,,,Bıyıklı Pufkuşu,Таматія біловуса,,"Puffbird, Moustached",EBIRD,2024
Lanceolated Monklet,Micromonacha lanceolata,Lanceolated Monklet,Micromonacha lanceolata,avibase-BF431930,10329,species,lanmon1,avibase-BF431930,Lanceolated Monklet,Micromonacha lanceolata,Galbuliformes,Bucconidae (Puffbirds),Puffbirds and Jacamars,,lanmon1,LAMO,0,,Monniksvoël,,,,,,,,,,Кафявоглава пуховка,barbacoll lanceolat,,,,,mali hakuru,lenivka kopinatá,,Kleine trappist,Lanceolated Monklet,Lanceolated Monklet,,,Lanceolated Monklet,,,Lanceolated Monklet,,,,,,,,,Lanceolated Monklet,väike-puhvlind,,,rastaslaiskuri,Barbacou lancéolé,,Barbacou lancéolé,,,,,,,Streifenfaulvogel,,,,,,,,,ヒメオオガシラ,,,,,,,,,,,,,,,,,,munkedovenfugl,,,drzym mały,,,macuru-papa-mosca,,Macuru-papa-mosca,,,Пестробрюхая пуховка,Lancetasta nonula,lenivka malá,,Monjilla Lanceolada,,,Monjito Rayado,,,Monjecito Lanceolado,,,Buquito Rayado,,Monjecito Lanceolado,,Monjilla lanceolada,,,munkfågel,,,,Ok Desenli Keşişkuşu,Лінивка мала,,"Monklet, Lanceolated",EBIRD,2024
Rusty-breasted Nunlet,Nonnula rubecula,Rusty-breasted Nunlet,Nonnula rubecula,avibase-5A555E8C,10330,species,rubnun1,avibase-5A555E8C,Rusty-breasted Nunlet,Nonnula rubecula,Galbuliformes,Bucconidae (Puffbirds),Puffbirds and Jacamars,,rubnun1,,0,,Roesborsnonnetjie,,,,,,,,,,Червеногърда малка пуховка,barbacoll pit-rovellat,,,,,sivoglavi hakuru,lenivka rezavoprsá,,Roodborsttrappist,Rusty-breasted Nunlet,Rusty-breasted Nunlet,,,Rusty-breasted Nunlet,,,Rusty-breasted Nunlet,,,,,,,,,Rusty-breasted Nunlet,macurú-puhvlind,,,rillinunna,Barbacou rufalbin,,Barbacou rufalbin,,,,,,,Zügelfaulvogel,,,,,,,,,ムネアカアマドリ,,,,,,,,,,,,,,,,,,rødbrystnovise,,,drzym rdzawy,,,macuru,,Macuru-de-peito-ruivo,,,Рыжеватая ленивка,Riđogruda nonula,lenivka hrdzavá,,Monjilla Macurú,Chacurú Chico,,,,,Nonula Pechirrojiza,,,,Chacurú chico,Monjita de Pecho Rojizo,,Monjilla macurú,,Juan Feo,rostbröstad nunnefågel,,,,Kızıl Göğüslü Keşişkuşu,Лінивка-коротун сіроголова,,"Nunlet, Rusty-breasted",EBIRD,2024
Fulvous-chinned Nunlet,Nonnula sclateri,Fulvous-chinned Nunlet,Nonnula sclateri,avibase-5452880D,10338,species,fucnun1,avibase-5452880D,Fulvous-chinned Nunlet,Nonnula sclateri,Galbuliformes,Bucconidae (Puffbirds),Puffbirds and Jacamars,,fucnun1,,0,,Geelkeelnonnetjie,,,,,,,,,,Оранжевогуша малка пуховка,barbacoll de Sclater,,,,,cimetastogrli hakuru,lenivka rezavobradá,,Geelkintrappist,Fulvous-chinned Nunlet,Fulvous-chinned Nunlet,,,Fulvous-chinned Nunlet,,,Fulvous-chinned Nunlet,,,,,,,,,Fulvous-chinned Nunlet,acre puhvlind,,,okranaamanunna,Barbacou de Sclater,,Barbacou de Sclater,,,,,,,Gelbkinn-Faulvogel,,,,,,,,,キアゴアマドリ,,,,,,,,,,,,,,,,,,brunkinnovise,,,drzym brazylijski,,,freirinha-amarelada,,Freirinha-amarelada,,,Желтогорлая ленивка,Žutobrada nonula,lenivka žltobradá,,Monjilla de Sclater,,,,,,,,,,,Monjita de Barbilla Leonada,,Monjilla de Sclater,,,brunhakad nunnefågel,,,,Sclater Keşişkuşu,Лінивка-коротун сірошия,,"Nunlet, Fulvous-chinned",EBIRD,2024
Brown Nunlet,Nonnula brunnea,Brown Nunlet,Nonnula brunnea,avibase-76D78C1C,10339,species,bronun1,avibase-76D78C1C,Brown Nunlet,Nonnula brunnea,Galbuliformes,Bucconidae (Puffbirds),Puffbirds and Jacamars,,bronun1,,0,,Bruinnonnetjie,,,,,,,,,,Кафява малка пуховка,barbacoll bru,,,,,smeđi hakuru,lenivka hnědá,,Bruine trappist,Brown Nunlet,Brown Nunlet,,,Brown Nunlet,,,Brown Nunlet,,,,,,,,,Brown Nunlet,pruun-puhvlind,,,ruskonunna,Barbacou brun,,Barbacou brun,,,,,,,Einfarb-Faulvogel,,,,,,,,,チャイロアマドリ,,,,,,,,,,,,,,,,,,brunnovise,,,drzym brązowy,,,,,,,,Бурая ленивка,Smeđa nonula,lenivka hnedá,,Monjilla Canela,,,,,,Nonula Parda,,,,,Monjita Parda,,Monjilla canela,,,brun nunnefågel,,,,Tarçın Renkli Keşişkuşu,Лінивка-коротун бура,,"Nunlet, Brown",EBIRD,2024
Gray-cheeked Nunlet,Nonnula frontalis,Grey-cheeked Nunlet,Nonnula frontalis,avibase-DCC2CCEB,10340,species,gycnun1,avibase-DCC2CCEB,Gray-cheeked Nunlet,Nonnula frontalis,Galbuliformes,Bucconidae (Puffbirds),Puffbirds and Jacamars,,gycnun1,GCNU,0,,Gryswangnonnetjie,,,,,,,,,,Сивобуза малка пуховка,barbacoll galtagrís,,,,,sivolici hakuru,lenivka kolumbijská,,Noordelijke grijswangtrappist,Gray-cheeked Nunlet,Grey-cheeked Nunlet,,,Grey-cheeked Nunlet,,,Grey-cheeked Nunlet,,,,,,,,,Gray-cheeked Nunlet,hallpõsk-puhvlind,,,harmaaposkinunna,Barbacou à joues grises,,Barbacou à joues grises,,,,,,,Grauwangen-Faulvogel,,,,,,,,,ハイガオアマドリ,,,,,,,,,,,,,,,,,,gråkinnovise,,,drzym szarolicy,,,,,,,,Серощёкая ленивка,Sivolika nonula,lenivka sivolíca,,Monjilla Carigrís,,,,,,,,,Nonula Acanelada,,,,Monjilla carigrís,,,gråkindad nunnefågel,,,,Gri Yanaklı Keşişkuşu,Лінивка-коротун сіродзьоба,,"Nunlet, Gray-cheeked",EBIRD,2024
Rufous-capped Nunlet,Nonnula ruficapilla,Rufous-capped Nunlet,Nonnula ruficapilla,avibase-C6EC8B37,10344,species,rucnun1,avibase-C6EC8B37,Rufous-capped Nunlet,Nonnula ruficapilla,Galbuliformes,Bucconidae (Puffbirds),Puffbirds and Jacamars,,rucnun1,,0,,Rooikroonnonnetjie,,,,,,,,,,Червеночела малка пуховка,barbacoll de capell rogenc,,,,,riđokapi hakuru,lenivka šedolící,,Zuidelijke grijswangtrappist,Rufous-capped Nunlet,Rufous-capped Nunlet,,,Rufous-capped Nunlet,,,Rufous-capped Nunlet,,,,,,,,,Rufous-capped Nunlet,ruskepea-puhvlind,,,rusolakkinunna,Barbacou à couronne rousse,,Barbacou à couronne rousse,,,,,,,Rostscheitel-Faulvogel,,,,,,,,,アカボウシアマドリ,,,,,,,,,,,,,,,,,,rustkronenovise,,,drzym rudoczapkowy,,,freirinha-de-coroa-castanha,,Freirinha-de-coroa-castanha,,,Красношапочная ленивка,Riđokapa nonula,lenivka škoricová,,Monjilla Coronada,,,,,,Nonula Coronirrojiza,,,,,Monjita de Gorro Rufo,,Monjilla coronada,,,brunkronad nunnefågel,,,,Kızıl Tepeli Keşişkuşu,Лінивка-коротун сірощока,,"Nunlet, Rufous-capped",EBIRD,2024
Chestnut-headed Nunlet,Nonnula amaurocephala,Chestnut-headed Nunlet,Nonnula amaurocephala,avibase-77C2E107,10349,species,chhnun1,avibase-77C2E107,Chestnut-headed Nunlet,Nonnula amaurocephala,Galbuliformes,Bucconidae (Puffbirds),Puffbirds and Jacamars,,chhnun1,,0,,Bruinkopnonnetjie,,,,,,,,,,Амазонска малка пуховка,barbacoll rogenc,,,,,cimetasti hakuru,lenivka kaštanovohlavá,,Roodkoptrappist,Chestnut-headed Nunlet,Chestnut-headed Nunlet,,,Chestnut-headed Nunlet,,,Chestnut-headed Nunlet,,,,,,,,,Chestnut-headed Nunlet,ruuge-puhvlind,,,kastanjanunna,Barbacou à face rousse,,Barbacou à face rousse,,,,,,,Braunkopf-Faulvogel,,,,,,,,,クリガシラアマドリ,,,,,,,,,,,,,,,,,,nøttehodenovise,,,drzym kasztanowogłowy,,,freirinha-de-cabeça-castanha,,Freirinha-de-cabeça-castanha,,,Красноголовая ленивка,Kestenjastoglava nonula,lenivka hrdzavohlavá,,Monjilla Cabeciparda,,,,,,,,,,,,,Monjilla cabeciparda,,,rosthuvad nunnefågel,,,,Kızıl Başlı Keşişkuşu,Лінивка-коротун руда,,"Nunlet, Chestnut-headed",EBIRD,2024
White-faced Nunbird,Hapaloptila castanea,White-faced Nunbird,Hapaloptila castanea,avibase-4DA23B0B,10351,species,whfnun2,avibase-4DA23B0B,White-faced Nunbird,Hapaloptila castanea,Galbuliformes,Bucconidae (Puffbirds),Puffbirds and Jacamars,,whfnun2,,0,,Witwangnonvoël,,,,,,,,,,Белолика пуховка,barbacoll carablanc,,,,,sivokapi hakuru,lenivka čelenková,,Diadeembaardkoekoek,White-faced Nunbird,White-faced Nunbird,,,White-faced Nunbird,,,White-faced Nunbird,,,,,,,,,White-faced Nunbird,diadeem-puhvlind,,,valkokurkkununna,Barbacou à face blanche,,Barbacou à face blanche,,,,,,,Diademfaulvogel,,,,,,,,,シロガオアマドリ,,,,,,,,,,,,,,,,,,priorinnefugl,,,drzym białolicy,,,,,,,,Белолицая ленивка,Beloliki nona puf,lenivka čelenková,,Buco Cariblanco,,,,,,Monja Cariblanca,,,,,Monja de Cara Blanca,,Buco cariblanco,,,vitmaskad nunnefågel,,,,Ak Suratlı Keşişkuşu,Лінивка білолоба,,"Nunbird, White-faced",EBIRD,2024
Black Nunbird,Monasa atra,Black Nunbird,Monasa atra,avibase-AD7DEF16,10352,species,blanun1,avibase-AD7DEF16,Black Nunbird,Monasa atra,Galbuliformes,Bucconidae (Puffbirds),Puffbirds and Jacamars,,blanun1,,0,,Swartnonvoël,,,,,,,,,,Черна пуховка,barbacoll negre d'espatlles blanques,,,,,crvenokljuni hakuru,lenivka černá,,Zwarte trappist,Black Nunbird,Black Nunbird,,,Black Nunbird,,,Black Nunbird,,,,,,,,,Black Nunbird,guajaana puhvlind,,,mustanunna,Barbacou noir,,Barbacou noir,,,,,,,Weißschulter-Faulvogel,,,,,,,,,クロアマドリ,,,,,,,,,,,,,,,,,,svartklarisse,,,drzym czarny,,,chora-chuva-de-asa-branca,,Chora-chuva-d'asa-branca,,,Чёрная монашенка,Crni nona puf,lenivka čierna,,Monja Negra,,,,,,,,,,,,,Monja negra,,Pico de Lacre,svart nunnefågel,,,,Kara Keşişkuşu,Лінивка-чорнопер білоплеча,,"Nunbird, Black",EBIRD,2024
Black-fronted Nunbird,Monasa nigrifrons,Black-fronted Nunbird,Monasa nigrifrons,avibase-BB158D41,10353,species,blfnun1,avibase-BB158D41,Black-fronted Nunbird,Monasa nigrifrons,Galbuliformes,Bucconidae (Puffbirds),Puffbirds and Jacamars,,blfnun1,,0,,Swartblesnonvoël,,,,,,,,,,Черночела пуховка,barbacoll negre unicolor,,,,,crni hakuru,lenivka černočelá,,Zwartvoorhoofdtrappist,Black-fronted Nunbird,Black-fronted Nunbird,,,Black-fronted Nunbird,,,Black-fronted Nunbird,,,,,,,,,Black-fronted Nunbird,nõgi-puhvlind,,,nokinunna,Barbacou unicolore,,Barbacou unicolore,,,,,,,Schwarzstirn-Faulvogel,,,,,,,,,クロビタイアマドリ,,,,,,,,,,,,,,,,,,sotklarisse,,,drzym czarnoczelny,,,chora-chuva-preto,,Chora-chuva-preto,,,Чернолобая монашенка,Crnočeli nona puf,lenivka čiernočelá,,Monja Unicolor,,,,,,Monja Frentinegra,,,,,Monja de Frente Negra,,Monja unicolor,,,svartpannad nunnefågel,,,,Kara Alınlı Keşişkuşu,Лінивка-чорнопер червонодзьоба,,"Nunbird, Black-fronted",EBIRD,2024
